ticker,date,close,high_low
PLTR,2022-04-18 00:00:00,12.91,high
PLTR,2022-04-26 00:00:00,10.56,low
PLTR,2022-05-03 00:00:00,10.98,high
PLTR,2022-05-10 00:00:00,6.71,low
PLTR,2022-06-12 00:00:00,7.64,low
PLTR,2022-06-23 00:00:00,10.19,high
PLTR,2022-07-13 00:00:00,8.9,low
PLTR,2022-07-20 00:00:00,10.49,high
PLTR,2022-08-04 00:00:00,11.45,high
PLTR,2022-08-22 00:00:00,8.01,low
PLTR,2022-09-05 00:00:00,7.28,low
PLTR,2022-09-11 00:00:00,8.01,high
PLTR,2022-09-14 00:00:00,8.01,high
PLTR,2022-10-13 00:00:00,7.53,low
PLTR,2022-10-30 00:00:00,8.79,high
PLTR,2022-11-08 00:00:00,6.98,low
PLTR,2022-11-10 00:00:00,8.41,high
PLTR,2022-12-12 00:00:00,7.5,high
PLTR,2022-12-26 00:00:00,6.0,low
PLTR,2023-01-04 00:00:00,6.32,low
PLTR,2023-01-26 00:00:00,7.55,high
PLTR,2023-02-09 00:00:00,7.51,low
PLTR,2023-02-14 00:00:00,10.11,high
PLTR,2023-03-09 00:00:00,7.35,low
PLTR,2023-03-20 00:00:00,8.45,high
PLTR,2023-04-13 00:00:00,8.81,high
PLTR,2023-04-25 00:00:00,7.74,low
PLTR,2023-05-03 00:00:00,7.38,low
PLTR,2023-05-29 00:00:00,14.71,high
PLTR,2023-06-14 00:00:00,16.6,high
PLTR,2023-06-25 00:00:00,13.94,low
PLTR,2023-07-05 00:00:00,15.13,low
PLTR,2023-07-17 00:00:00,18.08,high
PLTR,2023-08-23 00:00:00,14.14,low
PLTR,2023-08-29 00:00:00,16.33,high
PLTR,2023-09-13 00:00:00,15.83,high
PLTR,2023-09-25 00:00:00,13.96,low
PLTR,2023-10-11 00:00:00,17.94,high
PLTR,2023-10-29 00:00:00,14.69,low
PLTR,2023-11-01 00:00:00,17.97,low
PLTR,2023-11-19 00:00:00,21.34,high
PLTR,2023-12-05 00:00:00,17.13,low
PLTR,2023-12-13 00:00:00,18.21,high
PLTR,2024-01-04 00:00:00,15.98,low
PLTR,2024-01-21 00:00:00,17.6,high
PLTR,2024-02-04 00:00:00,16.72,low
PLTR,2024-02-14 00:00:00,25.41,high
PLTR,2024-03-06 00:00:00,26.46,high
PLTR,2024-03-14 00:00:00,23.49,low
ticker,date,close,high_low,percent_change
PLTR,2022-04-18 00:00:00,12.91,high,22.253787878787875
PLTR,2022-04-26 00:00:00,10.56,low,0.0
ticker,date,close,high_low,percent_change
PLTR,2022-04-18 00:00:00,12.91,high,22.253787878787875
PLTR,2022-04-26 00:00:00,10.56,low,0.0
PLTR,2022-05-03 00:00:00,10.98,high,63.63636363636365
PLTR,2022-05-10 00:00:00,6.71,low,0.0
PLTR,2022-06-12 00:00:00,7.64,low,0.0
PLTR,2022-06-23 00:00:00,10.19,high,33.37696335078534
PLTR,2022-07-13 00:00:00,8.9,low,0.0
PLTR,2022-07-20 00:00:00,10.49,high,17.86516853932584
PLTR,2022-08-04 00:00:00,11.45,high,42.946317103620466
PLTR,2022-08-22 00:00:00,8.01,low,0.0
PLTR,2022-09-05 00:00:00,7.28,low,0.0
PLTR,2022-09-11 00:00:00,8.01,high,10.02747252747252
PLTR,2022-09-14 00:00:00,8.01,high,10.02747252747252
PLTR,2022-10-13 00:00:00,7.53,low,0.0
PLTR,2022-10-30 00:00:00,8.79,high,16.73306772908365
PLTR,2022-11-08 00:00:00,6.98,low,0.0
PLTR,2022-11-10 00:00:00,8.41,high,20.487106017191973
PLTR,2022-12-12 00:00:00,7.5,high,25.0
PLTR,2022-12-26 00:00:00,6.0,low,0.0
PLTR,2023-01-04 00:00:00,6.32,low,0.0
PLTR,2023-01-26 00:00:00,7.55,high,19.462025316455687
PLTR,2023-02-09 00:00:00,7.51,low,0.0
PLTR,2023-02-14 00:00:00,10.11,high,34.62050599201065
PLTR,2023-03-09 00:00:00,7.35,low,0.0
PLTR,2023-03-20 00:00:00,8.45,high,14.96598639455782
PLTR,2023-04-13 00:00:00,8.81,high,13.824289405684759
PLTR,2023-04-25 00:00:00,7.74,low,0.0
PLTR,2023-05-03 00:00:00,7.38,low,0.0
PLTR,2023-05-29 00:00:00,14.71,high,99.32249322493226
PLTR,2023-06-14 00:00:00,16.6,high,19.081779053084663
PLTR,2023-06-25 00:00:00,13.94,low,0.0
PLTR,2023-07-05 00:00:00,15.13,low,0.0
PLTR,2023-07-17 00:00:00,18.08,high,19.497686715135476
PLTR,2023-08-23 00:00:00,14.14,low,0.0
PLTR,2023-08-29 00:00:00,16.33,high,15.48797736916547
PLTR,2023-09-13 00:00:00,15.83,high,13.395415472779362
PLTR,2023-09-25 00:00:00,13.96,low,0.0
PLTR,2023-10-11 00:00:00,17.94,high,22.12389380530975
PLTR,2023-10-29 00:00:00,14.69,low,0.0
PLTR,2023-11-01 00:00:00,17.97,low,0.0
PLTR,2023-11-19 00:00:00,21.34,high,18.75347801892043
PLTR,2023-12-05 00:00:00,17.13,low,0.0
PLTR,2023-12-13 00:00:00,18.21,high,6.304728546409819
PLTR,2024-01-04 00:00:00,15.98,low,0.0
PLTR,2024-01-21 00:00:00,17.6,high,10.137672090112646
PLTR,2024-02-04 00:00:00,16.72,low,0.0
PLTR,2024-02-14 00:00:00,25.41,high,51.97368421052633
PLTR,2024-03-06 00:00:00,26.46,high,12.643678160919553
PLTR,2024-03-14 00:00:00,23.49,low,0.0
ticker,date,close,high_low,percent_change
ticker,date,close,high_low,percent_change
