ticker,date,open,high,low,close,volume,volumeWeight,number_of_transactions
AAPL,2024-03-31,171.19,171.25,169.475,170.03,46240500.0,170.0696,676830
AAPL,2024-04-01,169.08,169.34,168.2302,168.84,49297581.0,168.8967,608914
AAPL,2024-04-02,168.79,170.68,168.58,169.65,47691715.0,169.8623,571286
AAPL,2024-04-03,170.29,171.92,168.82,168.82,53682486.0,170.1029,630783
AAPL,2024-04-04,169.59,170.39,168.95,169.58,42104826.0,169.6415,540854
ABBV,2024-03-31,181.88,181.9,179.24,180.76,3502141.0,180.3188,54741
ABBV,2024-04-01,179.39,181.03,178.51,180.69,4523931.0,180.3317,62713
ABBV,2024-04-02,180.72,181.6,176.6,177.33,5892990.0,177.8618,76804
ABBV,2024-04-03,177.65,177.7,167.45,167.9,10511991.0,170.689,143285
ABBV,2024-04-04,168.0,171.04,167.29,170.0,7030108.0,169.7264,80986
ABNB,2024-03-31,166.43,166.72,162.75,163.37,2496282.0,163.5837,43428
ABNB,2024-04-01,160.95,160.98,158.68,160.11,4000867.0,159.9214,56061
ABNB,2024-04-02,158.75,161.33,158.58,159.34,2288078.0,159.7755,41864
ABNB,2024-04-03,161.22,163.65,158.52,158.84,3539700.0,160.92,56456
ABNB,2024-04-04,159.15,162.71,158.9,161.77,2225889.0,161.4728,41800
ABT,2024-03-31,113.66,113.66,111.82,112.09,3963996.0,112.1899,50122
ABT,2024-04-01,111.8903,112.42,111.18,112.02,4560740.0,111.9425,53349
ABT,2024-04-02,112.14,112.55,111.05,111.28,4409909.0,111.5521,55753
ABT,2024-04-03,111.84,112.0,109.8375,110.11,4799745.0,110.5055,63813
ABT,2024-04-04,109.7,111.26,109.54,111.2,5591219.0,110.9149,58713
ACN,2024-03-31,344.86,345.0,338.065,339.17,2320290.0,340.3736,59936
ACN,2024-04-01,336.67,338.88,333.0,336.46,2453410.0,335.5541,53558
ACN,2024-04-02,336.24,337.19,331.89,332.28,1975675.0,333.4998,46724
ACN,2024-04-03,334.12,337.99,330.17,330.47,2272998.0,333.176,48697
ACN,2024-04-04,331.53,333.82,330.33,333.0,3694783.0,332.2961,62961
ADBE,2024-03-31,504.99,506.92,499.31,502.09,2056030.0,501.8111,65613
ADBE,2024-04-01,494.403,500.75,491.34,499.21,3083273.0,497.187,78205
ADBE,2024-04-02,497.36,498.86,494.71,497.01,2604428.0,497.2481,72073
ADBE,2024-04-03,503.56,504.11,486.7,487.11,3403327.0,492.9722,91371
ADBE,2024-04-04,488.84,490.09,481.28,485.12,4972655.0,485.2729,109711
ADP,2024-03-31,250.38,250.61,245.015,245.31,1535471.0,245.7333,28159
ADP,2024-04-01,240.11,248.725,239.72,247.66,2297388.0,246.9925,40408
ADP,2024-04-02,247.82,248.41,244.74,245.13,2370064.0,245.4583,32723
ADP,2024-04-03,247.57,247.62,241.4,241.49,1690648.0,242.7968,35425
ADP,2024-04-04,241.95,245.92,241.2725,244.85,1420080.0,244.7635,29509
AIG,2024-03-31,78.0,78.295,77.3,77.64,2329257.0,77.7003,32316
AIG,2024-04-01,77.61,78.29,77.365,78.02,3335127.0,77.9619,37500
AIG,2024-04-02,78.18,78.95,77.56,77.8,3380764.0,78.0042,39818
AIG,2024-04-03,78.27,78.92,76.42,76.62,4013062.0,77.4012,43593
AIG,2024-04-04,76.93,77.86,76.69,77.71,2999980.0,77.4891,37004
AJG,2024-03-31,249.08,249.8,246.31,247.18,589857.0,247.4281,14184
AJG,2024-04-01,248.09,248.69,244.8025,245.36,770802.0,245.8025,18972
AJG,2024-04-02,245.56,247.42,245.2015,245.37,644719.0,245.833,15381
AJG,2024-04-03,247.23,247.23,240.06,240.3,1134554.0,241.8998,22730
AJG,2024-04-04,240.66,245.96,240.33,243.99,690763.0,244.0872,20464
