ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
AAPL,2024-04-08,168.7,170.08,168.35,169.67,42451209.0,169.1566,541699
AAPL,2024-04-09,168.8,169.09,167.11,167.78,49691936.0,167.9914,647587
AAPL,2024-04-10,168.34,175.46,168.16,175.04,91053075.0,172.6956,828408
AAPL,2024-04-11,174.26,178.36,174.21,176.55,101282386.0,176.3413,960229
AAPL,2024-04-14,175.36,176.63,172.5,172.69,70733115.0,174.19,846703
AAPL,2024-04-15,171.75,173.76,168.27,169.38,71583932.0,170.0693,834229
AAPL,2024-04-16,169.61,170.65,168.0,168.0,48503680.0,169.018,598926
AAPL,2024-04-17,168.03,168.64,166.55,167.04,40735511.0,167.4157,553162
AAPL,2024-04-18,166.21,166.4,164.075,165.0,66084170.0,165.1519,754706
AAPL,2024-04-21,165.515,167.26,164.77,165.84,46488244.0,165.9694,610286
AAPL,2024-04-22,165.35,167.05,164.92,166.9,46956672.0,166.5052,554862
AAPL,2024-04-23,166.54,169.3,166.21,169.02,47007455.0,168.4251,584920
AAPL,2024-04-24,169.525,170.61,168.1511,169.89,48858902.0,169.4307,608795
AAPL,2024-04-25,169.88,171.34,169.18,169.3,44014087.0,170.0062,563857
AAPL,2024-04-28,173.37,176.03,173.1,173.5,66891905.0,174.3826,808166
AAPL,2024-04-29,173.33,174.99,170.0,170.33,64066593.0,172.1915,647398
AAPL,2024-04-30,169.58,172.705,169.11,169.3,48416441.0,170.7483,648581
AAPL,2024-05-01,172.51,173.415,170.89,173.03,91402452.0,174.57,944012
AAPL,2024-05-02,186.645,187.0,182.66,183.38,160948084.0,184.3811,1468448
AAPL,2024-05-05,182.354,184.2,180.42,181.71,75883763.0,181.8762,898724
AAPL,2024-05-06,183.45,184.9,181.32,182.4,74139796.0,182.7881,747423
AAPL,2024-05-07,182.85,183.07,181.45,182.74,43762264.0,182.4746,518558
AAPL,2024-05-08,182.56,184.66,182.11,184.57,47493785.0,183.9877,550949
AAPL,2024-05-09,184.9,185.09,182.13,183.05,48525869.0,183.0992,558732
AAPL,2024-05-12,185.435,187.1,184.62,186.28,68586935.0,186.2008,726471
AAPL,2024-05-13,187.51,188.3,186.29,187.43,50551025.0,187.1838,559445
AAPL,2024-05-14,187.91,190.65,187.37,189.72,67561123.0,189.651,727552
AAPL,2024-05-15,190.47,191.095,189.6601,189.84,51938566.0,190.1107,566892
AAPL,2024-05-16,189.51,190.81,189.18,189.87,39819440.0,189.925,478115
AAPL,2024-05-19,189.325,191.9199,189.01,191.04,43637717.0,191.0833,566877
AAPL,2024-05-20,191.09,192.73,190.9201,192.35,41192656.0,192.2516,502712
AAPL,2024-05-21,192.265,192.8231,190.27,190.9,33510741.0,191.4481,452301
