Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
MSFT,2022-03-24,305.23,305.5,299.2855,303.68,22566453.0,302.5129,340082
MSFT,2022-03-27,304.33,310.8,304.33,310.7,29553438.0,308.8785,368660
MSFT,2022-03-28,313.91,315.82,309.05,315.41,30393403.0,313.2741,423166
MSFT,2022-03-29,313.76,315.95,311.58,313.86,28163555.0,313.7134,340160
MSFT,2022-03-30,313.9,315.14,307.89,308.31,33422070.0,310.4193,355031
MSFT,2022-03-31,309.37,310.13,305.54,309.42,27101029.0,308.0485,315032
MSFT,2022-04-03,310.09,315.11,309.71,314.97,24335868.0,313.7554,300000
MSFT,2022-04-04,313.27,314.865,309.87,310.88,23156719.0,311.7992,312602
MSFT,2022-04-05,305.19,307,296.71,299.5,40110372.0,300.4693,548742
MSFT,2022-04-06,296.66,303.65,296.35,301.37,31411155.0,300.9241,360492
MSFT,2022-04-07,300.44,301.12,296.28,296.97,24361917.0,298.2833,309094
MSFT,2022-04-10,291.79,292.61,285,285.26,34519264.0,286.8651,502222
MSFT,2022-04-11,289.235,290.739,280.49,282.06,30966721.0,284.9687,435819
MSFT,2022-04-12,282.73,288.58,281.3,287.62,21904429.0,285.8202,290613
MSFT,2022-04-13,288.09,288.305,279.32,279.83,28221607.0,282.3705,381427
MSFT,2022-04-17,278.91,282.46,278.34,280.52,20748800.0,280.1829,299125
MSFT,2022-04-18,279.38,286.17,278.41,285.3,22297720.0,283.7503,312037
MSFT,2022-04-19,289.4,289.7,285.3702,286.36,22901807.0,286.9915,313844
MSFT,2022-04-20,288.58,293.3,280.06,280.81,29454587.0,285.5863,411095
MSFT,2022-04-21,281.68,283.2,273.38,274.03,29405798.0,277.0631,455519
MSFT,2022-04-24,273.29,281.11,270.77,280.72,35678852.0,276.9162,507837
MSFT,2022-04-25,277.5,278.3599,270,270.22,46512195.0,273.1034,703111
MSFT,2022-04-26,282.1,290.97,279.16,283.22,63468094.0,285.1692,823597
MSFT,2022-04-27,285.185,290.98,281.4562,289.63,33646570.0,286.9376,448000
MSFT,2022-04-28,288.61,289.88,276.5,277.52,37073923.0,281.5777,475254
MSFT,2022-05-01,277.71,284.94,276.22,284.47,35127105.0,280.8292,501418
MSFT,2022-05-02,283.96,284.13,280.15,281.78,25978605.0,281.9915,352891
MSFT,2022-05-03,282.59,290.88,276.73,289.98,33598320.0,284.0704,460201
MSFT,2022-05-04,285.54,286.35,274.34,277.35,43260386.0,277.791,593657
MSFT,2022-05-05,274.805,279.25,271.27,274.73,37776182.0,274.9419,536610
MSFT,2022-05-08,270.06,272.36,263.32,264.58,47725952.0,266.3383,649440
MSFT,2022-05-09,271.69,273.75,265.07,269.5,39336424.0,269.8717,526747
MSFT,2022-05-10,265.68,271.36,259.3,260.55,48975898.0,263.2184,633608
MSFT,2022-05-11,257.69,259.88,250.02,255.35,51033802.0,254.7634,715930
MSFT,2022-05-12,257.35,263.04,255.35,261.12,34918893.0,260.1715,452458
MSFT,2022-05-15,259.955,265.82,255.78,261.5,32539933.0,260.8411,402395
MSFT,2022-05-16,266.11,268.33,262.46,266.82,28828799.0,265.5584,346098
MSFT,2022-05-17,263,263.6,252.77,254.08,31355985.0,256.42,414290
MSFT,2022-05-18,253.9,257.67,251.88,253.14,32692286.0,254.4025,408722
MSFT,2022-05-19,257.24,258.54,246.44,252.56,39164899.0,251.557,518558
MSFT,2022-05-22,255.49,261.5,253.43,260.65,33175379.0,258.9217,386147
MSFT,2022-05-23,257.89,261.33,253.5,259.62,29043904.0,257.8803,357104
MSFT,2022-05-24,258.14,264.58,257.125,262.52,28547947.0,260.9506,340324
MSFT,2022-05-25,262.27,267.11,261.4294,265.9,25002105.0,265.2818,297969
MSFT,2022-05-26,268.48,273.34,267.56,273.24,26910824.0,271.6528,307860
MSFT,2022-05-30,272.53,274.77,268.93,271.87,37827695.0,272.0011,363100
MSFT,2022-05-31,275.195,277.69,270.04,272.42,25285874.0,273.3295,321548
MSFT,2022-06-01,264.45,274.65,261.6,274.58,44008205.0,269.0219,532530
MSFT,2022-06-02,270.31,273.45,268.41,270.02,28058958.0,270.3279,303810
MSFT,2022-06-05,272.06,274.18,267.22,268.75,22397042.0,270.0763,260013
MSFT,2022-06-06,266.635,273.13,265.94,272.5,22860677.0,270.6967,247047
MSFT,2022-06-07,271.71,273,269.61,270.41,17372341.0,271.1519,234208
MSFT,2022-06-08,267.78,272.7081,264.63,264.79,26439728.0,268.0203,301845
MSFT,2022-06-09,260.58,260.58,252.53,252.99,31445841.0,254.9867,459375
MSFT,2022-06-12,245.11,249.0242,241.53,242.26,45913188.0,244.2909,587062
MSFT,2022-06-13,243.86,245.74,241.51,244.49,28651487.0,243.7922,370359
MSFT,2022-06-14,248.31,255.3,246.42,251.76,33111729.0,250.6363,410433
MSFT,2022-06-15,245.98,247.4174,243.02,244.97,33169160.0,244.875,437473
MSFT,2022-06-16,244.7,250.5,244.03,247.65,43081680.0,247.3623,426273
MSFT,2022-06-20,250.255,254.75,249.51,253.74,29928297.0,253.4288,325280
MSFT,2022-06-21,251.89,257.17,250.37,253.13,25961215.0,254.1738,305208
MSFT,2022-06-22,255.57,259.37,253.63,258.86,25861449.0,257.2249,317666
MSFT,2022-06-23,261.808,267.98,261.72,267.7,33908991.0,265.9715,341714
MSFT,2022-06-26,268.205,268.3,263.28,264.89,24615114.0,265.2573,288957
MSFT,2022-06-27,263.98,266.91,256.32,256.48,27377747.0,259.1302,337120
MSFT,2022-06-28,257.59,261.97,255.76,260.26,20069839.0,260.0577,267537
MSFT,2022-06-29,257.05,259.53,252.9,256.83,31713368.0,256.7307,350608
MSFT,2022-06-30,256.39,259.77,254.61,259.58,22837692.0,257.7792,298425
MSFT,2022-07-04,256.16,262.98,254.74,262.85,22971634.0,259.6188,336748
MSFT,2022-07-05,263.75,267.99,262.4,266.21,23809419.0,265.3515,297474
MSFT,2022-07-06,265.12,269.055,265.02,268.4,20859874.0,267.941,279545
MSFT,2022-07-07,264.79,268.1,263.285,267.66,19658751.0,266.3527,263735
MSFT,2022-07-10,265.65,266.53,262.18,264.51,19497608.0,264.4908,233465
MSFT,2022-07-11,265.88,265.94,252.04,253.67,35846600.0,256.3041,432650
MSFT,2022-07-12,250.19,253.55,248.11,252.72,29497423.0,251.3602,388753
MSFT,2022-07-13,250.57,255.1374,245.94,254.08,25102823.0,251.4169,338720
MSFT,2022-07-14,255.72,260.3699,254.7727,256.72,29774050.0,257.0741,320549
MSFT,2022-07-17,259.75,260.84,253.3,254.25,20975034.0,256.9949,259992
MSFT,2022-07-18,257.575,259.72,253.68,259.53,25012562.0,257.9481,285207
MSFT,2022-07-19,259.9,264.87,258.91,262.27,22788282.0,261.9933,292189
MSFT,2022-07-20,259.79,264.89,257.03,264.84,22404675.0,262.0806,266470
MSFT,2022-07-21,265.24,265.33,259.07,260.36,21880990.0,261.3876,275092
MSFT,2022-07-24,260.995,261.5,256.81,258.83,21055998.0,258.5975,245812
MSFT,2022-07-25,259.86,259.88,249.57,251.9,39322017.0,252.4793,523732
MSFT,2022-07-26,261.16,270.05,258.85,268.74,45987389.0,265.6154,539330
MSFT,2022-07-27,269.75,277.84,267.87,276.41,33459327.0,274.291,413167
MSFT,2022-07-28,277.7,282,276.63,280.74,32138752.0,279.8359,359385
MSFT,2022-07-31,277.82,281.28,275.84,278.01,21539580.0,278.4445,296190
MSFT,2022-08-01,276,277.89,272.38,274.82,22754184.0,274.9038,302750
MSFT,2022-08-02,276.76,283.5,276.61,282.47,23518874.0,281.282,305573
MSFT,2022-08-03,281.8,283.8,280.1677,283.65,18098668.0,282.5465,242902
MSFT,2022-08-04,279.15,283.65,278.68,282.91,16774606.0,281.721,240178
MSFT,2022-08-07,284.05,285.92,279.32,280.32,18757818.0,282.0016,258506
MSFT,2022-08-08,279.64,283.08,277.61,282.3,23405238.0,281.3194,264734
MSFT,2022-08-09,288.17,289.81,286.94,289.16,24652845.0,288.6242,301911
MSFT,2022-08-10,290.85,291.21,286.51,287.02,20065938.0,288.1876,250692
MSFT,2022-08-11,288.48,291.91,286.94,291.91,22619675.0,289.9108,236645
MSFT,2022-08-14,291,294.18,290.11,293.47,18053154.0,292.4294,220400
MSFT,2022-08-15,291.99,294.04,290.42,292.71,18102882.0,292.4112,238194
MSFT,2022-08-16,289.74,293.35,289.47,291.32,18203358.0,291.3739,243421
MSFT,2022-08-17,290.189,291.91,289.08,290.17,17032192.0,290.5375,220664
MSFT,2022-08-18,288.9,289.25,285.56,286.15,20570033.0,286.8317,242758
MSFT,2022-08-21,282.08,282.46,277.22,277.75,25061070.0,278.8803,291816
MSFT,2022-08-22,276.44,278.86,275.4,276.44,17527409.0,276.841,216859
MSFT,2022-08-23,275.41,277.23,275.11,275.79,18137019.0,276.0336,225085
MSFT,2022-08-24,277.33,279.02,274.52,278.85,16583407.0,276.986,207794
MSFT,2022-08-25,279.08,280.34,267.98,268.09,27549307.0,271.1515,333187
MSFT,2022-08-28,265.85,267.4,263.85,265.23,20320044.0,265.6183,268266
