ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
ARM,2023-09-13,56.1,66.28,55.54,63.59,130534505.0,59.6608,912436
ARM,2023-09-14,68.63,69.0,60.75,60.75,74753091.0,64.5943,686803
ARM,2023-09-17,57.95,58.7407,55.02,58.0,34571903.0,57.0525,310568
ARM,2023-09-18,56.25,56.78,53.88,55.17,18308644.0,55.2243,159862
ARM,2023-09-19,55.17,55.4,51.52,52.91,16369470.0,53.1885,137480
ARM,2023-09-20,51.78,52.8,49.85,52.16,15010920.0,51.1024,126957
ARM,2023-09-21,52.9,52.9,50.3548,51.32,8430168.0,51.2158,71657
ARM,2023-09-24,51.12,54.5,50.02,54.44,12896541.0,52.8346,106860
ARM,2023-09-25,53.93,54.53,52.7,53.52,6283544.0,53.5436,62608
ARM,2023-09-26,54.4,54.4099,51.7894,52.99,6866740.0,52.9415,50682
ARM,2023-09-27,53.5,56.5,52.86,55.49,8765755.0,54.8936,71337
ARM,2023-09-28,56.21,56.79,53.08,53.52,7810025.0,54.344,69586
ARM,2023-10-01,53.475,54.1899,51.91,52.26,8857088.0,52.6809,68613
ARM,2023-10-02,51.96,52.235,50.8,51.57,4687735.0,51.5096,47565
ARM,2023-10-03,51.97,53.81,51.31,53.46,6206459.0,52.9621,56940
ARM,2023-10-04,53.9,53.9,52.09,52.51,2984420.0,52.6825,34622
ARM,2023-10-05,52.72,54.21,51.55,54.08,4009236.0,53.3027,40054
ARM,2023-10-08,54.4,55.8,53.37,54.25,7197706.0,54.5515,67785
ARM,2023-10-09,55.24,55.86,54.2,55.71,5138144.0,55.2673,44695
ARM,2023-10-10,56.17,56.33,54.38,54.68,4454722.0,55.135,40702
ARM,2023-10-11,54.75,54.75,51.41,51.85,7323145.0,52.4696,73036
ARM,2023-10-12,52.5,52.56,50.0,50.78,6462484.0,50.7169,72441
ARM,2023-10-15,51.04,52.35,51.04,52.09,3316789.0,51.8977,38443
ARM,2023-10-16,51.0,52.76,50.65,52.29,2549709.0,51.8961,29279
ARM,2023-10-17,52.28,52.7,51.275,51.9,2268871.0,51.8198,29284
ARM,2023-10-18,52.0,52.7,49.53,49.74,4553360.0,50.8537,47931
ARM,2023-10-19,49.74,49.74,46.5,47.87,8089129.0,47.6922,92537
ARM,2023-10-22,47.22,51.88,46.5,50.21,9979286.0,49.9142,88513
ARM,2023-10-23,52.0,52.8917,51.05,52.37,7211721.0,51.9833,64230
