ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
FICO,2023-05-29,795,796.5,786.32,790.41,162672,790.7022,8383
FICO,2023-05-30,789.89,794.98,775.11,787.67,409446,786.6759,8371
FICO,2023-05-31,786.3,799.95,786.3,793.24,208759,794.1911,8306
FICO,2023-06-01,793.33,800.085,783.06,790.84,176866,790.5719,8571
FICO,2023-06-04,787.21,796.67,781.09,791.6,104567,791.3458,6505
FICO,2023-06-05,789.21,795.35,786.03,789.99,155178,790.7447,7112
FICO,2023-06-06,789.54,797.18,745.45,757.18,374896,761.0115,13248
FICO,2023-06-07,756.11,771.01,756.11,766.69,216687,765.3775,9113
FICO,2023-06-08,769.67,779.74,765.4,774.71,232705,774.5444,8712
FICO,2023-06-11,782.45,800.46,779.37,800.18,154351,793.3093,9278
FICO,2023-06-12,804.53,806.45,797.6,801.58,201692,801.742,7220
FICO,2023-06-13,804.07,807.08,785.54,795.25,196205,794.1386,8453
FICO,2023-06-14,791.68,807.41,791.68,802.11,175296,801.5222,7859
FICO,2023-06-15,809.69,815.64,795.495,799.96,262951,802.6177,6501
FICO,2023-06-19,797.27,806.67,788.925,795.54,220065,796.6401,10415
FICO,2023-06-20,794.15,796.76,782.435,790.5,187186,789.2395,8964
FICO,2023-06-21,786.84,795.235,778.65,786.85,130075,786.1115,7940
FICO,2023-06-22,779.79,783.26,770.58,776.05,326104,777.6435,9551
FICO,2023-06-25,772.59,780.98,768.16,768.48,125651,772.0938,8467
FICO,2023-06-26,768.48,778.3,764.49,775.54,228815,772.6931,11054
FICO,2023-06-27,774.58,799.61,773.5,787.84,153801,787.8424,8115
FICO,2023-06-28,789.69,797.57,786.515,796.54,104408,795.3973,6078
FICO,2023-06-29,805.44,815.18,805.44,809.21,164309,810.5765,7264
FICO,2023-07-02,805.9,811.1,790.51,795,69556,795.832,4135
FICO,2023-07-04,790.08,798.67,788.89,791.97,109911,792.5377,5922
FICO,2023-07-05,787.75,787.75,776.63,782.4,174988,781.1902,7427
FICO,2023-07-06,781.68,798.13,781.68,793.79,145460,793.186,5351
FICO,2023-07-09,792.47,810.64,792.47,802.38,151615,802.6862,7449
FICO,2023-07-10,802.73,810.44,799.18,808.41,153133,806.7245,5827
FICO,2023-07-11,815.54,815.54,804.28,810.97,148194,810.6245,5562
FICO,2023-07-12,814.89,817.38,808.49,810.8,104653,811.9481,5962
FICO,2023-07-13,811.3,824.94,810.48,824.45,128334,820.7709,6558
