ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
OXY,2024-03-15 03:00:00,62.5,62.5,62.5,62.5,311,62.5407,14
OXY,2024-03-15 04:12:00,62.62,62.62,62.62,62.62,272,62.62,19
OXY,2024-03-15 04:22:00,62.51,62.51,62.51,62.51,111,62.51,1
OXY,2024-03-15 04:23:00,62.55,62.55,62.55,62.55,500,62.538,7
OXY,2024-03-15 04:24:00,62.56,62.56,62.56,62.56,107,62.56,1
OXY,2024-03-15 04:34:00,62.54,62.54,62.54,62.54,258,62.5484,5
OXY,2024-03-15 04:35:00,62.53,62.53,62.53,62.53,242,62.5338,6
OXY,2024-03-15 04:37:00,62.54,62.54,62.54,62.54,401,62.5388,10
OXY,2024-03-15 05:12:00,62.54,62.54,62.54,62.54,223,62.5422,2
OXY,2024-03-15 05:39:00,62.58,62.58,62.58,62.58,100,62.58,1
OXY,2024-03-15 05:57:00,62.59,62.59,62.59,62.59,133,62.5875,2
OXY,2024-03-15 06:00:00,62.59,62.59,62.59,62.59,185,62.59,3
OXY,2024-03-15 06:55:00,62.66,62.66,62.66,62.66,309,62.66,2
OXY,2024-03-15 07:00:00,62.54,62.66,62.5117,62.66,1145,62.5688,22
OXY,2024-03-15 07:01:00,62.7,62.7,62.7,62.7,186,62.6455,10
OXY,2024-03-15 07:02:00,62.69,62.7,62.69,62.7,438,62.6952,17
OXY,2024-03-15 07:06:00,62.65,62.65,62.65,62.65,452,62.6403,14
OXY,2024-03-15 07:15:00,62.6,62.6,62.6,62.6,320,62.5874,4
OXY,2024-03-15 07:16:00,62.58,62.58,62.58,62.58,113,62.58,2
OXY,2024-03-15 07:21:00,62.58,62.58,62.58,62.58,501,62.5799,2
OXY,2024-03-15 07:24:00,62.5,62.58,62.5,62.58,523,62.5553,3
OXY,2024-03-15 07:27:00,62.58,62.58,62.58,62.58,202,62.58,2
OXY,2024-03-15 07:33:00,62.58,62.58,62.58,62.58,968,62.58,2
OXY,2024-03-15 07:37:00,62.62,62.62,62.62,62.62,250,62.614,4
OXY,2024-03-15 07:42:00,62.58,62.62,62.58,62.62,482,62.5946,7
OXY,2024-03-15 07:46:00,62.62,62.63,62.62,62.63,254,62.6289,7
OXY,2024-03-15 07:56:00,62.7569,62.7569,62.66,62.66,1574,62.6799,2
OXY,2024-03-15 07:57:00,62.76,62.76,62.76,62.76,560,62.7493,2
OXY,2024-03-15 07:58:00,62.6,62.6,62.6,62.6,341,62.603,3
OXY,2024-03-15 08:10:00,62.7,62.78,62.7,62.78,645,62.7262,13
OXY,2024-03-15 08:11:00,62.77,62.77,62.75,62.75,2334,62.7519,16
OXY,2024-03-15 08:12:00,62.75,62.75,62.75,62.75,2320,62.7461,36
OXY,2024-03-15 08:13:00,62.75,62.75,62.7,62.75,2101,62.7471,44
OXY,2024-03-15 08:22:00,62.7,62.7,62.65,62.65,540,62.6616,12
OXY,2024-03-15 08:24:00,62.59,62.59,62.57,62.57,1001,62.5859,14
OXY,2024-03-15 08:25:00,62.58,62.58,62.58,62.58,102,62.582,2
OXY,2024-03-15 08:26:00,62.57,62.58,62.56,62.56,905,62.5826,11
OXY,2024-03-15 08:27:00,62.52,62.53,62.51,62.51,1976,62.5268,44
OXY,2024-03-15 08:28:00,62.5,62.5,62.5,62.5,1302,62.5006,9
OXY,2024-03-15 08:29:00,62.5,62.5,62.36,62.36,3331,62.3959,33
OXY,2024-03-15 08:30:00,62.36,62.75,62.32,62.75,905628,62.3449,731
OXY,2024-03-15 08:31:00,62.72,62.83,62.63,62.644,33701,62.7285,332
OXY,2024-03-15 08:32:00,62.6582,62.8,62.6582,62.7516,40934,62.7296,199
OXY,2024-03-15 08:33:00,62.78,62.8,62.69,62.74,10457,62.7391,105
OXY,2024-03-15 08:34:00,62.75,62.856,62.72,62.856,19016,62.8137,174
OXY,2024-03-15 08:35:00,62.86,62.87,62.8,62.8298,23542,62.8436,344
OXY,2024-03-15 08:36:00,62.83,62.92,62.825,62.92,26652,62.8687,446
OXY,2024-03-15 08:37:00,62.92,63.01,62.9,62.9956,98186,62.99,672
OXY,2024-03-15 08:38:00,62.99,63.01,62.33,62.97,101217,62.6682,525
OXY,2024-03-15 08:39:00,62.97,62.99,62.88,62.8889,12959,62.9425,170
OXY,2024-03-15 08:40:00,62.91,63,62.905,62.99,19874,62.9565,187
OXY,2024-03-15 08:41:00,62.99,62.99,62.905,62.93,11414,62.9401,152
OXY,2024-03-15 08:42:00,62.9112,63,62.91,62.95,20246,62.9712,205
OXY,2024-03-15 08:43:00,62.94,62.99,62.92,62.93,9918,62.959,165
OXY,2024-03-15 08:44:00,62.925,62.925,62.82,62.84,37835,62.8622,273
OXY,2024-03-15 08:45:00,62.84,62.87,62.79,62.79,14698,62.8349,244
OXY,2024-03-15 08:46:00,62.8,62.81,62.755,62.775,31847,62.79,276
OXY,2024-03-15 08:47:00,62.78,62.81,62.71,62.735,22012,62.7573,275
OXY,2024-03-15 08:48:00,62.73,62.745,62.68,62.745,27511,62.7079,240
OXY,2024-03-15 08:49:00,62.745,62.77,62.71,62.71,18602,62.7405,236
OXY,2024-03-15 08:50:00,62.705,62.76,62.7,62.732,22637,62.7267,251
OXY,2024-03-15 08:51:00,62.735,62.775,62.73,62.76,20101,62.7522,217
OXY,2024-03-15 08:52:00,62.77,62.77,62.7,62.71,9261,62.7186,158
OXY,2024-03-15 08:53:00,62.705,62.7302,62.7,62.7,20307,62.7138,241
OXY,2024-03-15 08:54:00,62.6915,62.72,62.68,62.715,12455,62.6934,177
OXY,2024-03-15 08:55:00,62.72,62.76,62.72,62.75,10097,62.7377,181
OXY,2024-03-15 08:56:00,62.75,62.78,62.74,62.755,24290,62.7589,228
OXY,2024-03-15 08:57:00,62.76,62.785,62.74,62.74,13230,62.7658,224
OXY,2024-03-15 08:58:00,62.75,62.7542,62.74,62.745,6605,62.7459,152
OXY,2024-03-15 08:59:00,62.75,62.77,62.75,62.75,6373,62.7557,122
OXY,2024-03-15 09:00:00,62.75,62.76,62.72,62.72,10616,62.737,230
OXY,2024-03-15 09:01:00,62.715,62.73,62.67,62.71,37856,62.697,294
OXY,2024-03-15 09:02:00,62.71,62.775,62.69,62.775,21101,62.7224,197
OXY,2024-03-15 09:03:00,62.7891,62.83,62.75,62.82,24161,62.7936,167
OXY,2024-03-15 09:04:00,62.825,62.86,62.82,62.85,14511,62.8353,169
OXY,2024-03-15 09:05:00,62.855,62.87,62.825,62.845,11337,62.8506,226
OXY,2024-03-15 09:06:00,62.86,62.89,62.83,62.865,21404,62.8617,191
OXY,2024-03-15 09:07:00,62.87,62.89,62.84,62.84,12930,62.8603,196
OXY,2024-03-15 09:08:00,62.82,62.83,62.78,62.8,17294,62.8106,215
