ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
AA,20230913,29.52,30.3,29.4136,30.19,6722592.0,29.9125,55818
AA,20230914,29.89,29.89,28.8,28.85,8716044.0,29.112,52151
AA,20230917,29.19,29.24,28.485,28.85,4524804.0,28.9296,40882
AA,20230918,28.83,28.9892,27.835,28.34,5153224.0,28.2522,42071
AA,20230919,28.65,29.79,28.55,29.38,8084407.0,29.3912,62922
AA,20230920,28.68,28.68,27.86,27.87,5488792.0,28.1809,44884
AA,20230921,28.27,28.5961,28.05,28.35,5096808.0,28.3364,41804
AA,20230924,27.75,27.77,26.34,26.63,9304192.0,26.7502,62882
AA,20230925,26.36,26.7496,25.59,25.86,6489345.0,25.9566,48315
AA,20230926,26.07,26.78,25.95,26.2,5604857.0,26.3489,44897
AA,20230927,26.59,28.15,26.411,28.14,7998093.0,27.7652,61041
AA,20230928,29.07,29.83,28.97,29.06,7723051.0,29.3317,64678
AA,20231001,28.69,29.33,28.33,28.84,4496029.0,28.7344,44183
AA,20231002,28.11,28.85,27.27,27.65,5457898.0,27.7982,44545
AA,20231003,27.73,27.81,26.37,27.16,5335536.0,26.9917,44277
AA,20231004,27.13,27.3,26.45,26.53,4425076.0,26.6492,33959
AA,20231005,26.57,27.5,26.13,27.15,6246883.0,26.7891,54935
AA,20231008,26.68,27.465,26.62,27.25,3857120.0,27.1037,33021
AA,20231009,27.64,28.57,27.4701,28.2,4850018.0,28.2281,43491
AA,20231010,28.29,28.4,27.6,28.04,3749841.0,27.9348,33996
AA,20231011,28.04,28.06,26.41,26.9,4851815.0,27.0111,41494
AA,20231012,27,27.25,26.33,26.58,4533433.0,26.6913,46143
AA,20231015,27.2,27.445,26.7825,26.81,4977729.0,27.0882,47192
AA,20231016,26.3,28.37,26.27,27.77,6025202.0,27.8038,51798
AA,20231017,27.1,27.43,26.5,26.52,6489364.0,26.825,54944
AA,20231018,26.16,26.22,24.215,24.24,13580570.0,24.9585,104469
AA,20231019,23.5,24.37,23.26,24.01,9204421.0,23.9284,70502
AA,20231022,23.16,24.21,23.07,23.41,6780193.0,23.6426,51860
AA,20231023,23.66,24.21,23.36,23.44,7557444.0,23.6286,48213
AA,20231024,23.335,24.03,23.14,23.84,5510187.0,23.6374,45116
AA,20231025,23.99,24.1895,23.37,23.51,6386776.0,23.6483,52139
AA,20231026,23.975,24.11,23.17,23.51,6325040.0,23.5041,47074
AA,20231029,24,25.425,23.8501,25.32,9442076.0,24.8596,69751
AA,20231030,25.28,25.89,24.84,25.64,5156478.0,25.5835,43789
AA,20231031,25.67,25.78,24.275,25.03,6202053.0,24.9568,46926
AA,20231101,25.5,26.142,25.295,26.07,5825331.0,25.7923,44315
AA,20231102,26.5,27.005,26.14,26.53,5479951.0,26.5314,46145
AA,20231105,26.71,26.73,25.76,25.97,3869527.0,26.0804,32978
AA,20231106,25.22,25.595,24.82,25.54,4852895.0,25.3437,37582
AA,20231107,25.12,25.66,24.965,25.53,3671356.0,25.3451,30055
AA,20231108,25.81,25.87,24.41,24.58,4078496.0,24.8878,32164
AA,20231109,24.7,24.8899,24.28,24.64,3040197.0,24.5455,25987
AA,20231112,24.49,25.025,24.3001,24.6,2839661.0,24.6788,24232
AA,20231113,25.44,26.565,25.36,26.17,5472140.0,26.1161,43184
AA,20231114,26.52,27.34,26.36,26.95,5857249.0,26.8959,50403
AA,20231115,26.6,26.99,25.94,26,4080260.0,26.1855,36252
AA,20231116,26.35,26.9775,26.12,26.22,4988743.0,26.4579,41368
AA,20231119,26.32,26.7,25.97,26.47,4231732.0,26.5488,34078
AA,20231120,26.28,26.625,26.17,26.39,2881900.0,26.3625,25747
AA,20231121,26.28,26.62,25.98,26.38,2925838.0,26.3864,25871
AA,20231123,26.16,26.56,26.16,26.24,1282299.0,26.3564,12186
AA,20231126,26.22,26.5958,25.87,26.3,3428999.0,26.3506,35180
AA,20231127,26.22,26.29,25.64,26.08,4382377.0,26.0233,36432
AA,20231128,26.42,27.04,26.22,26.44,6103838.0,26.5836,50201
AA,20231129,26.58,27.245,26.4399,26.86,4823473.0,26.8594,38548
AA,20231130,27,28.015,26.5101,27.74,5462935.0,27.6354,49764
AA,20231203,27.28,27.93,26.765,26.81,4964975.0,27.1693,47843
AA,20231204,26.5,26.53,25.13,25.24,7715838.0,25.5098,57799
AA,20231205,25.6,25.96,25.04,25.12,4055033.0,25.4161,38955
AA,20231206,25.16,25.29,24.27,24.94,6732082.0,24.6803,60046
AA,20231207,25.04,25.725,24.87,25.02,5133177.0,25.1063,41477
AA,20231210,24.75,25.3199,24.67,24.93,4290666.0,24.9921,38469
AA,20231211,24.68,24.75,23.8,24.05,5849349.0,24.2112,42775
AA,20231212,24.04,26.04,23.885,25.99,7919148.0,25.2172,60510
AA,20231213,27.04,30.135,26.94,29.9,16594044.0,29.1624,117521
AA,20231214,29.93,32.5,29.67,31.1,19183792.0,31.1446,128752
AA,20231217,31.44,32.31,30.52,30.52,7270394.0,31.2067,58975
AA,20231218,31.19,33,30.9101,32.42,7967243.0,32.2385,63275
AA,20231219,32.01,32.475,30.56,30.65,7516945.0,31.4342,62960
AA,20231220,31.25,32.14,30.59,32.02,5566085.0,31.4971,48302
AA,20231221,32.96,34.44,32.88,33.77,9066769.0,33.8685,73756
AA,20231225,33.86,34.12,33.5,33.87,4505900.0,33.8235,34962
AA,20231226,34.23,35.035,33.7498,34.81,5798101.0,34.6351,49677
AA,20231227,34.68,34.8118,34.198,34.55,3909863.0,34.4735,34340
AA,20231228,34.31,34.74,33.93,34,3295505.0,34.214,34810
AA,20240101,33.53,33.97,33.04,33.31,3837998.0,33.4574,40146
AA,20240102,32.12,32.27,31.045,31.49,8245658.0,31.6631,60342
AA,20240103,31.13,31.49,30.86,31.13,4543572.0,31.1896,40234
AA,20240104,30.54,32.305,30.09,32.13,7317669.0,31.8393,58655
AA,20240107,31.82,32.09,31.22,31.73,4992051.0,31.7047,47751
AA,20240108,31.82,32.45,31.55,31.94,5792123.0,31.9355,49106
AA,20240109,31.8,32.14,31.31,31.65,4733613.0,31.7089,44788
AA,20240110,31.49,31.64,30.66,30.88,4419749.0,30.9608,42906
AA,20240111,31.19,31.82,30.02,30.03,3933935.0,30.4982,36357
AA,20240115,29.17,29.29,27.275,27.87,10715028.0,28.1006,91488
AA,20240116,27.17,27.67,27.05,27.18,9606378.0,27.3108,77983
AA,20240117,27.62,28.72,26.58,26.75,12853154.0,27.2466,95262
AA,20240118,26.73,27.38,26.345,27.36,6001915.0,26.9419,51186
AA,20240121,26.87,27.8552,26.77,27.62,5793822.0,27.5602,47743
AA,20240122,29.15,30.485,29.0301,29.51,9363900.0,29.6448,79474
AA,20240123,30.25,30.37,29.32,29.76,8916006.0,29.8453,72619
AA,20240124,29.96,30.45,29.21,29.88,4683347.0,29.6871,46241
AA,20240125,30.22,30.7,29.8707,30.61,5123914.0,30.4334,42709
AA,20240128,30.46,30.97,29.6894,30.91,4649101.0,30.4371,39613
AA,20240129,30.34,30.84,30,30.61,4714657.0,30.5141,43851
AA,20240130,30.49,31.36,29.715,29.75,5760362.0,30.3721,51609
AA,20240131,30.08,30.405,29.15,29.69,4174587.0,29.6102,40609
AA,20240201,29,29.72,28.55,29.49,4959005.0,29.204,48154
AA,20240204,28.6,28.6,26.74,26.84,8824323.0,27.1095,70865
AA,20240205,26.94,27.79,26.93,27.62,7829540.0,27.4829,61759
AA,20240206,27.6,27.765,26.93,27.53,5017197.0,27.3146,39088
AA,20240207,27.44,28.07,27.14,27.71,4854492.0,27.7307,45895
AA,20240208,27.71,27.734,26.7,26.89,4762128.0,26.9832,41381
AA,20240211,27.1,28.095,26.87,27.9,4374586.0,27.7683,36939
AA,20240212,26.9,27.2,25.575,25.85,7264231.0,26.0828,62023
AA,20240213,26.21,26.99,25.87,26.79,5100599.0,26.5696,45295
AA,20240214,27.04,27.64,26.92,27.39,4385488.0,27.3081,38969
AA,20240215,27.34,28.03,27.16,27.4,4686221.0,27.6202,37512
AA,20240219,26.88,26.88,26.16,26.69,4711849.0,26.564,40984
AA,20240220,27.12,28.04,27.07,27.96,5642088.0,27.7061,50545
AA,20240221,27.77,27.841,27.26,27.75,6720750.0,27.6592,48276
AA,20240222,27.62,27.71,26.47,26.52,5340275.0,26.7977,45743
AA,20240225,26.15,26.15,24.86,25.34,11130001.0,25.2959,73858
AA,20240226,25.91,27,25.2,26.7,6822581.0,26.3615,55781
AA,20240227,26.19,26.535,25.97,26.32,3748436.0,26.3364,31413
AA,20240228,26.69,27.26,26.31,27.21,6020162.0,26.9497,48253
AA,20240229,27.5,27.82,26.8799,27.68,6845450.0,27.5943,45236
AA,20240303,27.5,27.55,27.04,27.48,3954744.0,27.3328,36282
AA,20240304,27.05,27.21,26.57,26.91,5704755.0,26.8711,41802
AA,20240305,27.67,28.725,26.9,28.22,6335600.0,27.9528,50928
AA,20240306,28.86,30.1,28.86,29.87,7740525.0,29.6925,63042
AA,20240307,30.38,30.64,29.27,29.85,6537765.0,29.8944,54169
AA,20240310,29.58,30.7899,29.48,30.49,6274509.0,30.378,47952
AA,20240311,30.6,30.75,29.21,29.79,6140114.0,29.824,47739
AA,20240312,30.03,31.19,29.98,30.56,6703181.0,30.6205,55418
AA,20240313,30.38,30.65,29.61,30.02,5678606.0,30.0542,49732
AA,20240314,29.9,30.76,29.64,30.44,8175194.0,30.35,51765
AA,20240317,30.94,31.66,30.79,31.03,6844237.0,31.2471,51220
AA,20240318,30.3,30.47,28.72,29.67,9888748.0,29.3871,72847
AA,20240319,29.63,31.88,29.52,31.35,7446940.0,30.9679,63363
AA,20240320,31.71,32.13,31.05,31.35,5594696.0,31.526,46313
AA,20240321,31,31.525,30.84,31.4,4334930.0,31.3299,46295
AA,20240324,31.57,32.3,31.5,31.86,4744964.0,31.9983,42235
AA,20240325,32.32,32.32,31.23,31.58,3764994.0,31.6185,35735
AA,20240326,31.72,33.23,31.67,33.21,6438969.0,32.7424,52486
AA,20240327,33.24,33.965,33.2,33.79,6147050.0,33.6825,50895
AA,20240331,34.1,34.36,33.51,34.02,4440195.0,33.9758,38823
AA,20240401,34.06,35.75,33.82,35.64,8190058.0,35.2573,74605
AA,20240402,35.9,37.545,35.76,37.18,11119381.0,37.0801,81153
AA,20240403,37.3,37.67,35.83,35.95,8961304.0,36.5508,69495
AA,20240404,35.77,36.72,35.6453,36.49,4509638.0,36.3176,37329
AA,20240407,36.91,37.145,36.21,36.34,4690518.0,36.5048,38581
AA,20240408,37.1,37.47,36.28,36.82,4750896.0,36.8528,38544
AA,20240409,35.71,36.66,35.3,36.19,5437519.0,36.1546,44977
AA,20240410,36.16,36.69,35.75,36.23,4244764.0,36.1745,36885
AA,20240411,37.47,38.03,34.96,35.2,7488668.0,35.9725,60525
AA,20240414,37,37.59,36.465,36.57,9880585.0,36.8518,90239
AA,20240415,35.15,36.3393,35.05,36.09,7121735.0,35.8627,66140
AA,20240416,37.16,37.48,35.21,35.55,12546871.0,36.3641,92266
AA,20240417,35.51,36.4,33.84,35.47,11601504.0,35.278,100726
AA,20240418,35.2,36.44,35.06,35.53,7986961.0,35.7891,66246
AA,20240421,35.73,36.64,35.25,36.35,7382832.0,36.1554,57949
AA,20240422,35,36.3948,34.51,36.06,7559430.0,35.8808,58997
AA,20240423,35.96,36.55,35.74,36.08,5704667.0,36.0982,44043
AA,20240424,35.86,36.06,34.78,35.94,4466546.0,35.5396,39727
AA,20240425,36.51,37.39,36.23,36.88,5236100.0,36.762,45862
AA,20240428,36.88,38.2,36.65,37.65,5723474.0,37.5232,50420
AA,20240429,36.76,36.92,35.11,35.14,7826308.0,35.6425,71225
AA,20240430,35.2,35.47,33.88,34.25,7387911.0,34.4418,63771
AA,20240501,34.11,35.975,34.025,35.94,5595304.0,35.3587,49799
AA,20240502,36.7,37.2,36.25,36.77,5014775.0,36.637,47220
AA,20240505,37.33,37.9383,37.005,37.32,3622552.0,37.3348,35256
AA,20240506,37.17,37.79,37.13,37.57,3020887.0,37.5803,29483
AA,20240507,36.7,36.96,36.3,36.64,3650824.0,36.5996,34031
AA,20240508,36.86,37.69,36.47,37.36,4532100.0,37.343,35688
AA,20240509,37.63,37.78,36.86,37.12,4362996.0,37.2412,40818
AA,20240512,37.65,40.31,37.58,40.16,7683430.0,39.7352,67916
AA,20240513,40.38,40.84,39.509,39.83,5254730.0,39.9091,53587
AA,20240514,40.4,40.5,39.07,40.04,5665857.0,39.7248,53426
AA,20240515,40,40.8,39.8,40.15,3710978.0,40.3719,37051
AA,20240516,40.74,41.55,40.66,41.22,4180606.0,41.1013,39076
AA,20240519,41.17,42.84,41.02,42.53,7201685.0,42.2549,57900
AA,20240520,42.27,44.57,42.18,44.09,9350079.0,43.933,99056
AA,20240521,42.97,42.97,41.8,42.15,6279015.0,42.3061,62164
AA,20240522,42.2,42.2554,40.33,41.05,4744696.0,41.1156,43973
AA,20240523,41.59,42.13,41.36,41.64,2905060.0,41.6498,33222
AA,20240527,42.8,43.6,42.4358,43.2,7884238.0,43.1507,48907
AA,20240528,42.47,44.01,42.27,43.93,5244848.0,43.6934,46606
AA,20240529,43.29,45.48,43.18,44.54,5495027.0,44.7378,62803
AA,20240530,44.76,45.46,43.3,44.27,4452040.0,44.1877,44264
AA,20240602,44.66,44.96,43.7501,44.01,3700885.0,44.2359,38664
AA,20240603,43.01,43.2798,41.28,42.01,6472710.0,42.0196,64565
AA,20240604,41.85,42.74,41.78,42.59,3262085.0,42.3744,34584
AA,20240605,42.51,43.005,42.293,42.65,3111565.0,42.6803,36703
AA,20240606,41.6,41.8688,40.42,40.91,3980144.0,41.0543,44351
AA,20240609,41,41.59,40.64,41.16,2944307.0,41.2668,35020
AA,20240610,40.25,40.46,39.56,40.21,3440820.0,40.1498,37821
AA,20240611,41.64,42.25,39.69,39.71,3292646.0,40.5445,40580
AA,20240612,39.52,39.85,38.34,38.54,4333335.0,38.7104,42136
AA,20240613,37.86,38.15,37.21,37.9,3156927.0,37.7978,33939
AA,20240616,37.52,37.73,36.9,37.4,3845652.0,37.3382,36630
AA,20240617,37.01,38.23,36.79,37.49,3838651.0,37.6106,35876
AA,20240619,38.1,39.11,37.9,38.98,7049507.0,38.7293,54712
AA,20240620,39.96,40.55,39.1123,40.4,6288983.0,40.014,50393
AA,20240623,40.42,41.57,40.42,40.56,4935176.0,40.8779,44887
AA,20240624,40.1,40.19,39.17,39.94,3045823.0,39.7968,33042
AA,20240625,39.82,39.97,38.91,39.43,2975780.0,39.2391,34101
AA,20240626,39.34,39.46,38.53,38.82,4598906.0,38.8583,37439
AA,20240627,39.84,40.12,39.1,39.78,6789820.0,39.7408,43539
AA,20240630,40.25,40.87,39.54,39.7,3145373.0,40.0048,28761
AA,20240701,39.89,41.15,39.8542,40.83,3922574.0,40.6619,36603
AA,20240702,41.59,43,41.58,42.38,4071212.0,42.4423,37902
AA,20240704,42.65,43.1,42.42,42.44,2517321.0,42.5981,24725
AA,20240707,42.54,42.55,41.31,41.66,2883752.0,41.8197,31178
AA,20240708,41.52,42.0896,40.3,40.33,2907249.0,40.8557,31665
AA,20240709,40.66,40.8,38.23,38.46,6100751.0,38.8331,55203
AA,20240710,40.31,40.515,38.35,39.18,8756585.0,39.2041,72705
AA,20240711,40.11,40.41,38.87,38.95,4856809.0,39.2059,47242
AA,20240714,39,40.06,38.5518,39.3,3607347.0,39.4392,35686
AA,20240715,38.17,38.69,37.46,38.66,6178022.0,38.1357,52942
AA,20240716,38.24,38.68,36.81,36.81,7580340.0,37.408,61288
AA,20240717,36.7,38.22,35.39,35.65,8881199.0,36.2796,81034
AA,20240718,35.26,35.26,34.55,34.92,5314242.0,34.8415,48341
AA,20240721,34.7,34.82,34.22,34.53,6073390.0,34.5385,57947
AA,20240722,33.95,34.2761,33.57,33.9,11832317.0,33.8839,66315
AA,20240723,33.78,34.1796,32.665,32.84,6322640.0,33.2279,55310
AA,20240724,32.72,33.5423,32.5,32.91,5858036.0,33.0337,52798
AA,20240725,33.75,34.18,32.92,33.43,5775092.0,33.3872,50658
AA,20240728,33.2,33.46,32.82,33.02,4129859.0,33.0115,39767
AA,20240729,32.55,32.67,31.16,31.77,8679632.0,31.673,74202
AA,20240730,32.79,33.57,32.76,33.04,6619704.0,33.0824,63585
AA,20240731,32.95,33.27,31.09,31.47,17183234.0,31.5791,59040
AA,20240801,31.05,31.06,29.27,29.47,6814853.0,29.7119,67279
AA,20240804,27.98,28.54,27.12,28.44,13102922.0,28.2236,73416
AA,20240805,28.5,29.64,28.2,29.39,11710576.0,29.1981,68375
AA,20240806,30,30.52,28.93,29.21,9393823.0,29.6087,70824
AA,20240807,29.61,30.66,29.55,30.63,5862878.0,30.232,51740
AA,20240808,31.26,31.26,30.39,30.56,7027944.0,30.7443,58599
AA,20240811,31.03,31.66,31.01,31.19,4913917.0,31.2267,45114
