ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,price_365_days_ago,price_7_days_ago,ratio,prev_price,todays_price,percent_change,accum_prcnt_chg_close,days_up_or_down
AA,2023-09-14,29.89,29.89,28.8,28.85,8716044.0,29.112,52151,,,,30.19,28.85,-4.438555813183172,-4.438555813183172,1
AA,2023-09-18,28.83,28.9892,27.835,28.34,5153224.0,28.2522,42071,,30.19,,28.85,28.34,-1.767764298093593,-1.767764298093593,1
AA,2023-09-19,28.65,29.79,28.55,29.38,8084407.0,29.3912,62922,,28.85,,28.34,29.38,3.6697247706421985,3.6697247706421985,1
AA,2023-09-20,28.68,28.68,27.86,27.87,5488792.0,28.1809,44884,,28.85,,29.38,27.87,-5.139550714771947,-5.139550714771947,1
AA,2023-09-21,28.27,28.5961,28.05,28.35,5096808.0,28.3364,41804,,28.34,,27.87,28.35,1.7222820236813794,1.7222820236813794,1
AA,2023-09-25,26.36,26.7496,25.59,25.86,6489345.0,25.9566,48315,,27.87,,26.63,25.86,-2.8914757791963934,-8.958495179549136,2
AA,2023-09-28,29.07,29.83,28.97,29.06,7723051.0,29.3317,64678,,25.86,,28.14,29.06,3.2693674484719195,11.98871944955822,3
AA,2023-10-04,27.13,27.3,26.45,26.53,4425076.0,26.6492,33959,,28.84,,27.16,26.53,-2.3195876288659756,-8.975007490101568,4
AA,2023-10-09,27.64,28.57,27.4701,28.2,4850018.0,28.2281,43491,,26.53,,27.25,28.2,3.486238532110089,6.191539664501991,3
AA,2023-10-12,27.0,27.25,26.33,26.58,4533433.0,26.6913,46143,,28.2,,26.9,26.58,-1.1895910780669157,-5.82258750667448,3
AA,2023-10-16,26.3,28.37,26.27,27.77,6025202.0,27.8038,51798,,26.9,,26.81,27.77,3.5807534502051506,4.4460657150659495,2
AA,2023-10-22,23.16,24.21,23.07,23.41,6780193.0,23.6426,51860,,26.52,,24.01,23.41,-2.4989587671803473,-16.5463490724409,4
AA,2023-10-24,23.335,24.03,23.14,23.84,5510187.0,23.6374,45116,,24.01,,23.44,23.84,1.7064846416382191,1.8346350047309194,2
AA,2023-10-25,23.99,24.1895,23.37,23.51,6386776.0,23.6483,52139,,23.41,,23.84,23.51,-1.3842281879194558,-1.3842281879194558,1
AA,2023-10-30,25.28,25.89,24.84,25.64,5156478.0,25.5835,43789,,23.51,,25.32,25.64,1.263823064770933,8.962674617301765,3
AA,2023-10-31,25.67,25.78,24.275,25.03,6202053.0,24.9568,46926,,23.51,,25.64,25.03,-2.37909516380655,-2.37909516380655,1
AA,2023-11-02,26.5,27.005,26.14,26.53,5479951.0,26.5314,46145,,25.64,,26.07,26.53,1.7644802454929072,5.91949422871304,2
AA,2023-11-08,25.81,25.87,24.41,24.58,4078496.0,24.8878,32164,,25.97,,25.53,24.58,-3.7211124167646012,-7.526841268811853,4
AA,2023-11-09,24.7,24.8899,24.28,24.64,3040197.0,24.5455,25987,,25.54,,24.58,24.64,0.2441008950366244,0.2441008950366244,1
AA,2023-11-12,24.49,25.025,24.3001,24.6,2839661.0,24.6788,24232,,25.53,,24.64,24.6,-0.16233766233765887,-0.16233766233765887,1
AA,2023-11-14,26.52,27.34,26.36,26.95,5857249.0,26.8959,50403,,24.64,,26.17,26.95,2.9805120366832156,9.362625857821428,2
AA,2023-11-15,26.6,26.99,25.94,26.0,4080260.0,26.1855,36252,,24.6,,26.95,26.0,-3.525046382189237,-3.525046382189237,1
AA,2023-11-19,26.32,26.7,25.97,26.47,4231732.0,26.5488,34078,,26.95,,26.22,26.47,0.9534706331045004,1.7996244792583422,2
AA,2023-11-23,26.16,26.56,26.16,26.24,1282299.0,26.3564,12186,,26.47,,26.38,26.24,-0.5307050796057642,-0.8708271593680347,3
AA,2023-11-26,26.22,26.5958,25.87,26.3,3428999.0,26.3506,35180,,26.39,,26.24,26.3,0.22865853658537452,0.22865853658537452,1
