ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,price_365_days_ago,price_7_days_ago,ratio,prev_price,todays_price,percent_change,accum_prcnt_chg_close,days_up_or_down,direction
ADP,2023-08-07,249.49,250.7,247.26,248.34,1068563.0,248.2794,26578,,,,,248.34,,,1,negative
AMT,2023-08-07,182.2,184.89,179.85,184.61,2047317.0,182.9961,34850,,,,,184.61,,,1,negative
ANF,2023-08-07,39.25,39.76,38.62,39.66,1361549.0,39.202,15674,,,,,39.66,,,1,negative
AZEK,2023-08-07,31.1,31.38,30.455,31.26,2894695.0,30.9437,30477,,,,,31.26,,,1,negative
CEG,2023-08-07,102.96,104.93,102.96,104.81,1207475.0,104.207,26287,,,,,104.81,,,1,negative
CSL,2023-08-07,283.77,286.08,281.62,285.11,269197.0,284.5091,8865,,,,,285.11,,,1,negative
DOGZ,2023-08-07,13.87,14.16,13.602,14.16,320.55,14.048,57,,,,,14.16,,,1,negative
FTI,2023-08-07,17.8,18.255,17.73,18.1,12407846.0,17.966,36617,,,,,18.1,,,1,negative
GCT,2023-08-07,9.07,9.85,9.04,9.73,368574.0,9.5935,2882,,,,,9.73,,,1,negative
GDDY,2023-08-07,70.34,71.095,69.88,70.82,1155500.0,70.6382,20453,,,,,70.82,,,1,negative
KKR,2023-08-07,61.05,61.69,59.88,61.19,3451670.0,61.0993,43957,,,,,61.19,,,1,negative
KMI,2023-08-07,17.19,17.48,17.1,17.48,9324651.0,17.3393,45531,,,,,17.48,,,1,negative
MOD,2023-08-07,43.87,45.99,43.07,45.83,859191.0,45.2376,15403,,,,,45.83,,,1,negative
MTZ,2023-08-07,95.6,96.17,91.46,92.7,1440034.0,93.0686,24640,,,,,92.7,,,1,negative
NRIX,2023-08-07,8.8,9.11,8.64,8.81,254910.0,8.7879,4548,,,,,8.81,,,1,negative
ONON,2023-08-07,35.23,35.87,34.9001,35.7,2973714.0,35.4525,29881,,,,,35.7,,,1,negative
PHIN,2023-08-07,28.1,28.46,27.75,27.92,363549.0,27.9554,6753,,,,,27.92,,,1,negative
SFM,2023-08-07,38.17,38.215,37.1,37.3,1377020.0,37.4126,23520,,,,,37.3,,,1,negative
STRL,2023-08-07,67.19,75.95,67.19,75.58,1609622.0,73.8438,25009,,,,,75.58,,,1,negative
TCOM,2023-08-07,39.38,40.02,39.12,39.94,4204337.0,39.7873,26407,,,,,39.94,,,1,negative
TRGP,2023-08-07,81.04,82.94,80.12,82.83,1303768.0,82.1856,21737,,,,,82.83,,,1,negative
V,2023-08-07,240.42,241.36,237.39,239.29,5080585.0,238.7817,86582,,,,,239.29,,,1,negative
VKTX,2023-08-07,13.85,14.365,13.42,14.22,4743134.0,13.9827,44862,,,,,14.22,,,1,negative
VST,2023-08-07,28.56,28.88,28.39,28.82,4245532.0,28.7506,44115,,,,,28.82,,,1,negative
YPF,2023-08-07,13.73,14.48,13.58,14.33,1705586.0,14.217,15554,,,,,14.33,,,1,negative
ONON,2023-08-08,35.79,36.8,35.0767,36.51,4180743.0,36.1834,34593,,,,35.7,36.51,2.2689075630251967,2.2689075630251967,1,positive
MOD,2023-08-08,46.56,47.48,45.92,46.86,1077829.0,46.8688,16070,,,,45.83,46.86,2.247436177176525,2.247436177176525,1,positive
GDDY,2023-08-08,71.1,73.15,70.93,72.41,1799915.0,72.419,29308,,,,70.82,72.41,2.2451284947754924,2.2451284947754924,1,positive
TRGP,2023-08-08,83.5,84.45,82.93,84.28,1429576.0,84.1065,22921,,,,82.83,84.28,1.7505734637208774,1.7505734637208774,1,positive
AMT,2023-08-08,183.93,187.195,183.47,187.1,1475752.0,186.275,25484,,,,184.61,187.1,1.3487893396890638,1.3487893396890638,1,positive
AA,2023-08-08,33.48,34.09,33.03,33.62,4132679.0,33.6554,36153,,,,33.23,33.62,1.1736382786638595,1.1736382786638595,1,positive
KMI,2023-08-08,17.56,17.73,17.53,17.55,11368193.0,17.6089,43918,,,,17.48,17.55,0.4004576659038917,0.4004576659038917,1,positive
HCA,2023-08-08,268.59,270.22,266.115,267.1,1027522.0,267.1922,23278,,,,267.61,267.1,-0.1905758379731665,,2,negative
AAOI,2023-08-08,12.26,12.38,11.43,12.16,2767708.0,12.0105,20174,,,,12.19,12.16,-0.246103363412628,,2,negative
CRWD,2023-08-08,145.11,147.11,144.2458,145.46,2495232.0,145.4887,44660,,,,145.88,145.46,-0.2879078694817573,,2,negative
ERJ,2023-08-08,14.65,14.77,14.46,14.7,966983.0,14.6375,10670,,,,14.75,14.7,-0.3389830508474624,,2,negative
NGVC,2023-08-08,13.1,13.1651,12.7986,12.91,36621.0,12.9455,477,,,,12.96,12.91,-0.3858024691358079,,2,negative
ELF,2023-08-08,130.81,131.3,128.875,130.96,857465.0,130.4338,17309,,,,131.53,130.96,-0.4333612103702525,,2,negative
KLAC,2023-08-08,500.7,501.87,494.13,494.46,825770.0,496.5507,21304,,,,498.64,494.46,-0.8382801219316555,,2,negative
DRS,2023-08-08,17.16,17.16,16.92,17.01,279969.0,17.0272,4908,,,,17.16,17.01,-0.8741258741258658,,2,negative
NTRA,2023-08-08,52.91,53.0175,51.505,52.25,1354045.0,52.3365,22956,,,,52.72,52.25,-0.8915022761760221,,2,negative
FRPT,2023-08-08,80.86,81.35,78.255,79.28,654787.0,79.3166,13661,,,,80.0,79.28,-0.8999999999999986,,2,negative
BLDR,2023-08-08,151.95,151.95,148.22,150.12,1171329.0,150.0271,23681,,,,151.7,150.12,-1.0415293342122507,,2,negative
MNDY,2023-08-08,156.07,156.07,151.9,152.49,593774.0,153.2641,17010,,,,154.49,152.49,-1.2945821736034695,,2,negative
CLS,2023-08-08,21.25,21.25,20.4,20.76,1319358.0,20.6961,14206,,,,21.14,20.76,-1.79754020813623,,2,negative
NFLX,2023-08-08,439.74,440.62,427.59,428.9,3846639.0,431.7998,94393,,,,438.3,428.9,-2.1446497832534868,,2,negative
DASH,2023-08-08,84.21,84.29,81.38,82.38,2946508.0,82.4537,42687,,,,84.63,82.38,-2.658631690889756,,2,negative
BOOT,2023-08-08,97.74,97.9795,94.84,94.98,587982.0,95.772,12826,,,,97.58,94.98,-2.6644804263168624,,2,negative
MSTR,2023-08-08,39.597,39.65,37.6,37.784,5120890.0,38.4858,17291,,,,38.948,37.784,-2.988600184861871,,2,negative
TWST,2023-08-08,23.19,23.47,21.8,22.6,882927.0,22.5072,14239,,,,23.33,22.6,-3.1290184312044445,,2,negative
PRCT,2023-08-08,32.93,33.085,31.01,31.61,601086.0,31.7278,13202,,,,32.91,31.61,-3.9501671224551727,,2,negative
VITL,2023-08-08,12.16,12.16,11.47,11.66,383541.0,11.689,7041,,,,12.18,11.66,-4.269293924466335,,2,negative
SHAK,2023-08-08,78.28,78.81,75.45,75.6,586059.0,76.3078,16713,,,,79.0,75.6,-4.303797468354437,,2,negative
ZETA,2023-08-08,8.31,8.31,7.86,7.91,881539.0,7.9631,10648,,,,8.3,7.91,-4.698795180722898,,2,negative
CAVA,2023-08-08,50.51,50.84,47.51,48.06,964349.0,48.5269,14350,,,,50.51,48.06,-4.850524648584431,,2,negative
INOD,2023-08-08,11.08,11.1,10.12,10.43,503228.0,10.4149,5126,,,,11.11,10.43,-6.120612061206118,,2,negative
PLTR,2023-08-08,16.76,16.92,15.1,15.25,126230391.0,15.6936,406571,,,,17.04,15.25,-10.504694835680748,,2,negative
AAOI,2023-08-09,12.04,14.77,11.35,14.44,8934248.0,13.545,48814,,,,12.16,14.44,18.749999999999996,18.749999999999996,1,positive
NRIX,2023-08-09,9.12,9.56,9.1034,9.43,220423.0,9.3987,3753,,,,9.09,9.43,3.740374037403739,6.918580620831654,2,positive
DRS,2023-08-09,17.08,17.44,17.01,17.33,424785.0,17.3057,6567,,,,17.01,17.33,1.8812463256907508,1.8812463256907508,1,positive
ELF,2023-08-09,131.57,134.25,130.85,133.22,1116322.0,133.0427,21014,,,,130.96,133.22,1.7257177764202738,1.7257177764202738,1,positive
VST,2023-08-09,30.44,30.985,30.44,30.69,5922514.0,30.6944,39107,,,,30.31,30.69,1.253711646321355,6.42373246519713,2,positive
KKR,2023-08-09,62.38,63.45,62.01,62.31,4353958.0,62.4416,43095,,,,61.57,62.31,1.2018840344323567,1.822900540397388,2,positive
TCOM,2023-08-09,42.05,43.59,41.275,41.36,8836156.0,42.3754,92300,,,,40.88,41.36,1.174168297455961,3.5276985928991382,2,positive
BOOT,2023-08-09,95.81,99.115,95.42,95.97,738984.0,96.6784,15124,,,,94.98,95.97,1.0423246999368234,1.0423246999368234,1,positive
ANF,2023-08-09,40.03,40.85,39.61,40.29,1291529.0,40.2581,20424,,,,39.93,40.29,0.901577761081892,1.5823644479200238,2,positive
TWST,2023-08-09,22.72,23.53,22.32,22.79,890551.0,22.8076,15726,,,,22.6,22.79,0.8407079646017599,0.8407079646017599,1,positive
KLAC,2023-08-09,500.03,508.33,493.09,496.29,942034.0,498.7785,25181,,,,494.46,496.29,0.3701007159325407,0.3701007159325407,1,positive
NFLX,2023-08-09,431.12,438.12,428.69,429.98,5467607.0,433.1999,118229,,,,428.9,429.98,0.2518069480065379,0.2518069480065379,1,positive
V,2023-08-09,240.62,243.95,240.09,240.16,4778017.0,241.4915,80406,,,,239.76,240.16,0.1668335001668358,0.3632478927448788,2,positive
BLDR,2023-08-09,150.57,153.41,146.98,150.32,1094584.0,150.1127,26266,,,,150.12,150.32,0.1332267519317803,0.1332267519317803,1,positive
DASH,2023-08-09,83.02,83.08,81.25,82.39,2935045.0,82.2498,39632,,,,82.38,82.39,0.0121388686574473,0.0121388686574473,1,positive
KMI,2023-08-09,17.61,17.72,17.435,17.54,12724775.0,17.5453,49397,,,,17.55,17.54,-0.0569800569800658,-0.0569800569800658,1,negative
TRGP,2023-08-09,84.36,85.53,83.97,84.21,1699302.0,84.3717,26346,,,,84.28,84.21,-0.0830564784053243,-0.0830564784053243,1,negative
