ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,price_365_days_ago,price_7_days_ago,ratio,prev_price,todays_price,percent_change,accum_prcnt_chg_close,days_up_or_down,direction
AU,2023-09-13,17.3,17.65,17.2034,17.43,1872143.0,17.4449,19451,,,,,17.43,,,1,negative
DRS,2023-09-13,16.49,16.69,16.24,16.42,683021.0,16.4368,9680,,,,,16.42,,,1,negative
ERJ,2023-09-13,14.96,14.99,14.505,14.58,1323220.0,14.6217,10542,,,,,14.58,,,1,negative
FRPT,2023-09-13,72.17,73.23,71.18,72.13,351739.0,72.0414,10977,,,,,72.13,,,1,negative
FTI,2023-09-13,21.22,21.28,20.67,20.79,10749086.0,20.833,42076,,,,,20.79,,,1,negative
GDDY,2023-09-13,75.28,76.045,74.63,75.27,3222955.0,75.4653,33525,,,,,75.27,,,1,negative
KKR,2023-09-13,64.05,64.135,63.2,63.72,4974442.0,63.6829,59429,,,,,63.72,,,1,negative
NGVC,2023-09-13,12.75,13.09,12.75,12.98,39411.0,12.9234,569,,,,,12.98,,,1,negative
PHIN,2023-09-13,26.88,27.47,26.52,27.28,606040.0,27.0289,8529,,,,,27.28,,,1,negative
SFM,2023-09-13,39.98,41.01,39.98,40.59,1652400.0,40.5952,30700,,,,,40.59,,,1,negative
SHAK,2023-09-13,61.71,62.51,60.81,62.07,927865.0,61.7398,17766,,,,,62.07,,,1,negative
SN,2023-09-13,40.02,41.05,39.78,40.02,1035894.0,40.2246,10586,,,,,40.02,,,1,negative
TCOM,2023-09-13,36.05,36.05,35.56,35.64,3159246.0,35.7377,23232,,,,,35.64,,,1,negative
PHIN,2023-09-14,27.59,29.11,27.425,28.55,3345785.0,28.607,16603,,,,27.28,28.55,4.655425219941347,4.655425219941347,1,positive
GDDY,2023-09-14,75.31,76.02,75.02,75.78,23570446.0,75.7498,59591,,,,75.27,75.78,0.677560781187731,0.677560781187731,1,positive
SFM,2023-09-14,40.46,40.83,39.74,40.8,2396347.0,40.6066,21616,,,,40.59,40.8,0.5173688100517214,0.5173688100517214,1,positive
NGVC,2023-09-14,12.93,13.1265,12.8,13.01,78696.0,12.9844,592,,,,12.98,13.01,0.2311248073959889,0.2311248073959889,1,positive
V,2023-09-14,241.9,244.1,240.03,241.07,13077932.0,241.4626,121707,,,,241.5,241.07,-0.1780538302277461,,2,negative
VST,2023-09-14,33.14,33.23,32.79,32.91,53404060.0,32.9158,72018,,,,33.04,32.91,-0.3934624697336639,,2,negative
AAPL,2023-09-14,176.48,176.495,173.82,175.01,109259461.0,175.0843,729794,,,,175.74,175.01,-0.4153863662228395,,2,negative
