ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,price_365_days_ago,price_7_days_ago,ratio
AA,2023-08-07,33.02,33.35,32.68,33.23,5366294.0,33.0444,49092,,,
AA,2023-08-08,33.48,34.09,33.03,33.62,4132679.0,33.6554,36153,,,
AA,2023-08-09,33.97,34.0,32.55,32.88,4810865.0,33.0176,48531,,,
AA,2023-08-10,32.465,32.495,31.8087,31.96,4735375.0,32.0677,49844,,,
AA,2023-08-13,31.56,31.86,30.6,31.73,7337110.0,31.2516,72004,,33.23,
AA,2023-08-14,31.475,31.475,30.305,30.34,5807857.0,30.5912,58683,,33.62,
AA,2023-08-15,30.08,30.52,29.095,29.31,7915883.0,29.7869,71510,,32.88,
AA,2023-08-16,29.92,30.04,28.91,29.11,6527408.0,29.3828,62785,,31.96,
AA,2023-08-17,28.45,29.0,28.23,28.97,7345396.0,28.7285,65193,,31.73,
AA,2023-08-20,29.0,29.0699,28.03,28.59,4701351.0,28.4019,49493,,30.34,
AA,2023-08-21,28.91,29.09,28.18,28.78,4594258.0,28.6307,41041,,29.31,
AA,2023-08-22,28.78,29.03,28.56,28.81,5915245.0,28.8109,54015,,29.11,
AA,2023-08-23,28.36,29.11,28.3099,28.75,4329546.0,28.7436,41551,,28.97,
AA,2023-08-24,28.82,29.075,27.76,28.23,5398305.0,28.2176,45350,,28.59,
AA,2023-08-27,28.6,29.02,28.38,28.48,4457549.0,28.6047,38249,,28.78,
AA,2023-08-28,28.54,29.62,28.34,29.61,6315824.0,29.3075,48396,,28.81,
AA,2023-08-29,29.65,29.65,29.07,29.51,4926964.0,29.4477,36178,,28.75,
AA,2023-08-30,29.82,30.83,29.56,30.08,19155338.0,30.1653,82548,,28.23,
AA,2023-08-31,30.95,31.45,30.7014,31.1,5976992.0,31.0494,50577,,28.48,
AA,2023-09-04,30.78,31.12,30.2,30.29,4304771.0,30.5596,43551,,29.61,
AA,2023-09-05,30.04,30.65,29.81,30.2,4090894.0,30.1891,40653,,29.51,
AA,2023-09-06,29.45,29.45,28.06,28.45,9406076.0,28.5241,72823,,30.08,
AA,2023-09-07,28.3,28.4671,27.96,28.1,4524257.0,28.1469,41185,,31.1,
AA,2023-09-10,28.82,29.05,28.43,28.68,5012351.0,28.6675,49296,,30.29,
AA,2023-09-11,28.45,28.82,28.12,28.2,3630503.0,28.2911,34151,,30.2,
AA,2023-09-12,28.22,28.69,28.07,28.65,3960695.0,28.4568,35083,,28.45,
AA,2023-09-13,29.52,30.3,29.4136,30.19,6722592.0,29.9125,55818,,28.1,
AA,2023-09-14,29.89,29.89,28.8,28.85,8716044.0,29.112,52151,,28.68,
AA,2023-09-17,29.19,29.24,28.485,28.85,4524804.0,28.9296,40882,,28.2,
AA,2023-09-18,28.83,28.9892,27.835,28.34,5153224.0,28.2522,42071,,28.65,
AA,2023-09-19,28.65,29.79,28.55,29.38,8084407.0,29.3912,62922,,30.19,
AA,2023-09-20,28.68,28.68,27.86,27.87,5488792.0,28.1809,44884,,28.85,
AA,2023-09-21,28.27,28.5961,28.05,28.35,5096808.0,28.3364,41804,,28.85,
AA,2023-09-24,27.75,27.77,26.34,26.63,9304192.0,26.7502,62882,,28.34,
AA,2023-09-25,26.36,26.7496,25.59,25.86,6489345.0,25.9566,48315,,29.38,
AA,2023-09-26,26.07,26.78,25.95,26.2,5604857.0,26.3489,44897,,27.87,
AA,2023-09-27,26.59,28.15,26.411,28.14,7998093.0,27.7652,61041,,28.35,
AA,2023-09-28,29.07,29.83,28.97,29.06,7723051.0,29.3317,64678,,26.63,
AA,2023-10-01,28.69,29.33,28.33,28.84,4496029.0,28.7344,44183,,25.86,
AA,2023-10-02,28.11,28.85,27.27,27.65,5457898.0,27.7982,44545,,26.2,
AA,2023-10-03,27.73,27.81,26.37,27.16,5335536.0,26.9917,44277,,28.14,
AA,2023-10-04,27.13,27.3,26.45,26.53,4425076.0,26.6492,33959,,29.06,
AA,2023-10-05,26.57,27.5,26.13,27.15,6246883.0,26.7891,54935,,28.84,
AA,2023-10-08,26.68,27.465,26.62,27.25,3857120.0,27.1037,33021,,27.65,
AA,2023-10-09,27.64,28.57,27.4701,28.2,4850018.0,28.2281,43491,,27.16,
AA,2023-10-10,28.29,28.4,27.6,28.04,3749841.0,27.9348,33996,,26.53,
