ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
AREN,2022-11-20,13.42,13.59,12.71,13.15,19505.0,13.1482,775
AREN,2022-11-21,12.79,13.885,12.7635,13.77,12540.0,13.4482,287
AREN,2022-11-22,13.66,14.025,13.3105,14.02,13830.0,13.7645,442
AREN,2022-11-24,13.85,13.85,13.7,13.85,1906.0,13.8599,94
AREN,2022-11-27,13.89,14.015,13.1,13.56,25780.0,13.5852,773
AREN,2022-11-28,13.62,13.62,13.42,13.49,10011.0,13.4996,304
AREN,2022-11-29,13.61,14.015,12.915,13.72,31520.0,13.6032,807
AREN,2022-11-30,14.0,14.09,12.915,13.82,23112.0,13.5946,648
AREN,2022-12-01,13.71,14.0,13.53,14.0,22971.0,13.7746,491
AREN,2022-12-04,13.92,13.92,13.1825,13.77,11554.0,13.6081,386
AREN,2022-12-05,13.22,13.8,13.22,13.44,12546.0,13.5476,604
AREN,2022-12-06,13.57,13.8785,13.19,13.37,17317.0,13.3661,418
AREN,2022-12-07,13.4,13.4,13.06,13.24,16883.0,13.1806,711
AREN,2022-12-08,12.905,13.3,12.8228,13.23,9519.0,13.1134,214
AREN,2022-12-11,13.14,15.01,13.14,14.63,39610.0,13.9319,827
AREN,2022-12-12,15.01,15.995,14.41,15.78,46629.0,15.3686,1096
AREN,2022-12-13,15.95,16.5,13.88,13.95,84609.0,14.4859,2177
AREN,2022-12-14,14.18,14.18,12.4501,12.67,40357.0,13.1113,1079
AREN,2022-12-15,12.82,13.05,11.68,12.63,68292.0,12.5943,1004
AREN,2022-12-18,12.6,12.6,10.655,10.74,39058.0,11.1222,641
AREN,2022-12-19,10.34,10.43,8.9,9.55,44688.0,9.7024,784
AREN,2022-12-20,9.41,10.07,9.1,9.29,34799.0,9.4347,674
AREN,2022-12-21,9.2,9.54,8.91,9.21,36866.0,9.1782,788
AREN,2022-12-22,9.28,9.6,9.05,9.4,24823.0,9.3058,534
AREN,2022-12-26,9.45,10.4,9.45,10.16,21324.0,10.1554,426
AREN,2022-12-27,10.31,10.5,9.96,10.29,17190.0,10.3231,536
AREN,2022-12-28,10.22,10.63,10.22,10.54,42499.0,10.4576,864
AREN,2022-12-29,10.43,10.76,10.43,10.61,43061.0,10.5927,1024
AREN,2023-01-02,10.61,10.61,9.9,10.01,17319.0,10.152,388
AREN,2023-01-03,10.0,10.0,9.6,9.77,23321.0,9.8175,341
AREN,2023-01-04,9.77,9.77,8.61,8.85,39397.0,9.0119,899
AREN,2023-01-05,8.92,9.03,8.26,8.41,46600.0,8.5518,642
AREN,2023-01-08,8.36,8.64,7.65,8.0,93195.0,8.1251,1350
AREN,2023-01-09,7.94,8.2299,7.66,8.1,38251.0,7.9993,795
AREN,2023-01-10,8.1,8.29,7.9,7.94,34152.0,8.0922,705
AREN,2023-01-11,7.94,8.22,7.93,8.17,31457.0,8.0913,550
AREN,2023-01-12,8.27,8.38,8.06,8.38,54340.0,8.2118,584
AREN,2023-01-16,8.45,8.56,8.14,8.43,48381.0,8.4016,806
