ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,prev_price,todays_price,percent_change,accum_prcnt_chg_close,days_up_or_down
ALNY,2022-11-30,220.35,223.4,218.59,220.25,603783.0,221.1165,18457,220.59,220.25,-0.1541321002765326,,2
CALM,2022-11-30,58.6,59.22,57.83,58.13,472415.0,58.4002,12489,58.28,58.13,-0.2573781743308143,,2
ANF,2022-11-30,23.89,24.33,23.65,23.88,1616481.0,24.0123,22939,23.98,23.88,-0.4170141784820743,,2
BURL,2022-11-30,193.76,199.535,193.76,194.61,849073.0,196.5157,21981,195.68,194.61,-0.5468111201962352,,2
DVA,2022-11-30,74.35,75.455,72.88,73.23,585049.0,73.7146,14404,73.73,73.23,-0.6781500067815001,,2
AAON,2022-11-30,53.0667,53.36,51.9517,52.4067,254602.5,52.511,6158,52.84,52.4067,-0.8200227100681353,,2
CRSP,2022-11-30,54.18,55.34,53.3659,54.34,668409.0,54.2231,13945,54.79,54.34,-0.8213177587150863,,2
GE,2022-11-30,53.7103,53.9595,52.8754,53.1184,6806709.8596,53.2305,52976,53.5607,53.1184,-0.8257920452869285,,2
FUTU,2022-11-30,60.11,61.1,59.65,60.95,2012886.0,60.5767,25169,61.49,60.95,-0.8781915758659932,,2
GCT,2022-11-30,7.42,7.4299,7.03,7.3,166881.0,7.15,2411,7.37,7.3,-0.9497964721845356,,2
B,2022-11-30,42.78,42.91,41.9,42.17,226367.0,42.1978,6903,42.59,42.17,-0.9861469828598304,,2
COIN,2022-11-30,45.82,47.19,44.44,45.27,11579372.0,45.5993,104911,45.73,45.27,-1.0059042204242157,,2
FRO,2022-11-30,13.66,13.84,13.45,13.69,4343754.0,13.6838,29305,13.83,13.69,-1.012292118582795,,2
EDU,2022-11-30,27.67,28.68,27.34,28.36,1479595.0,28.3676,16862,28.74,28.36,-1.322199025748083,,2
CORT,2022-11-30,25.27,25.29,24.64,24.94,536199.0,24.9327,9561,25.28,24.94,-1.344936708860759,,2
CUZ,2022-11-30,26.66,26.89,25.885,26.0,1849090.0,26.1717,18145,26.38,26.0,-1.4404852160727786,,2
BBIO,2022-11-30,9.39,9.64,9.02,9.23,1129643.0,9.2178,10899,9.37,9.23,-1.4941302027748005,,2
ACAD,2022-11-30,15.6,15.75,15.07,15.34,815294.0,15.299,8648,15.58,15.34,-1.5404364569961502,,2
FL,2022-11-30,39.49,39.97,38.765,39.17,2201800.0,39.2702,25170,39.8,39.17,-1.5829145728643104,,2
CRNX,2022-11-30,17.84,18.0,16.91,17.57,246992.0,17.5707,4845,17.87,17.57,-1.6787912702853984,,2
DKS,2022-11-30,120.29,120.95,114.86,117.51,1419231.0,116.5143,24960,119.58,117.51,-1.7310587054691364,,2
BILI,2022-11-30,16.66,17.18,16.37,17.02,7135468.0,16.9055,47124,17.36,17.02,-1.958525345622119,,2
CERE,2022-11-30,28.97,28.97,27.52,28.37,402564.0,28.2663,9152,28.96,28.37,-2.0372928176795573,,2
AA,2022-11-30,50.04,50.77,48.85,49.1,3848362.0,49.4409,45060,50.13,49.1,-2.054657889487335,-2.054657889487335,1
CCJ,2022-11-30,24.53,24.74,23.71,23.77,3776068.0,24.0346,30814,24.38,23.77,-2.50205086136177,,2
FTAI,2022-11-30,17.53,17.785,17.04,17.07,638882.0,17.1932,5577,17.52,17.07,-2.568493150684928,,2
AEO,2022-11-30,15.72,15.99,15.3325,15.36,4512915.0,15.5582,43164,15.82,15.36,-2.9077117572692845,,2
