ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,prev_price,todays_price,percent_change,accum_prcnt_chg_close,days_up_or_down
GLBE,2022-11-30,21.72,24.72,21.58,24.4,2005337.0,23.7019,23783,21.57,24.4,13.120074177097813,13.120074177097813,1
CRWD,2022-11-30,118.64,124.919,118.57,124.07,14442813.0,122.1592,194718,117.65,124.07,5.4568635784105295,5.4568635784105295,1
CVNA,2022-11-30,7.74,8.62,7.59,8.13,22852992.0,8.1359,84764,7.71,8.13,5.447470817120633,5.447470817120633,1
AZEK,2022-11-30,19.43,20.32,19.43,20.21,2299892.0,20.0722,22623,19.34,20.21,4.498448810754917,4.498448810754917,1
GKOS,2022-11-30,46.99,49.22,46.725,48.66,669264.0,48.6739,8785,46.57,48.66,4.4878677260038575,4.4878677260038575,1
FTNT,2022-11-30,53.63,55.55,53.35,55.38,4410179.0,54.7826,54618,53.16,55.38,4.176072234762991,4.176072234762991,1
AEM,2022-11-30,51.71,52.54,51.21,52.17,4908873.0,52.0728,56960,50.37,52.17,3.5735556879094785,3.5735556879094785,1
FROG,2022-11-30,21.9,22.87,21.3575,22.76,356343.0,22.4671,5727,21.98,22.76,3.548680618744318,3.548680618744318,1
DDOG,2022-11-30,75.205,78.94,74.93,77.97,4252546.0,77.0883,56213,75.78,77.97,2.889944576405381,2.889944576405381,1
GEO,2022-11-30,11.89,12.4448,11.8,12.15,3135695.0,12.1612,22108,11.82,12.15,2.791878172588833,2.791878172588833,1
AU,2022-11-30,18.62,18.85,18.3,18.81,3160544.0,18.6938,24567,18.33,18.81,2.6186579378068764,2.6186579378068764,1
DOCU,2022-11-30,46.67,49.6,46.67,48.29,3756290.0,48.0766,38193,47.07,48.29,2.5918844274484787,2.5918844274484787,1
GMED,2022-11-30,74.11,75.86,73.85,75.5,555447.0,75.018,10522,73.89,75.5,2.178914602787927,2.178914602787927,1
DYN,2022-11-30,11.81,12.17,11.45,11.93,144223.0,11.8578,3865,11.7,11.93,1.9658119658119693,1.9658119658119693,1
CG,2022-11-30,31.17,31.885,31.075,31.76,4397759.0,31.5803,41048,31.17,31.76,1.8928456849534805,1.8928456849534805,1
DKNG,2022-11-30,15.4,15.76,14.9,15.52,11798916.0,15.4467,63099,15.32,15.52,1.305483028720622,1.305483028720622,1
CNK,2022-11-30,13.55,14.5,13.55,13.78,3472229.0,13.9881,30991,13.61,13.78,1.2490815576781773,1.2490815576781773,1
BROS,2022-11-30,37.36,39.06,37.25,38.15,1173070.0,38.297,17178,37.74,38.15,1.0863804981451948,1.0863804981451948,1
ERJ,2022-11-30,10.73,10.855,10.575,10.73,1340207.0,10.7178,10968,10.62,10.73,1.035781544256132,1.035781544256132,1
DHI,2022-11-30,86.99,88.7,86.14,86.7,2889063.0,86.9221,45634,86.0,86.7,0.8139534883720964,0.8139534883720964,1
ELF,2022-11-30,54.88,55.9027,54.505,55.4,657080.0,55.4787,14595,54.96,55.4,0.8005822416302724,0.8005822416302724,1
GDDY,2022-11-30,79.82,80.5,79.0,79.73,1190556.0,79.8407,18502,79.13,79.73,0.758245924428167,0.758245924428167,1
CLS,2022-11-30,11.24,11.34,11.165,11.24,458550.0,11.2406,4035,11.16,11.24,0.7168458781362014,0.7168458781362014,1
APH,2022-11-30,40.5,40.655,40.12,40.435,3311670.0,40.4008,23137,40.215,40.435,0.5470595548924502,0.5470595548924502,1
ANET,2022-11-30,140.05,140.81,137.695,139.78,1642947.0,139.597,31292,139.3,139.78,0.344580043072498,0.344580043072498,1
GLW,2022-11-30,34.34,34.74,34.115,34.24,4394317.0,34.3107,37252,34.13,34.24,0.3222970993261043,0.3222970993261043,1
DELL,2022-11-30,45.0,45.36,44.37,44.9,2331442.0,44.918,25683,44.79,44.9,0.245590533601249,0.245590533601249,1
FTDR,2022-11-30,23.61,24.16,23.205,23.38,380364.0,23.4132,8600,23.37,23.38,0.0427899015832178,0.0427899015832178,1
BILI,2022-12-01,16.61,19.99,16.5,19.84,28678002.0,19.2487,150649,17.02,19.84,16.56874265569918,16.56874265569918,1
FUTU,2022-12-01,60.5,67.9,60.36,66.3,5148616.0,66.0638,64920,60.95,66.3,8.777686628383911,8.777686628383911,1
GIII,2022-12-01,11.94,12.8261,11.6,12.79,4908779.0,12.4967,36446,11.97,12.79,6.850459482038416,6.850459482038416,1
ALNY,2022-12-01,217.52,235.4757,216.77,234.4,922229.0,230.1727,25385,220.25,234.4,6.424517593643589,6.424517593643589,1
EDU,2022-12-01,28.1,30.5,28.1,30.13,2338568.0,29.8213,19872,28.36,30.13,6.241184767277855,6.241184767277855,1
FRO,2022-12-01,13.62,14.52,13.45,14.42,5150606.0,14.1909,36467,13.69,14.42,5.332359386413444,5.332359386413444,1
COIN,2022-12-01,43.97,47.7,43.73,47.67,10372090.0,46.4241,96744,45.27,47.67,5.301524188204105,5.301524188204105,1
CRNX,2022-12-01,17.47,18.5,17.23,18.42,264741.0,18.1831,4862,17.57,18.42,4.83779169038134,4.83779169038134,1
CERE,2022-12-01,27.99,29.95,27.42,29.64,430707.0,29.4617,9896,28.37,29.64,4.476559746210784,4.476559746210784,1
