ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,pct_change
AAOI,2024-11-07,19.5,27.805,18.63,27.76,19413977.0,24.4652,148131,55.08379888268158
AFRM,2024-11-10,47.99,57.76,47.98,57.585,31088173.0,53.8118,226989,23.891996557659212
AMSC,2024-11-07,28.1,35.08,27.7,34.14,4529916.0,32.9483,50448,20.593429883433423
APP,2024-11-06,230.0,257.43,228.1,246.53,18564159.0,243.7694,258646,46.26520320379708
ATLX,2024-10-27,9.0,11.36,8.8391,10.25,573150.0,10.4196,6244,24.695863746958622
AX,2024-11-05,73.92,82.95,73.92,81.55,2095097.0,80.1774,37354,20.618251737908587
AXON,2024-11-07,540.0,611.88,515.0,603.18,3945317.0,578.1004,98446,28.678399999999993
COIN,2024-11-05,221.479,257.6799,221.11,254.31,35215976.0,239.7216,526466,31.11466281707569
CVLT,2024-10-28,150.0,171.265,142.4225,169.79,1601560.0,161.6436,34776,23.961451412718105
CVRX,2024-10-29,10.63,14.35,10.47,14.07,1335380.0,13.3105,14137,31.00558659217878
DAVE,2024-11-05,39.24,46.07,39.24,45.87,1682284.0,44.0338,20890,21.800318640467342
DFS,2024-11-05,176.99,188.26,175.48,182.55,8178684.0,180.1733,115594,20.217319723411276
DOCS,2024-11-07,58.89,60.9,55.25,58.25,8501070.0,58.7848,86047,34.15476738830032
DOGZ,2024-10-23,49.0,57.9998,47.7248,56.9,143067.0,54.7097,3754,21.399615959035636
DXPE,2024-11-04,54.45,62.5575,53.48,61.59,216949.0,60.4653,6110,20.95443833464259
GRMN,2024-10-29,186.1,207.22,186.1,204.92,2992806.0,202.6908,55535,23.245323870812527
INOD,2024-11-07,30.335,43.65,29.67,42.78,9604655.0,37.7056,108253,75.76006573541495
IRON,2024-11-03,57.59,62.2599,55.27,58.25,2084593.0,58.9244,30798,23.594313600678962
LMB,2024-11-05,82.67,95.26,80.372,93.79,454252.0,89.9577,12278,20.568196426275875
LMND,2024-10-30,20.88,25.4,20.42,23.77,9610823.0,23.7452,94434,26.773333333333337
LMND,2024-11-10,29.5,34.95,29.35,34.24,5737052.0,33.3911,58172,20.39381153305204
LUXH,2024-11-04,2.45,4.48,2.415,3.472,1560552.1,3.5098,32120,34.417344173441734
LXEH,2024-10-23,2.92,4.1999,2.92,3.88,161162.0,3.5913,960,31.081081081081074
MARA,2024-11-10,22.3,25.465,21.8,25.01,125411419.0,23.8119,634938,29.92207792207793
MDGL,2024-10-30,245.66,263.54,238.0427,259.34,1351282.0,251.6255,28830,20.103737322280345
MDGL,2024-10-31,274.98,321.19,262.85,319.58,3050077.0,302.5716,52614,23.228194647952492
ML,2024-11-06,55.2,70.0,52.8715,69.24,853698.0,65.7954,16898,24.846736386584922
MSTR,2024-11-10,297.0,351.73,293.3,340.0,47095664.0,324.244,695836,25.730345388654683
NXT,2024-10-30,38.88,41.0,36.39,39.82,10302039.0,38.9693,109640,24.554269627776048
PLTR,2024-11-04,47.86,51.575,46.86,51.13,207667188.0,50.0145,1094791,23.4725911615552
PRCT,2024-10-27,87.98,91.24,84.05,91.0,5055186.0,87.2205,70893,32.32514177693761
QLYS,2024-11-05,153.745,170.0,141.7,159.23,2987992.0,155.7839,58809,24.175309989861972
RVLV,2024-11-05,31.4,33.82,29.15,33.28,3958501.0,32.1467,50311,27.901614142966945
SHOP,2024-11-11,107.52,114.51,106.0,108.92,63946726.0,110.558,586004,21.035670630070015
SMLR,2024-11-04,31.33,39.5,31.33,39.0,775440.0,37.5642,11624,30.130130130130127
SMLR,2024-11-10,45.52,54.44,43.5,52.14,1402857.0,50.1118,18473,30.8734939759036
TILE,2024-10-31,20.42,23.4594,20.18,23.24,2143762.0,22.9374,27355,33.028048082427006
TSLA,2024-10-23,244.68,262.1199,242.65,260.48,202723976.0,253.0519,2592071,21.919026445120537
UPST,2024-11-07,65.27,82.25,64.59,81.0,39952375.0,76.8661,352716,46.0248783126014
VKTX,2024-10-23,65.75,75.665,63.6701,73.22,16367162.0,71.6805,176026,21.24523927802615
WGS,2024-10-28,66.6,85.4637,64.13,84.02,3269668.0,78.9727,58095,49.8751337852301
WLFC,2024-11-05,189.01,220.16,187.12,217.79,111544.0,205.8708,3852,20.432426454324258
XPON,2024-10-24,4.82,5.48,4.03,4.29,30268029.0,4.861,233528,21.875
Z,2024-11-06,68.545,74.05,67.935,72.63,11594400.0,71.8539,127668,23.77300613496931
ZG,2024-11-06,65.0,71.28,64.71,70.09,1572786.0,69.0755,29940,24.98216833095579
