ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,pct_change
AAOI,2024-11-07,19.5,27.805,18.63,27.76,19413977.0,24.4652,148131,55.08379888268158
APP,2024-11-06,230.0,257.43,228.1,246.53,18564159.0,243.7694,258646,46.26520320379708
COIN,2024-11-05,221.479,257.6799,221.11,254.31,35215976.0,239.7216,526466,31.11466281707569
CVRX,2024-10-29,10.63,14.35,10.47,14.07,1335380.0,13.3105,14137,31.00558659217878
DOCS,2024-11-07,58.89,60.9,55.25,58.25,8501070.0,58.7848,86047,34.15476738830032
INOD,2024-11-07,30.335,43.65,29.67,42.78,9604655.0,37.7056,108253,75.76006573541495
LUXH,2024-11-04,2.45,4.48,2.415,3.472,1560552.1,3.5098,32120,34.417344173441734
SMLR,2024-11-04,31.33,39.5,31.33,39.0,775440.0,37.5642,11624,30.130130130130127
TILE,2024-10-31,20.42,23.4594,20.18,23.24,2143762.0,22.9374,27355,33.028048082427006
UPST,2024-11-07,65.27,82.25,64.59,81.0,39952375.0,76.8661,352716,46.0248783126014
