Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
AAPL,2024-03-21 03:00:00,177.03,177.03,176.11,176.19,7914,176.3463,316
AAPL,2024-03-21 03:01:00,176.2,176.38,176.2,176.33,2652,176.2539,112
AAPL,2024-03-21 03:02:00,176.42,176.5,176.42,176.5,2556,176.4862,75
AAPL,2024-03-21 03:03:00,176.46,176.6,176.46,176.6,1838,176.521,41
AAPL,2024-03-21 03:04:00,176.51,176.6,176.5,176.6,1512,176.5613,35
AAPL,2024-03-21 03:06:00,176.69,176.7,176.66,176.7,2397,176.6718,58
AAPL,2024-03-21 03:07:00,176.7,176.78,176.7,176.78,2159,176.7424,55
AAPL,2024-03-21 03:08:00,176.89,176.89,176.83,176.83,2685,176.8463,47
AAPL,2024-03-21 03:09:00,176.8,176.8,176.79,176.79,757,176.8185,28
AAPL,2024-03-21 03:10:00,176.92,176.99,176.9,176.99,2413,176.9282,50
AAPL,2024-03-21 03:11:00,176.95,176.95,176.8,176.8,1912,176.8546,45
AAPL,2024-03-21 03:12:00,176.79,176.84,176.79,176.8,1785,176.8211,35
AAPL,2024-03-21 03:13:00,176.83,176.83,176.76,176.77,1353,176.7692,54
AAPL,2024-03-21 03:15:00,176.88,176.88,176.78,176.8,1228,176.8369,22
AAPL,2024-03-21 03:16:00,176.89,176.9,176.89,176.9,2796,176.8895,63
AAPL,2024-03-21 03:17:00,176.89,176.9,176.89,176.9,595,176.9059,15
AAPL,2024-03-21 03:18:00,176.93,176.96,176.93,176.96,1067,176.9492,17
AAPL,2024-03-21 03:19:00,176.95,176.97,176.95,176.97,967,176.954,23
AAPL,2024-03-21 03:21:00,176.97,176.98,176.97,176.97,647,176.9717,16
AAPL,2024-03-21 03:23:00,176.9,176.9,176.9,176.9,908,176.9003,60
AAPL,2024-03-21 03:24:00,176.82,176.85,176.8,176.8,2045,176.8106,47
AAPL,2024-03-21 03:25:00,176.85,176.85,176.85,176.85,1183,176.8171,41
AAPL,2024-03-21 03:26:00,176.85,176.88,176.85,176.88,398,176.8628,14
AAPL,2024-03-21 03:27:00,176.86,176.86,176.86,176.86,766,176.8609,27
AAPL,2024-03-21 03:28:00,176.88,176.88,176.88,176.88,966,176.8844,25
AAPL,2024-03-21 03:30:00,176.81,176.81,176.81,176.81,616,176.8361,36
AAPL,2024-03-21 03:32:00,176.81,176.81,176.81,176.81,488,176.8075,20
AAPL,2024-03-21 03:34:00,176.82,176.88,176.82,176.88,1546,176.8462,43
AAPL,2024-03-21 03:35:00,176.88,176.88,176.88,176.88,444,176.8717,15
AAPL,2024-03-21 03:36:00,176.88,176.88,176.88,176.88,605,176.8675,27
AAPL,2024-03-21 03:38:00,176.89,176.9,176.89,176.9,1032,176.8999,21
AAPL,2024-03-21 03:39:00,176.97,176.97,176.94,176.97,3179,176.9629,46
AAPL,2024-03-21 03:41:00,176.9,176.9,176.86,176.86,1421,176.894,33
AAPL,2024-03-21 03:43:00,176.73,176.73,176.56,176.56,2899,176.6625,132
AAPL,2024-03-21 03:44:00,176.57,176.57,176.57,176.57,6294,176.5703,63
AAPL,2024-03-21 03:45:00,176.6,176.6,176.6,176.6,963,176.5835,29
AAPL,2024-03-21 03:48:00,176.7,176.7,176.7,176.7,2261,176.7073,61
AAPL,2024-03-21 03:49:00,176.72,176.85,176.72,176.85,2225,176.7972,55
AAPL,2024-03-21 03:50:00,176.85,176.85,176.85,176.85,515,176.8542,13
AAPL,2024-03-21 03:51:00,176.85,176.85,176.85,176.85,464,176.8498,17
AAPL,2024-03-21 03:52:00,176.84,176.84,176.82,176.82,1756,176.8213,39
AAPL,2024-03-21 03:54:00,176.81,176.81,176.81,176.81,1155,176.8009,26
AAPL,2024-03-21 03:55:00,176.75,176.75,176.67,176.67,2134,176.7326,52
AAPL,2024-03-21 03:56:00,176.64,176.64,176.51,176.52,3194,176.5546,102
AAPL,2024-03-21 03:57:00,176.56,176.64,176.56,176.64,1306,176.6223,27
AAPL,2024-03-21 03:59:00,176.79,176.79,176.79,176.79,570,176.7772,15
AAPL,2024-03-21 04:03:00,176.78,176.78,176.78,176.78,335,176.7762,16
AAPL,2024-03-21 04:05:00,176.67,176.67,176.64,176.64,1461,176.6464,50
AAPL,2024-03-21 04:07:00,176.65,176.66,176.65,176.66,405,176.6444,17
AAPL,2024-03-21 04:08:00,176.6,176.6,176.6,176.6,659,176.6191,27
AAPL,2024-03-21 04:09:00,176.6,176.6,176.6,176.6,432,176.6069,19
AAPL,2024-03-21 04:10:00,176.61,176.61,176.61,176.61,200,176.6084,17
AAPL,2024-03-21 04:13:00,176.53,176.55,176.53,176.55,1216,176.5416,35
AAPL,2024-03-21 04:14:00,176.5,176.5,176.34,176.34,3585,176.4015,152
AAPL,2024-03-21 04:15:00,176.49,176.57,176.49,176.57,2394,176.5068,68
AAPL,2024-03-21 04:17:00,176.57,176.57,176.57,176.57,714,176.5694,28
AAPL,2024-03-21 04:23:00,176.6,176.73,176.6,176.73,2900,176.6244,70
AAPL,2024-03-21 04:27:00,176.56,176.56,176.56,176.56,383,176.5637,24
AAPL,2024-03-21 04:29:00,176.56,176.56,176.56,176.56,370,176.5687,27
AAPL,2024-03-21 04:30:00,176.55,176.55,176.54,176.54,1235,176.5359,51
AAPL,2024-03-21 04:33:00,176.45,176.45,176.45,176.45,724,176.4473,20
AAPL,2024-03-21 04:36:00,176.43,176.43,176.43,176.43,955,176.4646,29
AAPL,2024-03-21 04:41:00,176.58,176.58,176.58,176.58,815,176.5822,16
AAPL,2024-03-21 04:43:00,176.64,176.67,176.63,176.67,3333,176.6604,61
AAPL,2024-03-21 04:44:00,176.67,176.67,176.67,176.67,748,176.6629,20
AAPL,2024-03-21 04:46:00,176.66,176.66,176.62,176.64,1487,176.6373,54
AAPL,2024-03-21 04:49:00,176.59,176.63,176.59,176.63,685,176.6224,27
AAPL,2024-03-21 04:51:00,176.61,176.61,176.61,176.61,663,176.6133,13
AAPL,2024-03-21 04:54:00,176.59,176.59,176.58,176.58,663,176.587,31
AAPL,2024-03-21 05:01:00,176.62,176.62,176.61,176.61,543,176.6099,20
AAPL,2024-03-21 05:03:00,176.55,176.55,176.55,176.55,723,176.5509,34
AAPL,2024-03-21 05:04:00,176.55,176.55,176.55,176.55,448,176.5609,19
AAPL,2024-03-21 05:05:00,176.55,176.55,176.55,176.55,1255,176.5505,24
AAPL,2024-03-21 05:07:00,176.55,176.55,176.54,176.54,740,176.5464,50
AAPL,2024-03-21 05:09:00,176.55,176.6,176.51,176.6,2114,176.5588,56
AAPL,2024-03-21 05:15:00,176.5,176.51,176.5,176.51,1936,176.4991,62
AAPL,2024-03-21 05:20:00,176.49,176.49,176.49,176.49,154,176.4953,7
AAPL,2024-03-21 05:22:00,176.46,176.5,176.46,176.5,738,176.4927,14
AAPL,2024-03-21 05:25:00,176.47,176.54,176.47,176.54,1252,176.4926,31
AAPL,2024-03-21 05:26:00,176.5,176.5,176.48,176.48,744,176.4954,22
AAPL,2024-03-21 05:27:00,176.56,176.56,176.51,176.51,1145,176.5046,29
AAPL,2024-03-21 05:28:00,176.53,176.53,176.53,176.53,707,176.5114,26
AAPL,2024-03-21 05:30:00,176.49,176.49,176.49,176.49,1014,176.4903,18
AAPL,2024-03-21 05:31:00,176.49,176.49,176.45,176.45,2075,176.4676,62
AAPL,2024-03-21 05:32:00,176.45,176.45,176.45,176.45,1188,176.4551,33
AAPL,2024-03-21 05:35:00,176.44,176.44,176.4,176.4,2266,176.4284,90
AAPL,2024-03-21 05:36:00,176.4,176.4,176.4,176.4,493,176.4035,31
AAPL,2024-03-21 05:39:00,176.4,176.4,176.4,176.4,1157,176.4022,30
AAPL,2024-03-21 05:41:00,176.4,176.4,176.4,176.4,849,176.4049,31
AAPL,2024-03-21 05:42:00,176.45,176.47,176.44,176.47,1513,176.4532,51
AAPL,2024-03-21 05:44:00,176.4,176.4,176.4,176.4,3090,176.4134,40
AAPL,2024-03-21 05:46:00,176.4,176.4,176.4,176.4,587,176.4137,13
AAPL,2024-03-21 05:47:00,176.45,176.45,176.45,176.45,184,176.4492,11
AAPL,2024-03-21 05:48:00,176.45,176.45,176.36,176.4,2601,176.4114,57
AAPL,2024-03-21 05:50:00,176.41,176.41,176.41,176.41,151,176.4177,7
AAPL,2024-03-21 05:55:00,176.5,176.51,176.49,176.51,3063,176.4977,67
AAPL,2024-03-21 05:56:00,176.42,176.43,176.42,176.42,1999,176.4268,41
AAPL,2024-03-21 05:58:00,176.46,176.46,176.46,176.46,1103,176.4841,29
AAPL,2024-03-21 06:00:00,176.52,176.53,176.4,176.45,22908,176.4416,373
AAPL,2024-03-21 06:01:00,176.46,176.53,176.46,176.53,3595,176.506,57
AAPL,2024-03-21 06:02:00,176.58,176.65,176.56,176.65,5120,176.614,74
AAPL,2024-03-21 06:03:00,176.63,176.69,176.63,176.69,6358,176.6428,53
AAPL,2024-03-21 06:04:00,176.66,176.69,176.65,176.68,4625,176.6772,88
AAPL,2024-03-21 06:05:00,176.69,176.77,176.69,176.77,5632,176.7287,99
AAPL,2024-03-21 06:06:00,176.77,176.78,176.75,176.75,2905,176.7735,36
AAPL,2024-03-21 06:07:00,176.75,176.75,176.75,176.75,5337,176.7494,59
AAPL,2024-03-21 06:09:00,176.76,176.76,176.76,176.76,1683,176.7597,37
AAPL,2024-03-21 06:10:00,176.77,176.77,176.76,176.76,744,176.7661,28
AAPL,2024-03-21 06:11:00,176.77,176.78,176.77,176.78,587,176.7719,16
AAPL,2024-03-21 06:12:00,176.78,176.78,176.78,176.78,1014,176.7709,31
AAPL,2024-03-21 06:13:00,176.77,176.79,176.77,176.79,1305,176.7824,26
AAPL,2024-03-21 06:14:00,176.77,176.78,176.77,176.78,913,176.7758,14
AAPL,2024-03-21 06:15:00,176.75,176.75,176.75,176.75,5997,176.7509,91
AAPL,2024-03-21 06:16:00,176.79,176.83,176.79,176.83,4372,176.8019,64
AAPL,2024-03-21 06:17:00,176.79,176.79,176.75,176.75,3257,176.7643,41
AAPL,2024-03-21 06:18:00,176.78,176.78,176.78,176.78,541,176.7801,8
AAPL,2024-03-21 06:19:00,176.78,176.78,176.78,176.78,455,176.7812,9
AAPL,2024-03-21 06:20:00,176.78,176.78,176.77,176.77,878,176.7747,32
AAPL,2024-03-21 06:21:00,176.78,176.78,176.78,176.78,442,176.7752,21
AAPL,2024-03-21 06:22:00,176.79,176.79,176.79,176.79,899,176.7774,46
AAPL,2024-03-21 06:23:00,176.78,176.79,176.78,176.78,814,176.7845,9
AAPL,2024-03-21 06:24:00,176.78,176.78,176.78,176.78,404,176.7737,26
AAPL,2024-03-21 06:26:00,176.79,176.79,176.79,176.79,496,176.7888,25
AAPL,2024-03-21 06:27:00,176.78,176.78,176.78,176.78,419,176.7847,28
AAPL,2024-03-21 06:28:00,176.78,176.78,176.78,176.78,1094,176.7832,26
AAPL,2024-03-21 06:29:00,176.8,176.8,176.8,176.8,1951,176.799,61
AAPL,2024-03-21 06:30:00,176.77,176.8,176.75,176.8,2061,176.7802,71
AAPL,2024-03-21 06:33:00,176.83,176.83,176.83,176.83,680,176.8216,28
AAPL,2024-03-21 06:34:00,176.84,176.84,176.84,176.84,503,176.8339,21
AAPL,2024-03-21 06:38:00,176.8,176.82,176.8,176.81,1228,176.8073,45
AAPL,2024-03-21 06:40:00,176.83,176.9,176.83,176.9,3125,176.849,96
AAPL,2024-03-21 06:42:00,176.9,176.94,176.9,176.94,2264,176.9276,88
AAPL,2024-03-21 06:43:00,176.97,177,176.97,177,5607,176.989,183
AAPL,2024-03-21 06:44:00,177.01,177.02,177.01,177.01,1343,177.0098,39
