Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
AJG,2023-03-07,189.03,191.34,187.795,188.98,865183,189.24,21368
AJG,2023-03-08,189.05,189.525,184.62,185.45,1025936.0,187.0054,22212
AJG,2023-03-09,184.51,186.19,182.46,182.76,1298917.0,183.7867,26046
AJG,2023-03-12,179.46,183.54,177.69,179.97,1460312.0,181.2492,29820
AJG,2023-03-13,182.6,183.54,180.25,183.35,1248189.0,182.3549,24582
AJG,2023-03-14,177.08,179.525,174.445,177.09,2001676.0,176.3432,36680
AJG,2023-03-15,176.42,184.395,175.75,183.6,1499313.0,182.1339,28408
AJG,2023-03-16,182.66,182.69,179.35,180,3120395.0,180.4099,29983
AJG,2023-03-19,180.26,182.83,179.715,182.46,823072,181.7648,19560
AJG,2023-03-20,184.84,185.39,183.76,183.88,996076,184.3162,21808
AJG,2023-03-21,184.15,185.06,180.52,180.54,688838,182.5883,15037
AJG,2023-03-22,180.26,184.885,179.97,184.44,1360789.0,183.4435,27272
AJG,2023-03-23,183.44,185.72,181.87,185.66,1010656.0,184.5513,18588
AJG,2023-03-26,186,187.59,185.91,186.13,915870,186.6219,16619
AJG,2023-03-27,185.6,186.66,185.43,186.52,628514,186.1969,11592
AJG,2023-03-28,187.57,189.09,186.92,189,653558,188.5398,14389
AJG,2023-03-29,189.55,189.84,186.88,189.67,921632,188.7309,17643
AJG,2023-03-30,190.42,191.37,189.46,191.31,935645,190.7407,14559
AJG,2023-04-02,190.85,193.86,190,193.26,1001376.0,192.9603,18234
AJG,2023-04-03,194.1,195.01,191.91,193.92,787157,193.5571,17555
AJG,2023-04-04,193.58,196.15,192.97,195.28,882743,195.1831,15642
AJG,2023-04-05,195.4,197.41,195.33,197.37,895014,196.7271,18649
AJG,2023-04-09,196.18,197.265,194.77,195.61,800929,195.4677,16386
AJG,2023-04-10,195.52,197.54,194.98,196.79,547751,196.8049,13891
AJG,2023-04-11,197.01,199.1,196.855,198.27,569604,198.1068,13379
AJG,2023-04-12,197.76,199.83,196.7,199.7,961984,199.2336,18713
AJG,2023-04-13,199.33,200.91,198.74,200.45,1088683.0,200.1617,19769
AJG,2023-04-16,200.72,203.25,199.925,203.21,982104,202.2643,20256
AJG,2023-04-17,204.17,206.91,203.38,206.62,1243029.0,206.0322,21538
AJG,2023-04-18,207.01,207.51,203.71,204.15,705796,205.1784,18269
AJG,2023-04-19,204.39,208.03,202.47,207.88,1173788.0,207.2524,19786
AJG,2023-04-20,208,208.2,206.17,207.77,737601,207.4431,17400
AJG,2023-04-23,208.22,208.6,206.925,207.42,734043,207.4934,15477
AJG,2023-04-24,207.25,208.36,206.9015,207.19,984427,207.4929,20314
AJG,2023-04-25,205.51,207.46,204.1,205.44,960945,205.4303,22192
AJG,2023-04-26,205.08,209.13,204.94,209.05,1187847.0,207.5503,26393
AJG,2023-04-27,208.05,208.2,202.19,208.06,1675588.0,206.1083,31369
AJG,2023-04-30,207.82,212.16,206.5,210.52,917427,210.3054,18653
AJG,2023-05-01,210.25,210.54,208,210.1,891907,209.6343,18262
AJG,2023-05-02,211.51,212.6041,209.09,209.13,794774,210.4619,17303
AJG,2023-05-03,209.19,211.85,208.59,210.83,948985,210.388,16472
AJG,2023-05-04,211,214.22,210.665,213.82,852349,213.4351,15780
AJG,2023-05-07,213.68,215.705,212.87,215.32,432475,215.1299,11118
AJG,2023-05-08,215.74,216.86,214.925,216.08,816446,216.0126,15256
AJG,2023-05-09,215.82,218.1,215.49,217.32,1170417.0,217.0541,19488
