Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
ALTO,2022-04-04,6.99,7.07,6.53,6.56,2020376.0,6.6936,11747
ALTO,2022-04-05,6.54,6.78,6.415,6.64,1933284.0,6.6245,13854
ALTO,2022-04-06,6.67,6.79,6.4101,6.61,1185183.0,6.5724,8266
ALTO,2022-04-07,6.62,6.74,6.55,6.61,1085468.0,6.6469,7788
ALTO,2022-04-10,6.5,6.565,6.33,6.36,1257244.0,6.4164,9198
ALTO,2022-04-11,6.56,6.87,6.555,6.66,3774814.0,6.724,17936
ALTO,2022-04-12,6.66,7.24,6.62,7.18,4985464.0,7.0713,24733
ALTO,2022-04-13,7.105,7.37,7.01,7.08,2913816.0,7.1751,17995
ALTO,2022-04-17,7.1,7.19,6.56,6.58,2736364.0,6.7787,14027
ALTO,2022-04-18,6.57,6.62,6.47,6.57,1342806.0,6.5557,9774
ALTO,2022-04-19,6.61,6.61,6.205,6.38,2345305.0,6.336,11074
ALTO,2022-04-20,6.42,6.48,6.01,6.07,2432543.0,6.1783,14752
ALTO,2022-04-21,6.01,6.205,5.78,5.82,2040955.0,5.9052,12616
ALTO,2022-04-24,5.67,5.93,5.63,5.87,1904603.0,5.7864,11983
ALTO,2022-04-25,5.82,5.915,5.6895,5.71,1511558.0,5.7725,9792
ALTO,2022-04-26,5.74,5.92,5.675,5.75,1810827.0,5.7939,11507
ALTO,2022-04-27,5.81,5.96,5.57,5.89,1454783.0,5.7658,8538
ALTO,2022-04-28,5.9,5.96,5.73,5.77,1503131.0,5.8146,10844
ALTO,2022-05-01,5.71,5.765,5.36,5.64,2557289.0,5.5256,16353
ALTO,2022-05-02,5.54,5.86,5.54,5.75,1234226.0,5.7561,9820
ALTO,2022-05-03,5.87,5.92,5.57,5.89,1537894.0,5.7617,9798
ALTO,2022-05-04,5.89,5.89,5.43,5.62,1439699.0,5.5861,10273
ALTO,2022-05-05,5.6,5.64,5.31,5.43,1283228.0,5.4423,10272
ALTO,2022-05-08,5.29,5.39,4.89,4.92,2809548.0,4.9663,17119
ALTO,2022-05-09,4.1,5.1,4.1,4.84,3848253.0,4.7712,22278
ALTO,2022-05-10,4.84,5.075,4.77,4.85,1994402.0,4.8976,12591
ALTO,2022-05-11,4.75,4.88,4.58,4.65,2860048.0,4.6924,16108
ALTO,2022-05-12,4.76,4.99,4.71,4.86,1953843.0,4.8521,12325
ALTO,2022-05-15,4.85,5.1,4.78,4.81,1908961.0,4.8752,11663
ALTO,2022-05-16,4.88,4.95,4.81,4.88,1241980.0,4.8729,10006
ALTO,2022-05-17,4.87,4.87,4.39,4.48,1786828.0,4.5602,11809
ALTO,2022-05-18,4.42,4.5001,4.26,4.33,1449382.0,4.3623,10725
ALTO,2022-05-19,4.36,4.37,3.862,4.15,2376713.0,4.0771,14528
ALTO,2022-05-22,4.24,4.5,4.165,4.45,1465092.0,4.3628,11631
ALTO,2022-05-23,4.4,4.4,4.18,4.26,1291634.0,4.2578,10032
ALTO,2022-05-24,4.19,4.49,4.17,4.45,1266917.0,4.3741,8534
ALTO,2022-05-25,4.47,4.585,4.372,4.5,1297629.0,4.4918,9230
ALTO,2022-05-26,4.49,4.69,4.48,4.63,1006017.0,4.6066,7917
ALTO,2022-05-30,4.68,4.77,4.3932,4.45,1314839.0,4.5127,9462
ALTO,2022-05-31,4.5,4.71,4.45,4.56,1476420.0,4.5999,12672
ALTO,2022-06-01,4.54,4.77,4.425,4.65,1355627.0,4.6255,10026
ALTO,2022-06-02,4.6,4.68,4.5,4.65,1133436.0,4.6094,8720
ALTO,2022-06-05,4.7,4.75,4.44,4.74,1383517.0,4.6277,9929
ALTO,2022-06-06,4.67,4.885,4.58,4.87,1018061.0,4.8095,8189
ALTO,2022-06-07,4.86,5.05,4.845,5.03,1274528.0,4.9692,10722
ALTO,2022-06-08,4.97,5.1527,4.89,5.07,1552054.0,5.0677,13769
ALTO,2022-06-09,4.98,5.065,4.8,4.94,1554193.0,4.9223,12412
ALTO,2022-06-12,4.78,5.03,4.55,4.75,2493926.0,4.742,17506
ALTO,2022-06-13,4.82,4.875,4.56,4.65,1443443.0,4.7177,11993
ALTO,2022-06-14,4.67,4.92,4.595,4.84,2014395.0,4.8044,15813
ALTO,2022-06-15,4.73,4.995,4.61,4.75,2669664.0,4.7866,18268
ALTO,2022-06-16,4.8,4.95,4.24,4.395,13407517.0,4.4146,21832
ALTO,2022-06-20,4.46,4.5292,4.27,4.47,2186581.0,4.4169,13439
ALTO,2022-06-21,4.3,4.36,4.03,4.07,2454164.0,4.1535,14731
ALTO,2022-06-22,4.09,4.15,3.755,3.96,2664408.0,3.9106,15224
ALTO,2022-06-23,3.98,4.07,3.85,4,2468155.0,3.9919,13222
ALTO,2022-06-26,4.08,4.29,3.985,4.21,1753162.0,4.1857,10968
ALTO,2022-06-27,4.28,4.315,4.07,4.09,1213892.0,4.1376,7398
ALTO,2022-06-28,4.09,4.1,3.68,3.71,1731403.0,3.8045,10169
ALTO,2022-06-29,3.64,3.74,3.51,3.71,2712154.0,3.675,10553
ALTO,2022-06-30,3.77,3.77,3.545,3.74,1555447.0,3.6859,10501
ALTO,2022-07-04,3.64,3.87,3.56,3.86,2001964.0,3.7713,12309
ALTO,2022-07-05,3.8,3.93,3.565,3.75,1410155.0,3.7222,8662
ALTO,2022-07-06,3.82,4.18,3.79,4.15,1630290.0,4.0677,9082
ALTO,2022-07-07,4.17,4.18,4.015,4.05,839400,4.0756,7109
ALTO,2022-07-10,3.98,4.03,3.75,3.77,1065152.0,3.8504,7159
ALTO,2022-07-11,3.7,3.84,3.66,3.76,821814,3.7566,5794
ALTO,2022-07-12,3.73,3.875,3.69,3.84,803077,3.8114,6781
ALTO,2022-07-13,3.72,3.78,3.635,3.73,871334,3.7039,6831
ALTO,2022-07-14,3.83,3.87,3.66,3.86,742467,3.809,5461
ALTO,2022-07-17,3.93,4.04,3.8202,3.88,728670,3.9106,5160
ALTO,2022-07-18,3.9,4.075,3.87,4.07,1029096.0,4.0267,5239
ALTO,2022-07-19,4.01,4.28,4.01,4.27,937614,4.2263,6125
ALTO,2022-07-20,4.14,4.15,3.86,3.92,1433431.0,3.9178,6949
ALTO,2022-07-21,3.91,3.96,3.69,3.74,1289807.0,3.765,8590
ALTO,2022-07-24,3.79,3.88,3.7,3.86,2000267.0,3.8468,5976
ALTO,2022-07-25,3.89,3.92,3.77,3.84,737290,3.8295,5698
ALTO,2022-07-26,3.89,4.02,3.81,4.01,917929,3.9555,5687
ALTO,2022-07-27,4.03,4.09,3.86,4.03,752888,4.008,5517
ALTO,2022-07-28,4.06,4.31,4.06,4.3,1128460.0,4.2541,5755
ALTO,2022-07-31,4.17,4.28,4.11,4.21,784871,4.2053,7083
ALTO,2022-08-01,4.21,4.575,4.19,4.47,1235074.0,4.432,9120
ALTO,2022-08-02,4.57,4.5764,4.37,4.43,1204541.0,4.4531,7159
