Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
AMT,2022-04-04,257.55,265.355,257.04,262.92,1956269.0,263.0435,44506
AMT,2022-04-05,261.19,269.14,260.51,268.62,2749739.0,267.0409,49211
AMT,2022-04-06,265.96,267.85,264.02,265.73,1752353.0,266.1485,39730
AMT,2022-04-07,266.16,268.49,264.03,266.41,1559108.0,266.815,29603
AMT,2022-04-10,266.59,267.74,262.59,263.31,2158648.0,264.1812,37236
AMT,2022-04-11,258.88,260.15,255.63,257.18,1518083.0,257.5815,37822
AMT,2022-04-12,258.07,258.23,254.94,257.16,1317790.0,256.5536,31387
AMT,2022-04-13,257.94,258.345,255,255.54,2312312.0,255.9553,29010
AMT,2022-04-17,254.14,257.38,252.15,253.91,1072713.0,254.6388,24448
AMT,2022-04-18,254.85,259.55,254.78,258.77,1308493.0,258.1809,27291
AMT,2022-04-19,259.75,267.95,259.14,267.59,1807562.0,266.0685,38706
AMT,2022-04-20,268.89,271.5269,266.16,266.75,1712477.0,268.4081,30238
AMT,2022-04-21,267.13,267.13,261.85,261.9,1664695.0,263.6697,33224
AMT,2022-04-24,262.1,262.9997,255.11,259.52,1656756.0,258.1778,43256
AMT,2022-04-25,258.83,261.21,254.44,254.82,1883330.0,256.5278,40085
AMT,2022-04-26,256.01,258,251.55,252.85,2049618.0,254.5888,41763
AMT,2022-04-27,252.62,253.86,245.21,252.18,2417451.0,250.2479,50383
AMT,2022-04-28,250.31,251.3128,240.68,241.02,2151909.0,243.0605,38428
AMT,2022-05-01,241.38,245.275,232.73,236.95,2127652.0,237.8745,51202
AMT,2022-05-02,236.95,243,235.32,241.01,1367134.0,240.4508,32697
AMT,2022-05-03,240.63,246.04,238.67,245.64,1098650.0,242.6735,27646
AMT,2022-05-04,244.98,246.47,239.7,241.48,1375959.0,241.994,33324
AMT,2022-05-05,239.25,245.12,238.8,244.07,1843149.0,242.6837,38179
AMT,2022-05-08,242.13,242.13,229.96,231.09,2423354.0,233.9332,50209
AMT,2022-05-09,232.63,234.14,222.3327,224.75,2411709.0,226.1703,50483
AMT,2022-05-10,226.45,229.38,223.93,224.72,2104272.0,226.1425,44075
AMT,2022-05-11,224.67,226.57,222.02,225.5,2193756.0,224.8635,42409
AMT,2022-05-12,227.18,232.89,226.185,232.66,2229477.0,230.6696,41198
AMT,2022-05-15,232.61,234.89,230.03,230.22,1203104.0,232.2541,28903
AMT,2022-05-16,233.2,233.63,229.4,233,1728456.0,231.4947,31130
AMT,2022-05-17,232.57,233.3,229.51,230.63,1623960.0,230.7436,33145
AMT,2022-05-18,230,236.188,229.21,233.25,1825919.0,233.5495,37569
AMT,2022-05-19,235.45,245.17,234.305,244.28,2853943.0,242.2263,51202
AMT,2022-05-22,245.59,249.72,243.5399,249.42,1697449.0,248.085,35333
AMT,2022-05-23,249.49,259.305,248.69,258.52,2174398.0,255.7703,46223
AMT,2022-05-24,256.79,261.19,252.58,260.29,2392874.0,258.1616,46347
AMT,2022-05-25,260.72,262.27,253.96,254.69,1478729.0,257.1428,33538
AMT,2022-05-26,256.52,262.56,254.83,260.96,1786274.0,260.4804,31674
AMT,2022-05-30,257.76,259.04,255.23,256.13,2829603.0,256.4472,36717
AMT,2022-05-31,256.13,256.13,250.85,252.56,1418093.0,252.6334,33541
AMT,2022-06-01,246.06,263.19,245.68,262.36,2781835.0,257.6221,54413
AMT,2022-06-02,261.82,269.5,260.75,266.73,7332223.0,266.6422,118275
AMT,2022-06-05,269.79,271.09,266.17,267.36,4197136.0,267.8678,62556
AMT,2022-06-06,266.18,266.99,259.16,266.15,2135157.0,264.0621,40885
AMT,2022-06-07,265.64,269.04,263.32,264.46,1550443.0,265.7173,32259
AMT,2022-06-08,261.17,267.73,260.02,260.2,2051225.0,263.0895,39107
AMT,2022-06-09,257.01,257.84,250.11,251.01,2188222.0,252.583,49096
AMT,2022-06-12,245,247.145,238.97,240.03,2272946.0,241.7066,50331
AMT,2022-06-13,239.18,240.48,232.66,234.49,2584892.0,235.9286,56765
AMT,2022-06-14,235.4,244.5,235.01,241.4,2076667.0,240.1805,42981
AMT,2022-06-15,234.78,236.99,232.31,234.18,1668510.0,234.4439,36393
AMT,2022-06-16,233.7,238.265,232.12,236.17,4291846.0,235.2932,41430
AMT,2022-06-20,242,248.54,241.89,246.85,2502006.0,246.4393,43630
AMT,2022-06-21,242.32,258.82,242.25,252.01,3130202.0,253.2609,49914
AMT,2022-06-22,253.06,259.795,252.73,258.31,2553123.0,257.7591,40790
AMT,2022-06-23,260.76,262.13,256.58,261.65,3131490.0,260.9606,35959
AMT,2022-06-26,262.23,264.09,258.14,259.33,2018918.0,260.2557,35635
AMT,2022-06-27,260,260.48,252.12,252.93,1601891.0,255.4445,34404
AMT,2022-06-28,250.03,253.93,247.15,253.16,1863735.0,252.0357,35091
AMT,2022-06-29,251.61,257.705,250.21,255.59,1938097.0,255.0693,30376
AMT,2022-06-30,254.53,259.035,252.44,258.4,1363377.0,257.2469,26413
AMT,2022-07-04,255.49,256.06,249.63,255.94,1321658.0,253.615,30240
AMT,2022-07-05,257.96,260.58,256.695,258.23,1170899.0,258.8314,28990
AMT,2022-07-06,258.5,260.58,255.415,257.18,1089631.0,257.7319,26346
AMT,2022-07-07,255.32,257.88,253.72,255.01,936028,255.5892,21399
AMT,2022-07-10,255,258.46,252.49,257.99,1299534.0,256.9965,27267
AMT,2022-07-11,256.95,258.74,253.15,255.49,1650918.0,256.1227,33078
AMT,2022-07-12,252.41,258.21,251.17,255.92,1188505.0,255.757,25370
AMT,2022-07-13,251.75,257.85,251.43,256.51,1579240.0,255.9293,26376
AMT,2022-07-14,259.88,260.785,255.33,257.2,1181127.0,257.7431,22965
AMT,2022-07-17,256.91,257.79,248.58,249.25,1608197.0,250.7945,31969
AMT,2022-07-18,251.61,257.27,251.5,257.16,1506361.0,255.6778,28115
AMT,2022-07-19,256,257.93,249.43,249.74,1573621.0,251.7951,31425
AMT,2022-07-20,250.17,255.9899,248.19,255.4,1290350.0,254.0232,26291
AMT,2022-07-21,256.55,260.36,255.7634,259.6,1587501.0,258.8071,27820
AMT,2022-07-24,259.35,259.66,255.9,257.34,1593317.0,257.619,25393
AMT,2022-07-25,258.56,263.07,257.82,258.98,1579766.0,259.6196,28430
AMT,2022-07-26,259.52,261.238,255.375,258.28,1505440.0,257.7686,29534
AMT,2022-07-27,261.46,269.56,260.06,268.9,2589510.0,267.2994,45065
AMT,2022-07-28,270.35,273.95,267.51,270.83,1821179.0,271.4394,32015
AMT,2022-07-31,270.28,271.755,266.26,268.62,1323131.0,268.5531,26977
