ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
AMZN,2024-03-21 03:00:00,179.26,179.3,179,179.15,3071,179.1134,68
AMZN,2024-03-21 03:01:00,179,179.2,178.91,179.2,3396,179.0416,69
AMZN,2024-03-21 03:02:00,179.23,179.23,179.23,179.23,1148,179.2468,18
AMZN,2024-03-21 03:05:00,179.21,179.21,179.17,179.17,1482,179.2131,17
AMZN,2024-03-21 03:07:00,179.21,179.3,179.21,179.3,1006,179.2482,23
AMZN,2024-03-21 03:08:00,179.33,179.36,179.33,179.36,1562,179.3182,29
AMZN,2024-03-21 03:09:00,179.22,179.29,179.22,179.29,519,179.2711,15
AMZN,2024-03-21 03:12:00,179.33,179.33,179.33,179.33,1033,179.3418,21
AMZN,2024-03-21 03:15:00,179.35,179.35,179.35,179.35,217,179.3468,4
AMZN,2024-03-21 03:16:00,179.32,179.33,179.24,179.24,1352,179.2709,34
AMZN,2024-03-21 03:17:00,179.28,179.28,179.28,179.28,711,179.2744,6
AMZN,2024-03-21 03:18:00,179.33,179.33,179.33,179.33,308,179.3092,7
AMZN,2024-03-21 03:19:00,179.35,179.35,179.35,179.35,412,179.3488,5
AMZN,2024-03-21 03:20:00,179.36,179.36,179.25,179.25,3164,179.2926,59
AMZN,2024-03-21 03:22:00,179.27,179.27,179.27,179.27,668,179.2742,10
AMZN,2024-03-21 03:23:00,179.27,179.27,179.27,179.27,1308,179.266,14
AMZN,2024-03-21 03:24:00,179.06,179.06,179.06,179.06,1064,179.1425,34
AMZN,2024-03-21 03:27:00,179.15,179.15,179.15,179.15,319,179.1508,6
AMZN,2024-03-21 03:28:00,179.23,179.23,179.23,179.23,883,179.2192,14
AMZN,2024-03-21 03:32:00,179.15,179.15,179.15,179.15,826,179.1399,12
AMZN,2024-03-21 03:33:00,179.16,179.16,179.16,179.16,122,179.1603,5
AMZN,2024-03-21 03:34:00,179.24,179.24,179.22,179.22,433,179.2318,8
AMZN,2024-03-21 03:35:00,179.25,179.25,179.25,179.25,416,179.2491,15
AMZN,2024-03-21 03:36:00,179.29,179.29,179.29,179.29,660,179.2543,17
AMZN,2024-03-21 03:38:00,179.29,179.29,179.29,179.29,834,179.2528,13
AMZN,2024-03-21 03:42:00,179.16,179.22,179.16,179.22,646,179.1792,10
AMZN,2024-03-21 03:43:00,179.16,179.16,179.15,179.15,521,179.157,6
AMZN,2024-03-21 03:50:00,179.22,179.22,179.22,179.22,227,179.2198,4
AMZN,2024-03-21 03:52:00,179.23,179.23,179.23,179.23,436,179.2276,10
AMZN,2024-03-21 03:55:00,179.22,179.22,179.21,179.21,2027,179.2117,9
AMZN,2024-03-21 03:56:00,179.15,179.15,179.15,179.15,251,179.1532,8
AMZN,2024-03-21 04:05:00,179.15,179.15,179.15,179.15,611,179.1524,18
AMZN,2024-03-21 04:14:00,179.05,179.05,179.05,179.05,445,179.042,18
AMZN,2024-03-21 04:15:00,179.01,179.01,178.99,179,1987,179.0038,39
AMZN,2024-03-21 04:16:00,178.91,178.91,178.91,178.91,755,178.9295,18
AMZN,2024-03-21 04:25:00,178.8,179.1,178.75,178.91,6289,178.8636,112
AMZN,2024-03-21 04:27:00,178.9,178.92,178.89,178.89,1346,178.867,26
AMZN,2024-03-21 04:31:00,178.82,178.82,178.82,178.82,496,178.8202,21
AMZN,2024-03-21 04:33:00,178.75,178.75,178.75,178.75,479,178.7498,10
AMZN,2024-03-21 04:35:00,178.76,178.76,178.75,178.75,642,178.7577,14
AMZN,2024-03-21 04:36:00,178.75,178.75,178.75,178.75,1177,178.7492,9
AMZN,2024-03-21 04:37:00,178.75,178.75,178.75,178.75,688,178.7557,11
AMZN,2024-03-21 04:39:00,178.83,178.83,178.83,178.83,400,178.825,8
AMZN,2024-03-21 04:40:00,178.84,178.84,178.84,178.84,657,178.8385,12
AMZN,2024-03-21 04:41:00,178.87,178.87,178.86,178.86,1619,178.8721,31
AMZN,2024-03-21 04:42:00,178.82,178.82,178.82,178.82,952,178.8401,19
AMZN,2024-03-21 04:43:00,178.92,178.96,178.92,178.96,813,178.9278,20
AMZN,2024-03-21 04:48:00,178.99,178.99,178.98,178.98,647,178.9833,10
AMZN,2024-03-21 04:51:00,178.96,178.96,178.96,178.96,1468,178.9565,45
AMZN,2024-03-21 04:56:00,178.93,178.93,178.93,178.93,450,178.9357,12
AMZN,2024-03-21 05:02:00,178.99,179,178.99,179,1057,178.9896,16
AMZN,2024-03-21 05:06:00,178.91,178.91,178.91,178.91,309,178.9092,17
AMZN,2024-03-21 05:13:00,178.93,178.93,178.93,178.93,102,178.9296,3
AMZN,2024-03-21 05:21:00,178.93,178.94,178.93,178.94,561,178.9333,9
AMZN,2024-03-21 05:23:00,179,179,179,179,186,178.9999,5
AMZN,2024-03-21 05:32:00,178.91,178.91,178.91,178.91,200,178.9121,4
AMZN,2024-03-21 05:44:00,178.88,178.88,178.88,178.88,1408,178.8767,5
AMZN,2024-03-21 05:45:00,178.81,178.81,178.8,178.8,1344,178.8076,24
AMZN,2024-03-21 05:46:00,178.79,178.79,178.79,178.79,311,178.7972,7
AMZN,2024-03-21 05:59:00,178.83,178.83,178.83,178.83,366,178.8288,11
AMZN,2024-03-21 06:00:00,178.76,178.83,178.74,178.79,6264,178.7726,173
AMZN,2024-03-21 06:03:00,178.75,178.75,178.75,178.75,807,178.7595,22
AMZN,2024-03-21 06:04:00,178.75,178.75,178.7,178.7,1755,178.7168,38
AMZN,2024-03-21 06:05:00,178.76,178.8,178.75,178.8,1324,178.7706,29
AMZN,2024-03-21 06:06:00,178.81,178.81,178.81,178.81,903,178.7966,23
AMZN,2024-03-21 06:09:00,178.78,178.9,178.78,178.9,2757,178.8517,54
AMZN,2024-03-21 06:11:00,178.9,178.9,178.9,178.9,146,178.891,4
AMZN,2024-03-21 06:12:00,178.92,178.92,178.92,178.92,330,178.9127,7
AMZN,2024-03-21 06:13:00,178.92,178.94,178.8,178.8,3628,178.8531,71
AMZN,2024-03-21 06:16:00,178.85,179.18,178.85,179.18,13289,179.0065,200
AMZN,2024-03-21 06:17:00,178.99,178.99,178.96,178.99,4470,178.9868,37
AMZN,2024-03-21 06:18:00,178.95,178.95,178.95,178.95,399,178.9509,12
AMZN,2024-03-21 06:19:00,179.02,179.1,178.97,178.97,9495,179.0336,107
AMZN,2024-03-21 06:20:00,179.03,179.03,179,179,1849,179.0237,34
AMZN,2024-03-21 06:21:00,179.03,179.05,179.03,179.03,4307,179.0444,106
AMZN,2024-03-21 06:22:00,178.98,178.98,178.98,178.98,1157,178.999,40
AMZN,2024-03-21 06:25:00,179.02,179.02,179.02,179.02,452,179.0098,11
AMZN,2024-03-21 06:26:00,178.91,178.91,178.91,178.91,1282,178.9422,29
AMZN,2024-03-21 06:28:00,178.95,178.95,178.95,178.95,275,178.98,7
AMZN,2024-03-21 06:29:00,178.99,179.09,178.97,179.09,1472,179.0187,34
AMZN,2024-03-21 06:30:00,179.14,179.14,179.14,179.14,300,179.13,5
AMZN,2024-03-21 06:32:00,179.15,179.15,179.15,179.15,651,179.1442,17
AMZN,2024-03-21 06:33:00,179.16,179.22,179.16,179.22,2428,179.2013,40
AMZN,2024-03-21 06:35:00,179.22,179.22,179.19,179.19,5177,179.195,69
AMZN,2024-03-21 06:36:00,179.19,179.19,179.19,179.19,644,179.192,15
AMZN,2024-03-21 06:37:00,179.22,179.24,179.22,179.23,3852,179.2227,41
AMZN,2024-03-21 06:38:00,179.21,179.3,179.21,179.3,3595,179.2558,77
AMZN,2024-03-21 06:39:00,179.33,179.4,179.33,179.4,2824,179.3648,79
