Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
APLT,2023-03-07,0.96,0.98,0.930001,0.9798,35951,0.9465,224
APLT,2023-03-08,0.96,0.99,0.92,0.9285,115204,0.9545,441
APLT,2023-03-09,0.93,0.9425,0.8736,0.8992,89033,0.9051,427
APLT,2023-03-12,0.8833,0.93,0.87,0.91,33327,0.8965,333
APLT,2023-03-13,0.89,0.94,0.8664,0.89,69559,0.8825,473
APLT,2023-03-14,0.86,0.9325,0.85,0.89,88949,0.8712,456
APLT,2023-03-15,0.92,0.92,0.86,0.9022,24499,0.8911,217
APLT,2023-03-16,0.95,0.96,0.9003,0.9522,88475,0.9352,471
APLT,2023-03-19,0.879,0.98,0.8111,0.8947,135139,0.8702,600
APLT,2023-03-20,0.97,0.97,0.88,0.9403,175082,0.9423,723
APLT,2023-03-21,0.95,0.962699,0.8595,0.89,258314,0.9129,847
APLT,2023-03-22,0.94,0.94,0.7926,0.8401,537171,0.8108,445
APLT,2023-03-23,0.843,0.8755,0.8137,0.8401,78904,0.851,328
APLT,2023-03-26,0.841,0.86,0.82,0.8449,38713,0.8345,243
APLT,2023-03-27,0.82,0.84,0.82,0.82,103258,0.8255,456
APLT,2023-03-28,0.81,0.841,0.8,0.8338,103996,0.8225,363
APLT,2023-03-29,0.82,0.848,0.79,0.8044,136584,0.8124,655
APLT,2023-03-30,0.81,0.848,0.7571,0.8111,202144,0.7951,846
APLT,2023-04-02,0.8,0.857531,0.76,0.797,155095,0.7909,603
APLT,2023-04-03,0.7989,0.82,0.782,0.8084,175503,0.7952,488
APLT,2023-04-04,0.8199,0.82,0.77,0.8,60363,0.7941,231
APLT,2023-04-05,0.799,0.8105,0.77,0.8105,54494,0.783,192
APLT,2023-04-09,0.7715,0.7879,0.77,0.779,168496,0.7769,512
APLT,2023-04-10,0.76,0.79845,0.76,0.7675,148399,0.7775,476
APLT,2023-04-11,0.782,0.86,0.771,0.86,283538,0.8011,921
APLT,2023-04-12,0.88,0.8817,0.78,0.837,255424,0.8287,775
APLT,2023-04-13,0.9,0.9,0.83,0.836,58768,0.8595,368
APLT,2023-04-16,0.8338,0.8662,0.83,0.85,107746,0.8566,378
APLT,2023-04-17,0.85,0.9099,0.85,0.8976,68685,0.8903,247
APLT,2023-04-18,0.88,0.9899,0.88,0.9691,92909,0.937,500
APLT,2023-04-19,0.97,0.9876,0.94,0.97,48852,0.9665,349
