Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
INTC,2023-03-07,25.56,26.01,25.45,25.98,36071934.0,25.7898,151233
INTC,2023-03-08,25.98,26.9773,25.97,26.44,54886084.0,26.5539,235803
INTC,2023-03-09,26.55,27.52,26.315,27.22,65162781.0,27.0933,324368
INTC,2023-03-12,26.74,27.31,26.61,26.95,50976996.0,26.9514,273328
INTC,2023-03-13,27.35,28.1,27.25,28.01,47689837.0,27.8052,235470
INTC,2023-03-14,27.73,28.495,27.66,28.41,49322838.0,28.1701,278882
INTC,2023-03-15,28.39,30.27,28.39,30.18,75804234.0,29.7875,367258
INTC,2023-03-16,29.92,31,29.44,29.81,80628498.0,29.821,251098
INTC,2023-03-19,29.8,29.9,28.63,29.16,38780054.0,29.1076,218938
INTC,2023-03-20,29,29.165,27.975,28.46,55650832.0,28.4145,273911
INTC,2023-03-21,28.48,29.12,28.1,28.13,37415539.0,28.503,207003
INTC,2023-03-22,28.38,29.16,28.22,29.03,43785479.0,28.7744,224358
INTC,2023-03-23,29.04,29.81,28.925,29.36,55931606.0,29.3518,272684
INTC,2023-03-26,29.37,29.73,29.08,29.18,34758156.0,29.3495,189210
INTC,2023-03-27,29.075,29.33,28.63,29.29,37407874.0,29.0903,190588
INTC,2023-03-28,29.77,31.89,29.755,31.52,85216189.0,31.0708,385689
INTC,2023-03-29,31.85,32.58,31.81,32.09,70077598.0,32.1637,338986
INTC,2023-03-30,31.8,32.9,31.73,32.67,59764921.0,32.5828,254662
INTC,2023-04-02,32.94,33.56,32.54,32.89,57038344.0,32.9848,293484
INTC,2023-04-03,32.85,33.84,32.84,33.1,55714058.0,33.2091,255763
INTC,2023-04-04,32.795,32.99,32.335,32.83,39555735.0,32.72,200776
INTC,2023-04-05,32.6,33,32.46,32.81,28551916.0,32.8148,150083
INTC,2023-04-09,32.6,32.76,32.2,32.52,30534439.0,32.4746,151705
INTC,2023-04-10,32.66,33.11,32.32,32.35,27059106.0,32.5863,152137
INTC,2023-04-11,32.77,32.89,31.96,32.02,37070786.0,32.1585,178837
INTC,2023-04-12,31.82,32.43,31.65,32.13,29722344.0,32.132,159824
INTC,2023-04-13,32,32.235,31.69,31.89,24623633.0,31.9273,147285
INTC,2023-04-16,31.95,32.64,31.77,32.14,29601148.0,32.0915,176370
INTC,2023-04-17,32.43,32.46,31.78,31.83,26041380.0,31.9354,146678
INTC,2023-04-18,31.1,31.52,31.08,31.15,25746574.0,31.2411,146434
INTC,2023-04-19,30.76,31.25,30.71,30.86,30252069.0,30.9125,156639
INTC,2023-04-20,30.84,30.84,30.225,30.3,28655762.0,30.3592,150428
INTC,2023-04-23,30.13,30.37,29.61,29.66,38732452.0,29.8175,186112
INTC,2023-04-24,29.44,29.57,28.87,28.88,38289873.0,29.078,172534
INTC,2023-04-25,29.2,29.81,28.835,29.05,41218705.0,29.2386,196728
INTC,2023-04-26,28.75,29.945,28.51,29.86,60186244.0,29.5475,294392
INTC,2023-04-27,31.975,32.57,30.81,31.06,80252444.0,31.4159,410747
INTC,2023-04-30,31.11,31.24,30.28,30.3,36918529.0,30.5902,212279
INTC,2023-05-01,30.3,30.575,29.75,29.77,33463356.0,30.0306,179937
INTC,2023-05-02,30.64,31.11,30.245,30.65,45554489.0,30.6456,245382
INTC,2023-05-03,30.435,31.72,30.38,31.24,46104019.0,31.1939,248046
INTC,2023-05-04,31.38,31.41,30.73,30.99,35024562.0,30.9999,179735
INTC,2023-05-07,30.7,30.84,30.39,30.77,30482801.0,30.7106,146299
INTC,2023-05-08,30.38,30.58,29.91,30.1,30706515.0,30.1861,160680
INTC,2023-05-09,30.29,30.3959,29.49,29.97,40526521.0,29.9018,194793
INTC,2023-05-10,29.6,29.68,28.82,28.86,47144359.0,29.0682,217953
INTC,2023-05-11,29.025,29.1,28.72,28.95,24153820.0,28.9058,140156
INTC,2023-05-14,28.9,29.825,28.88,29.8,28717475.0,29.4529,136743
INTC,2023-05-15,29.62,29.9,29.21,29.22,22812040.0,29.4761,120933
INTC,2023-05-16,29.52,29.56,28.68,28.87,41667261.0,28.9188,203392
INTC,2023-05-17,29,29.76,28.87,29.68,36529193.0,29.5457,193572
INTC,2023-05-18,29.6,30.24,29.5,29.93,40682998.0,29.9117,187205
INTC,2023-05-21,29.85,30.45,29.815,30.28,28693438.0,30.1898,147813
INTC,2023-05-22,30.05,30.195,29.49,29.51,29400851.0,29.748,155422
INTC,2023-05-23,29.31,29.49,28.82,29,28045840.0,29.0319,159106
INTC,2023-05-24,28.29,28.29,26.855,27.4,78009435.0,27.3737,424480
INTC,2023-05-25,27.44,29.09,27.1,29,71910621.0,28.4451,314134
INTC,2023-05-29,29.7,30.0399,28.995,29.99,54874794.0,29.7496,302151
INTC,2023-05-30,29.7,32.29,29.67,31.44,135303756.0,31.4405,594018
INTC,2023-05-31,31.8,31.94,31.02,31.13,52667268.0,31.3175,271640
INTC,2023-06-01,31.398,31.5899,30.825,31.31,36520757.0,31.1866,209505
INTC,2023-06-04,31.31,31.4,29.83,29.86,48244128.0,30.1953,263427
INTC,2023-06-05,29.77,31.45,29.695,30.96,42295293.0,30.8388,243243
INTC,2023-06-06,31.03,31.37,30.93,31.28,39097992.0,31.2078,181093
INTC,2023-06-07,31.43,31.85,31.06,31.82,35198952.0,31.5384,188848
INTC,2023-06-08,31.93,31.99,30.68,31.34,40227073.0,31.2704,233561
INTC,2023-06-11,31.4,33.3,31.36,33.07,59926114.0,32.7944,297787
INTC,2023-06-12,33.77,33.95,33.07,33.91,51990041.0,33.6731,312408
INTC,2023-06-13,33.87,35.6,33.8,35.58,74404151.0,34.8911,407722
INTC,2023-06-14,35.28,36.42,35.215,35.82,67676296.0,35.8169,367124
INTC,2023-06-15,36.36,36.795,35.595,36.37,110240279.0,36.3309,378434
INTC,2023-06-19,36.77,37.11,34.715,35,65970238.0,35.2803,374913
INTC,2023-06-20,34.915,35.05,32.83,32.9,70919771.0,33.5669,410399
INTC,2023-06-21,32.69,33.24,32.125,32.71,45740308.0,32.567,259324
INTC,2023-06-22,32.21,33.45,32.03,33,46327140.0,32.916,255098
INTC,2023-06-25,33.19,33.99,33.095,33.34,38952369.0,33.4156,218956
INTC,2023-06-26,33.22,34.23,33.01,34.1,33038924.0,33.8636,163165
INTC,2023-06-27,33.61,33.81,33.035,33.57,33906877.0,33.5243,181892
INTC,2023-06-28,33.34,33.34,32.49,32.91,38312970.0,32.9483,210866
INTC,2023-06-29,33.359,33.56,33.16,33.44,33811252.0,33.3826,166271
INTC,2023-07-02,33.54,33.89,33.14,33.62,15752979.0,33.4477,105931
INTC,2023-07-04,33.31,33.33,32.5,32.51,37664722.0,32.8051,211535
INTC,2023-07-05,31.9,32.04,31.38,31.97,41711442.0,31.8056,223878
INTC,2023-07-06,32,32.41,31.82,31.85,28356250.0,32.0251,136211
INTC,2023-07-09,31.87,32.83,31.77,32.74,36305658.0,32.4792,204763
INTC,2023-07-10,32.82,33.36,32.5,33.3,28148832.0,33.0565,158714
INTC,2023-07-11,33.69,34.08,33.06,33.98,37762215.0,33.7537,201593
INTC,2023-07-12,34.15,34.3,33.62,33.87,32745752.0,33.8687,160744
INTC,2023-07-13,33.78,33.87,33,33.15,30438659.0,33.334,165149
INTC,2023-07-16,33.16,34.6,33.07,34.37,34111173.0,34.0734,185022
INTC,2023-07-17,34.28,34.7,33.83,34.5,29679514.0,34.309,172484
INTC,2023-07-18,34.4,34.835,34.33,34.46,26486676.0,34.4954,145921
INTC,2023-07-19,33.704,34.205,33.23,33.37,37877996.0,33.6175,197789
INTC,2023-07-20,33.725,34.25,33.42,34.02,79736956.0,34.0002,200775
INTC,2023-07-23,33.84,34.46,33.56,33.63,25286821.0,33.875,159939
INTC,2023-07-24,33.7,34.34,33.4,34.1,31771091.0,33.9321,174289
INTC,2023-07-25,33.72,34.525,33.7,34.36,32643239.0,34.2038,165343
INTC,2023-07-26,34.82,35.03,34.11,34.55,58773821.0,34.986,323409
INTC,2023-07-27,36.75,36.99,35.51,36.83,90863013.0,36.5532,469605
INTC,2023-07-30,36.87,37.19,35.675,35.77,55630700.0,36.0908,241829
INTC,2023-07-31,35.82,36.02,35.28,35.8,24743393.0,35.7147,166330
INTC,2023-08-01,35.15,35.18,34.281,34.39,39051971.0,34.5695,227796
INTC,2023-08-02,34.29,35.03,34.13,34.87,24864381.0,34.7296,162590
INTC,2023-08-03,34.48,35.56,34.48,35.14,26674897.0,35.1118,179644
INTC,2023-08-06,35.41,35.55,34.75,35.23,22486870.0,35.1592,146534
INTC,2023-08-07,34.67,35.1,33.86,35.02,34743198.0,34.6463,191896
INTC,2023-08-08,35,35.0999,34.23,34.28,28720157.0,34.5017,157480
INTC,2023-08-09,34.7,35.09,34.48,34.68,30956295.0,34.6807,180088
INTC,2023-08-10,34.46,34.945,34.36,34.89,28783730.0,34.7125,165884
INTC,2023-08-13,34.67,35.71,34.47,35.68,36896056.0,35.3754,184755
INTC,2023-08-14,35.41,35.625,34.75,34.77,27407709.0,35.0731,154838
INTC,2023-08-15,34.52,34.63,33.46,33.53,35757254.0,33.8091,193947
INTC,2023-08-16,33.56,33.59,32.35,32.58,39906739.0,32.6951,217125
INTC,2023-08-17,32.23,32.91,32.18,32.75,23701035.0,32.6629,135046
INTC,2023-08-20,32.6,33.17,32.02,33.14,43718249.0,32.6608,181410
INTC,2023-08-21,33.22,33.8,32.83,32.89,23434190.0,33.1795,150810
INTC,2023-08-22,32.88,34.15,32.8,33.98,32324309.0,33.831,165184
INTC,2023-08-23,33.72,34.09,32.49,32.59,37930960.0,32.9319,195243
INTC,2023-08-24,32.53,33.395,32.35,33.25,27324810.0,33.0124,158002
INTC,2023-08-27,33.5,33.78,33.21,33.62,22341778.0,33.5362,125702
INTC,2023-08-28,33.49,34.48,33.47,34.31,29943629.0,34.2709,174011
INTC,2023-08-29,34.06,34.66,33.775,34.53,26279156.0,34.4457,140043
INTC,2023-08-30,34.32,35.56,34.3,35.14,48157583.0,35.0492,234884
INTC,2023-08-31,35.79,36.75,35.73,36.61,43694478.0,36.3817,269530
INTC,2023-09-04,36.58,37.41,36.46,36.71,43379356.0,36.9322,222691
INTC,2023-09-05,36.56,37.04,36.03,36.98,39533390.0,36.644,226892
INTC,2023-09-06,36.83,38.34,36.7502,38.18,67659683.0,37.8872,359128
INTC,2023-09-07,38.12,38.83,37.7125,38.01,44265054.0,38.1109,258143
INTC,2023-09-10,38.24,38.74,37.84,38.59,36279341.0,38.3824,205864
INTC,2023-09-11,38.65,40.0681,38.65,38.86,55236564.0,39.2092,298140
INTC,2023-09-12,38.8,39.1499,38.25,38.71,35407780.0,38.6965,194564
INTC,2023-09-13,38.81,38.9,38.295,38.67,30616490.0,38.666,202145
INTC,2023-09-14,38.42,38.52,37.62,37.88,68881240.0,37.9524,226452
INTC,2023-09-17,37.62,38.39,37.51,37.99,29319150.0,38.0056,171860
INTC,2023-09-18,38.04,38.1,36.02,36.34,53288070.0,36.8971,325843
INTC,2023-09-19,36.22,36.25,34.63,34.69,57660829.0,35.2071,311243
INTC,2023-09-20,34.57,35.25,34.46,34.65,45240625.0,34.792,260496
INTC,2023-09-21,34.81,34.885,34.14,34.18,29241605.0,34.3559,159654
INTC,2023-09-24,34,34.37,33.765,34.29,21729418.0,34.1078,143317
INTC,2023-09-25,34.14,34.78,33.64,33.83,34198291.0,34.03,178034
INTC,2023-09-26,33.92,34.825,33.88,34.61,44369070.0,34.5062,203258
INTC,2023-09-27,34.65,35.6564,34.38,35.18,32265276.0,35.1791,198763
INTC,2023-09-28,35.648,35.91,35.155,35.55,28763712.0,35.5558,176554
INTC,2023-10-01,35.61,35.975,34.98,35.46,26086163.0,35.4306,162519
INTC,2023-10-02,35.265,36.54,35.265,35.69,45292632.0,35.8617,275821
INTC,2023-10-03,36.52,36.52,35.325,35.93,39842200.0,35.8315,229952
INTC,2023-10-04,35.97,36.1,35.6,35.89,25511233.0,35.8732,148744
INTC,2023-10-05,35.87,36.46,35.18,36.19,33262158.0,36.0021,180822
INTC,2023-10-08,35.7,36.17,35.5,36.06,19376144.0,35.8726,130848
INTC,2023-10-09,36.14,36.74,35.805,36.43,24044104.0,36.3994,141688
INTC,2023-10-10,36.62,37.03,36.38,36.88,19248602.0,36.7026,120385
INTC,2023-10-11,36.8,37.22,36.39,36.84,23639229.0,36.8806,153406
INTC,2023-10-12,36.74,36.79,35.86,35.97,28408435.0,36.0854,171059
INTC,2023-10-15,36.14,36.94,36.08,36.56,29555783.0,36.5965,171583
INTC,2023-10-16,35.92,36.35,35.07,36.06,24993561.0,35.8642,172932
INTC,2023-10-17,35.5242,36.02,35.45,35.64,22085950.0,35.6841,147661
INTC,2023-10-18,35.96,36.36,35.52,35.67,29201848.0,35.8467,183422
INTC,2023-10-19,35.65,36.28,34.87,34.92,32303325.0,35.2797,178407
INTC,2023-10-22,34.6,35.19,33.39,33.85,53924661.0,34.1945,321633
INTC,2023-10-23,33.64,34.71,33.64,34.59,52673857.0,34.4202,258421
INTC,2023-10-24,34.18,34.45,32.55,32.83,44658462.0,33.1253,262242
INTC,2023-10-25,32.89,33.22,32.145,32.52,59049509.0,32.8093,308724
INTC,2023-10-26,34.66,36.38,34.6,35.54,84128212.0,35.6058,519383
INTC,2023-10-29,35.465,36.05,34.92,35.69,36656425.0,35.5295,243641
