Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
JBLU,2023-03-07,8.2,8.205,7.93,8.06,8690523.0,8.0262,34613
JBLU,2023-03-08,8.05,8.16,7.67,7.67,8368908.0,7.8499,38098
JBLU,2023-03-09,7.74,7.75,7.32,7.53,12886098.0,7.518,41498
JBLU,2023-03-12,7.29,7.345,6.95,7.09,12587448.0,7.109,52950
JBLU,2023-03-13,7.45,7.51,7.045,7.17,11047701.0,7.2378,46594
JBLU,2023-03-14,6.91,7.055,6.78,6.92,14265617.0,6.9033,52890
JBLU,2023-03-15,6.96,7.18,6.81,7.1,11080986.0,7.0608,50502
JBLU,2023-03-16,6.96,7.06,6.84,6.92,9754631.0,6.9224,32762
JBLU,2023-03-19,6.94,7.015,6.8,6.81,6853715.0,6.8783,27785
JBLU,2023-03-20,6.95,7.07,6.9,6.95,8271180.0,6.965,32543
JBLU,2023-03-21,6.97,6.9899,6.71,6.73,7052418.0,6.8642,30531
JBLU,2023-03-22,6.86,6.91,6.56,6.63,7779739.0,6.7035,32143
JBLU,2023-03-23,6.55,6.7275,6.455,6.7,9158118.0,6.5857,40139
JBLU,2023-03-26,6.83,6.88,6.7101,6.82,6193355.0,6.8007,26028
JBLU,2023-03-27,6.8,6.94,6.76,6.92,5459920.0,6.8825,23414
JBLU,2023-03-28,7.04,7.1,6.9601,7.1,5401968.0,7.054,23280
JBLU,2023-03-29,7.19,7.28,7.0847,7.1,6448025.0,7.1658,29083
JBLU,2023-03-30,7.19,7.32,7.17,7.28,6071535.0,7.2501,21174
JBLU,2023-04-02,7.14,7.185,7.01,7.17,8605695.0,7.1115,31168
JBLU,2023-04-03,7.24,7.24,6.95,7.04,6628560.0,7.0578,23876
JBLU,2023-04-04,6.97,6.99,6.82,6.9,7773554.0,6.8886,27548
JBLU,2023-04-05,6.91,6.9999,6.85,6.92,4866085.0,6.9113,23472
JBLU,2023-04-09,6.91,7.08,6.83,7.07,6857330.0,7.0068,23741
JBLU,2023-04-10,7.1,7.3,7.0708,7.22,6488278.0,7.2155,25392
JBLU,2023-04-11,7.21,7.22,6.9,6.95,10257379.0,7.0068,40756
JBLU,2023-04-12,7.08,7.08,6.89,6.95,6438433.0,6.9726,23945
JBLU,2023-04-13,6.96,6.98,6.76,6.79,8041802.0,6.8179,28526
JBLU,2023-04-16,6.82,6.895,6.73,6.8,8682264.0,6.8051,28948
JBLU,2023-04-17,6.84,6.915,6.7,6.9,9235825.0,6.831,26122
JBLU,2023-04-18,6.81,7.02,6.77,7,7597846.0,6.9148,25018
JBLU,2023-04-19,6.91,6.98,6.75,6.78,7665090.0,6.8333,27469
JBLU,2023-04-20,6.8,6.94,6.755,6.92,10539405.0,6.8689,37253
JBLU,2023-04-23,6.96,6.99,6.75,6.82,11315874.0,6.8469,34732
JBLU,2023-04-24,6.93,7.2,6.74,6.78,17337110.0,6.8693,56793
JBLU,2023-04-25,6.82,7.0676,6.77,6.88,12518228.0,6.9096,39971
JBLU,2023-04-26,6.98,6.98,6.74,6.95,9238487.0,6.8882,30697
JBLU,2023-04-27,6.96,7.19,6.95,7.14,10437190.0,7.1038,37547
JBLU,2023-04-30,7.04,7.145,6.91,7.05,10085086.0,7.0585,31403
JBLU,2023-05-01,7.01,7.1,6.85,7.1,10213681.0,6.9802,31114
JBLU,2023-05-02,7.1,7.22,7.045,7.07,11465092.0,7.1242,30964
JBLU,2023-05-03,7.04,7.05,6.76,6.8,11204034.0,6.8366,30058
JBLU,2023-05-04,6.9,7.09,6.85,7.02,8872802.0,6.9979,26800
JBLU,2023-05-07,7.03,7.15,7.02,7.07,7757866.0,7.0847,26335
JBLU,2023-05-08,7.02,7.05,6.9,7.01,5953922.0,7.0011,23275
JBLU,2023-05-09,7.11,7.14,6.82,6.94,8521708.0,6.93,29607
JBLU,2023-05-10,6.91,6.935,6.79,6.85,8309311.0,6.8363,24657
JBLU,2023-05-11,6.89,6.91,6.7,6.74,7570477.0,6.7636,26147
JBLU,2023-05-14,6.73,6.94,6.71,6.93,8292866.0,6.8763,27585
JBLU,2023-05-15,6.88,6.96,6.81,6.81,5538549.0,6.8658,19651
JBLU,2023-05-16,6.89,7.27,6.85,7.22,13585873.0,7.1333,37251
JBLU,2023-05-17,7.22,7.24,7.09,7.22,7137565.0,7.1869,25182
JBLU,2023-05-18,7.215,7.23,7.02,7.09,10226296.0,7.0953,32345
JBLU,2023-05-21,7.09,7.155,6.87,6.94,10749699.0,6.9667,35008
JBLU,2023-05-22,6.94,7.17,6.88,6.88,10347828.0,7.0144,33597
JBLU,2023-05-23,6.86,6.86,6.68,6.76,11488299.0,6.7388,35794
JBLU,2023-05-24,6.8,6.94,6.77,6.83,10005498.0,6.8351,30837
JBLU,2023-05-25,6.85,6.96,6.8,6.83,8022751.0,6.862,27599
JBLU,2023-05-29,6.89,6.92,6.78,6.81,7663530.0,6.827,26211
JBLU,2023-05-30,6.85,6.875,6.7,6.83,13261026.0,6.7917,34990
JBLU,2023-05-31,6.83,6.97,6.7682,6.83,9114272.0,6.8602,29046
JBLU,2023-06-01,6.94,7.23,6.9,7.18,13624833.0,7.105,37642
JBLU,2023-06-04,7.15,7.15,6.96,6.98,8482478.0,7.0102,26833
JBLU,2023-06-05,6.95,7.405,6.87,7.4,10344926.0,7.2222,29457
JBLU,2023-06-06,7.44,7.487,7.35,7.42,9700595.0,7.42,31133
JBLU,2023-06-07,7.4,7.5099,7.25,7.42,6615979.0,7.4163,22958
JBLU,2023-06-08,7.48,7.55,7.42,7.47,11080468.0,7.4882,29325
JBLU,2023-06-11,7.55,7.8194,7.54,7.72,8644195.0,7.7055,33662
JBLU,2023-06-12,7.8,7.87,7.75,7.84,9690919.0,7.8192,31037
JBLU,2023-06-13,7.89,8.08,7.87,8.03,11862778.0,8.0014,38943
JBLU,2023-06-14,7.95,8.08,7.91,8,7521185.0,8.0154,31583
JBLU,2023-06-15,8.08,8.12,7.96,8.06,11272515.0,8.0471,32979
JBLU,2023-06-19,8.01,8.11,7.9,8.11,7836543.0,8.034,30391
JBLU,2023-06-20,8.05,8.205,7.96,8.14,9279820.0,8.101,31299
JBLU,2023-06-21,8.1,8.18,7.98,8.1,9609037.0,8.1026,32896
JBLU,2023-06-22,7.95,8.0375,7.86,7.94,51138823.0,7.9371,42017
JBLU,2023-06-25,7.9,8.17,7.87,8.05,14414707.0,8.0267,36270
JBLU,2023-06-26,8.09,8.85,8.055,8.76,21370152.0,8.6332,59291
JBLU,2023-06-27,8.77,8.87,8.64,8.73,13126963.0,8.7374,40405
JBLU,2023-06-28,8.78,8.9,8.69,8.76,10709449.0,8.7958,33539
JBLU,2023-06-29,8.85,8.95,8.8,8.86,9310455.0,8.8723,28837
JBLU,2023-07-02,8.88,9.08,8.85,9,4375281.0,8.9983,19056
