ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions
META,2024-03-21 03:00:00,509.8,510,509.8,510,507,509.7829,40
META,2024-03-21 03:04:00,511.83,511.88,511.83,511.88,682,511.8004,18
META,2024-03-21 03:05:00,511.23,511.23,511.23,511.23,396,511.2441,13
META,2024-03-21 03:06:00,511.21,511.21,511.2,511.2,836,511.2176,24
META,2024-03-21 03:07:00,511.2,511.2,511.2,511.2,589,511.2055,10
META,2024-03-21 03:08:00,511.55,511.55,511.55,511.55,552,511.4961,24
META,2024-03-21 03:20:00,510.63,510.63,510.63,510.63,625,510.5867,24
META,2024-03-21 03:22:00,510.5,510.5,510.5,510.5,413,510.5459,8
META,2024-03-21 03:31:00,510.3,510.3,510.3,510.3,236,510.3222,6
META,2024-03-21 03:52:00,510.54,510.69,510.54,510.69,860,510.6432,22
META,2024-03-21 03:55:00,510.7,510.7,510.69,510.69,745,510.7079,16
META,2024-03-21 04:09:00,509.97,509.97,509.97,509.97,811,509.981,35
META,2024-03-21 04:23:00,510.04,510.4,510.04,510.4,1058,510.1784,31
META,2024-03-21 04:37:00,510.17,510.17,510.17,510.17,145,510.1452,3
META,2024-03-21 04:40:00,510.55,510.55,510.55,510.55,494,510.532,18
META,2024-03-21 04:54:00,510.09,510.09,510.09,510.09,530,510.0586,22
META,2024-03-21 04:57:00,510.53,510.53,510.53,510.53,658,510.4365,23
META,2024-03-21 05:00:00,510.55,510.55,510.55,510.55,604,510.5445,8
META,2024-03-21 05:05:00,510.27,510.27,509.99,509.99,655,510.0906,21
META,2024-03-21 05:19:00,509.97,509.99,509.97,509.99,1701,509.9791,51
META,2024-03-21 05:22:00,509.57,509.57,509.43,509.5,719,509.529,25
META,2024-03-21 05:34:00,509.78,509.8,509.78,509.8,751,509.7779,18
META,2024-03-21 05:35:00,509.79,509.79,509.79,509.79,389,509.7976,8
META,2024-03-21 05:46:00,509.69,509.69,509.69,509.69,236,509.6477,11
META,2024-03-21 05:49:00,509.32,509.32,509.31,509.31,865,509.3249,37
META,2024-03-21 05:59:00,509.31,509.31,509.31,509.31,878,509.2874,21
META,2024-03-21 06:01:00,510,510,509.89,509.89,2052,510.0043,77
META,2024-03-21 06:06:00,510.15,510.15,510.15,510.15,501,510.1534,23
META,2024-03-21 06:17:00,510.28,510.28,510.27,510.27,738,510.2778,12
META,2024-03-21 06:19:00,510.5,510.5,510.5,510.5,300,510.5115,16
META,2024-03-21 06:20:00,510.25,510.25,510.25,510.25,933,510.3007,48
META,2024-03-21 06:23:00,510.03,510.2,510.03,510.03,1556,510.1584,73
META,2024-03-21 06:31:00,509.99,510.03,509.99,510.03,542,510.0214,17
META,2024-03-21 06:32:00,510.14,510.15,510.14,510.15,495,510.1429,19
META,2024-03-21 06:33:00,510.2,510.2,510.2,510.2,850,510.1983,44
META,2024-03-21 06:34:00,510.2,510.2,510.08,510.08,1626,510.1295,72
META,2024-03-21 06:35:00,510.2,510.21,510.2,510.21,1069,510.1913,21
META,2024-03-21 06:36:00,510.08,510.08,510.02,510.02,1756,510.0419,44
META,2024-03-21 06:40:00,510.21,510.21,510.21,510.21,553,510.1761,23
META,2024-03-21 06:41:00,510.21,510.21,510.21,510.21,773,510.1976,19
META,2024-03-21 06:42:00,510.21,510.21,510.21,510.21,2366,510.2111,19
META,2024-03-21 06:43:00,510.25,510.25,510.25,510.25,729,510.2039,32
META,2024-03-21 06:44:00,510.15,510.15,510.15,510.15,213,510.1865,9
META,2024-03-21 06:46:00,510.25,510.25,510.25,510.25,1209,510.2477,25
META,2024-03-21 06:56:00,510.4,510.49,510.4,510.49,688,510.4456,18
META,2024-03-21 07:00:00,510.51,510.55,509.61,510.55,13514,510.2734,300
META,2024-03-21 07:01:00,510.55,510.55,510.55,510.55,355,510.4851,129
META,2024-03-21 07:02:00,510.81,511.15,510.7,510.7,4614,510.7775,154
META,2024-03-21 07:03:00,510.53,510.76,510.53,510.76,4228,510.5739,128
META,2024-03-21 07:04:00,510.12,510.12,510.12,510.12,1049,510.6537,62
META,2024-03-21 07:05:00,510.76,510.95,510.76,510.95,1513,510.7542,72
META,2024-03-21 07:06:00,510.95,510.95,510.18,510.94,1936,510.7006,112
META,2024-03-21 07:08:00,510.82,510.93,510.82,510.82,1189,510.8925,36
META,2024-03-21 07:09:00,510.83,510.83,510.82,510.82,490,510.8336,15
META,2024-03-21 07:10:00,510.8201,510.8201,510.8201,510.8201,324,510.889,12
META,2024-03-21 07:11:00,510.95,510.95,510.82,510.82,812,510.8899,25
META,2024-03-21 07:12:00,510.93,510.95,510.93,510.95,1107,510.9389,40
META,2024-03-21 07:13:00,510.98,511.18,510.98,511.18,1795,511.0084,51
META,2024-03-21 07:14:00,511.06,511.06,511.06,511.06,149,511.0701,13
META,2024-03-21 07:15:00,511.15,511.3,511.12,511.3,1425,511.1916,24
META,2024-03-21 07:16:00,511.48,511.5,511.48,511.5,1356,511.5535,64
META,2024-03-21 07:17:00,511.99,511.99,511.87,511.9,2397,511.921,48
META,2024-03-21 07:18:00,511.99,512,511.99,512,1571,512.016,92
META,2024-03-21 07:19:00,512.5,513.37,512.5,513.36,6228,513.0097,186
META,2024-03-21 07:20:00,513.5,514.5,513.5,514.5,8625,513.9038,187
META,2024-03-21 07:21:00,513.52,513.52,513.29,513.29,2659,513.48,59
META,2024-03-21 07:23:00,512.55,512.98,512.55,512.98,1312,512.6571,36
META,2024-03-21 07:24:00,512.5003,512.69,512.5,512.69,781,512.5832,63
META,2024-03-21 07:25:00,512.75,512.75,512.75,512.75,204,512.7344,14
META,2024-03-21 07:26:00,512.78,512.78,512.78,512.78,298,512.7552,20
META,2024-03-21 07:27:00,512.7517,512.7517,512.7517,512.7517,736,512.8,30
META,2024-03-21 07:28:00,513,513,512.78,512.78,786,512.884,19
META,2024-03-21 07:29:00,512.78,512.78,512.7371,512.7371,1388,512.7809,17
META,2024-03-21 07:30:00,513,513,512.9,513,1514,512.8986,32
META,2024-03-21 07:31:00,512.986,512.986,512.01,512.01,853,512.3892,38
META,2024-03-21 07:32:00,511.8928,512.25,511.5,511.5,1440,511.9166,49
META,2024-03-21 07:34:00,512.2,512.25,512,512.25,1837,512.0995,43
META,2024-03-21 07:35:00,512.25,512.42,512.25,512.3652,764,512.255,26
META,2024-03-21 07:36:00,512.21,512.3774,512.21,512.3774,2132,512.1542,31
META,2024-03-21 07:37:00,512.25,512.25,512.25,512.25,433,512.1072,24
META,2024-03-21 07:38:00,512.4186,512.4186,512.4186,512.4186,300,512.1763,20
META,2024-03-21 07:40:00,512.25,512.25,512.25,512.25,410,512.2881,26
META,2024-03-21 07:41:00,512.1,512.1,512.1,512.1,463,512.1257,20
META,2024-03-21 07:42:00,512.0305,512.4579,512.0305,512.4579,861,512.3133,31
META,2024-03-21 07:43:00,512.18,512.18,512.18,512.18,1919,512.2699,60
META,2024-03-21 07:44:00,512.18,512.18,512.18,512.18,1034,512.177,25
META,2024-03-21 07:45:00,512.1527,512.1527,512.1527,512.1527,228,512.1991,18
META,2024-03-21 07:49:00,512.75,512.75,512.75,512.75,388,512.7336,26
META,2024-03-21 07:50:00,512.36,512.36,512.36,512.36,302,512.5182,25
META,2024-03-21 07:51:00,512.55,512.55,512.55,512.55,206,512.5761,21
META,2024-03-21 07:53:00,512.5,512.5,512.5,512.5,497,512.4757,24
META,2024-03-21 07:54:00,512.3,512.3,512.3,512.3,257,512.3431,12
META,2024-03-21 07:55:00,512.3,512.3,512.3,512.3,1177,512.2999,13
META,2024-03-21 07:56:00,512.25,512.25,512.25,512.25,704,512.2701,27
META,2024-03-21 07:57:00,512.27,512.27,512.27,512.27,199,512.3149,17
META,2024-03-21 07:58:00,512.26,512.26,512.26,512.26,154,512.3024,17
META,2024-03-21 07:59:00,512.35,512.35,512.35,512.35,246,512.3482,17
META,2024-03-21 08:00:00,512.26,512.4374,512.26,512.4374,394,512.2965,26
META,2024-03-21 08:04:00,512.39,512.4,512.39,512.4,1245,512.3748,54
META,2024-03-21 08:05:00,512.15,512.15,512.15,512.15,546,512.1526,33
META,2024-03-21 08:07:00,512.0747,512.0747,511.9803,511.9803,897,512.0473,40
META,2024-03-21 08:10:00,512.13,512.25,512.13,512.25,2342,512.1409,63
META,2024-03-21 08:12:00,512.3353,512.3353,512.3353,512.3353,175,512.3261,15
META,2024-03-21 08:13:00,512.37,512.37,512.36,512.36,1122,512.3623,25
META,2024-03-21 08:14:00,512.35,512.35,512.35,512.35,375,512.3255,19
META,2024-03-21 08:15:00,512.35,512.35,512.35,512.35,766,512.3296,38
META,2024-03-21 08:16:00,512.1701,512.1701,512.1701,512.1701,215,512.224,9
META,2024-03-21 08:17:00,512.26,512.26,512.26,512.26,233,512.2508,25
META,2024-03-21 08:19:00,512.37,512.37,512.37,512.37,427,512.3122,27
META,2024-03-21 08:20:00,512.23,512.29,512.23,512.29,818,512.2602,34
META,2024-03-21 08:21:00,512.38,512.38,512.37,512.37,1380,512.3776,28
META,2024-03-21 08:22:00,512.35,512.3589,512.35,512.3589,1221,512.3494,32
META,2024-03-21 08:23:00,512.2993,512.2993,512.26,512.26,1851,512.2744,50
META,2024-03-21 08:24:00,512.299,512.41,512.299,512.41,2736,512.35,81
META,2024-03-21 08:25:00,512.37,514.22,512.37,513.56,13231,513.3015,259
META,2024-03-21 08:26:00,513.62,514.0616,513.62,513.96,2120,513.9732,62
META,2024-03-21 08:27:00,514.05,515,514,515,13364,514.6023,336
META,2024-03-21 08:28:00,515,515.48,515,515.48,5179,515.1368,173
META,2024-03-21 08:29:00,515.12,515.12,514.86,514.86,1456,515.0481,61
META,2024-03-21 08:30:00,514.71,515.04,510.9,512.2599,372235,513.9805,4034
META,2024-03-21 08:31:00,511.73,512.8099,511.005,511.305,75017,511.9498,1255
META,2024-03-21 08:32:00,511.5,511.5812,510.55,511.18,76587,511.0857,1405
META,2024-03-21 08:33:00,511.3985,511.87,510,510.38,65814,510.8,1442
META,2024-03-21 08:34:00,510.3973,511.6499,510.3973,511.37,54092,511.1364,1014
META,2024-03-21 08:35:00,511.48,512.29,511.1321,511.77,69707,511.6939,1170
META,2024-03-21 08:36:00,511.77,511.8,510.55,511.4499,61825,511.0946,1101
META,2024-03-21 08:37:00,511.46,511.62,510.63,511.39,47677,511.1646,876
META,2024-03-21 08:38:00,511.21,511.4,510.8098,511.32,45728,511.1562,1083
META,2024-03-21 08:39:00,511.215,511.29,510.1,510.54,30318,510.5673,879
META,2024-03-21 08:40:00,510.54,511.28,510.2,510.98,30484,510.8751,886
META,2024-03-21 08:41:00,511.27,511.45,510.6139,510.6139,33409,511.0804,720
META,2024-03-21 08:42:00,510.58,510.86,509.71,509.915,48791,510.2395,1063
META,2024-03-21 08:43:00,509.73,509.9112,509.07,509.75,51929,509.3122,914
META,2024-03-21 08:44:00,509.69,509.8099,508.25,508.8101,51589,509.0733,976
META,2024-03-21 08:45:00,509.04,509.99,508.96,509.79,36173,509.5185,809
META,2024-03-21 08:46:00,509.9,510,508.92,509.51,25517,509.413,644
META,2024-03-21 08:47:00,509.5099,509.535,509.18,509.3474,19356,509.3497,549
META,2024-03-21 08:48:00,509.4758,509.66,507.85,507.92,43044,508.5793,1033
META,2024-03-21 08:49:00,507.92,508.44,506.86,507.76,63167,507.654,1366
META,2024-03-21 08:50:00,507.9,508.45,507.71,507.95,32339,508.1527,634
META,2024-03-21 08:51:00,507.94,508.21,507.46,508,60220,507.9284,872
META,2024-03-21 08:52:00,507.9,508.17,507.71,508.1,34301,507.9444,583
META,2024-03-21 08:53:00,508.1,509.04,507.82,508.03,61529,508.4325,1147
META,2024-03-21 08:54:00,507.85,508.28,507.74,508.0112,73191,508.0544,1259
META,2024-03-21 08:55:00,508.05,508.11,507.59,507.9,20726,507.8963,606
META,2024-03-21 08:56:00,507.78,508.11,507.7,507.9448,22442,507.979,594
META,2024-03-21 08:57:00,507.98,508,507.34,507.5475,32263,507.6354,729
