Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
ON,2023-03-07,79.72,83.4,79.62,83.1,8939427.0,82.1776,92285
ON,2023-03-08,82.875,84.97,81.26,81.41,8241954.0,83.0211,97120
ON,2023-03-09,82.34,82.6,77.5284,78.38,6366526.0,79.1502,79708
ON,2023-03-12,76.71,79.14,76.37,77.75,6913780.0,77.7261,84461
ON,2023-03-13,80.16,82.75,79.47,81.2,6090315.0,80.9411,74317
ON,2023-03-14,79.11,79.85,76.14,78,7514841.0,77.78,86271
ON,2023-03-15,77.63,80.85,77,80.5,7266482.0,79.6066,73440
ON,2023-03-16,80.305,80.53,77.7,78.28,6981769.0,78.5362,60812
ON,2023-03-19,78.73,80.52,77.59,79.98,4822238.0,79.5449,50593
ON,2023-03-20,80.89,82.87,79.81,81.35,4828252.0,81.267,56139
ON,2023-03-21,81.52,82.39,78.41,78.82,5511940.0,80.5162,64844
ON,2023-03-22,80.12,82.87,78.79,80.97,6181490.0,81.061,69556
ON,2023-03-23,79.82,80.48,77.1,77.81,5794099.0,78.1629,71146
ON,2023-03-26,78.05,78.18,74.47,75.67,10190966.0,76.0965,136850
ON,2023-03-27,75.1,77.71,73.69,76.53,12414143.0,75.5439,153044
ON,2023-03-28,78.28,80.69,77.182,79.87,7228351.0,79.1969,74634
ON,2023-03-29,81.03,82.52,80.57,81.83,6133079.0,81.7526,63419
ON,2023-03-30,81.58,82.55,81.04,82.32,5852335.0,81.9909,60103
ON,2023-04-02,81.715,82.21,79.88,81.14,4431067.0,80.7479,59202
ON,2023-04-03,81.51,81.51,77.84,78.49,5617946.0,78.8028,58926
ON,2023-04-04,77.46,77.875,75.42,76.54,4944307.0,76.3346,66599
ON,2023-04-05,75.24,76.3701,74.39,75.34,3530706.0,75.5322,50861
ON,2023-04-09,74.65,77.88,74.54,77.7,4284608.0,77.1697,44186
ON,2023-04-10,78.63,78.93,77.05,77.22,3608691.0,77.7957,53763
ON,2023-04-11,78.78,78.79,76.32,76.46,4850294.0,77.0517,62555
ON,2023-04-12,76.67,78.11,75.9032,77.59,3290259.0,77.4128,42068
ON,2023-04-13,77.6,79.42,76.6,77.92,3725291.0,77.8034,49414
ON,2023-04-16,77.085,78.565,76.69,78.41,3808807.0,77.8426,52479
ON,2023-04-17,79.23,80.07,78.37,79.21,4168431.0,79.1922,47503
ON,2023-04-18,78.145,78.65,76.365,76.92,4336241.0,77.0383,49316
ON,2023-04-19,73.28,75.77,72.18,74.26,7685331.0,74.4227,87269
ON,2023-04-20,74,74.21,73.02,73.74,4078275.0,73.6752,51049
ON,2023-04-23,73.77,74.39,73.19,74.38,2845158.0,73.8731,41908
ON,2023-04-24,73.3,73.5,70.27,70.35,7889329.0,71.0593,87316
ON,2023-04-25,71.54,72.44,70.53,71.95,5871271.0,71.7417,80878
ON,2023-04-26,68.68,70.08,66.67,69.98,14023824.0,68.6671,157325
ON,2023-04-27,69.97,72.055,68.84,71.96,10274838.0,70.8234,106749
ON,2023-04-30,74.885,78.9779,74.17,78.33,16264736.0,77.2404,166024
ON,2023-05-01,79.38,81.3817,77.87,79.17,8329002.0,79.4563,103441
ON,2023-05-02,79.05,80.37,78.43,78.58,5127142.0,79.2756,63870
ON,2023-05-03,78,79.26,77.09,77.83,5189413.0,77.982,68593
ON,2023-05-04,77.66,81.58,77.33,81.22,7088138.0,80.0933,82417
ON,2023-05-07,81.24,81.72,79.58,80.52,3421550.0,80.4942,46955
ON,2023-05-08,79.21,79.94,77.47,78.81,4736883.0,78.6725,64890
ON,2023-05-09,80.5,80.72,78.87,79.87,5187101.0,79.9234,63237
ON,2023-05-10,79.42,80.75,78.42,80.32,4438204.0,79.7854,60197
ON,2023-05-11,81.22,83.04,80.07,81.34,6478911.0,81.1299,73573
ON,2023-05-14,81.76,82.46,80.555,82.39,6125195.0,81.8361,73978
ON,2023-05-15,82.01,85.39,81.71,83.04,10998999.0,83.4305,124871
ON,2023-05-16,84.63,86.9,82.11,85.63,12764700.0,85.469,128772
ON,2023-05-17,86,87.07,84.91,86.49,7624180.0,86.1455,92099
ON,2023-05-18,86.19,86.46,83.58,84.36,8190589.0,84.3967,93492
ON,2023-05-21,83.91,85.59,83.709,85.24,5091486.0,85.0052,56422
ON,2023-05-22,84.33,84.645,81.8,82.54,6675670.0,82.9331,81402
ON,2023-05-23,80.14,80.86,78.35,79.79,8641772.0,79.6748,104272
ON,2023-05-24,80.12,82.71,77.92,82,9598511.0,81.0631,110460
ON,2023-05-25,82.87,87.77,82.83,86.62,10518744.0,86.0292,100465
ON,2023-05-29,89.35,89.835,83.45,83.97,9087879.0,85.2427,126295
ON,2023-05-30,82.35,85.245,81.995,83.6,9835590.0,83.6687,84078
ON,2023-05-31,84.94,88.308,84.05,87.95,6930658.0,87.0842,83514
ON,2023-06-01,88.8,89.44,85.87,86.83,5137305.0,87.0441,60743
ON,2023-06-04,87.08,87.24,84.95,85.63,3770612.0,85.8446,54561
ON,2023-06-05,85.55,89.11,85.52,88.48,5217940.0,88.1233,67312
ON,2023-06-06,89.14,92.13,89.03,89.24,7824730.0,90.1906,97497
ON,2023-06-07,89.86,90.71,88.71,89.99,4131106.0,89.9775,58030
ON,2023-06-08,91.76,92.6811,88.11,89.02,6365415.0,89.503,82333
ON,2023-06-11,90.19,91.3567,89.36,91.06,6531350.0,90.7776,82107
ON,2023-06-12,92.04,93.44,91.3401,92.67,7615147.0,92.4599,84864
ON,2023-06-13,92.12,93.35,90.6683,92.74,7149139.0,92.4063,88738
ON,2023-06-14,91.29,92,90.65,91,8116426.0,91.2042,88215
