Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
SMRT,2023-03-07,2.63,2.805,2.57,2.74,1051808.0,2.735,6631
SMRT,2023-03-08,2.66,2.72,2.36,2.57,1383547.0,2.4953,7981
SMRT,2023-03-09,2.54,2.64,2.29,2.3,1899623.0,2.4691,7364
SMRT,2023-03-12,2.31,2.64,2.25,2.64,1197359.0,2.5017,6753
SMRT,2023-03-13,2.72,2.72,2.595,2.62,1224186.0,2.6503,5967
SMRT,2023-03-14,2.54,2.615,2.48,2.58,820286,2.5553,6569
SMRT,2023-03-15,2.52,2.56,2.35,2.36,1065194.0,2.3871,6529
SMRT,2023-03-16,2.35,2.39,2.23,2.3,1663827.0,2.2956,6949
SMRT,2023-03-19,2.33,2.36,2.2625,2.34,2401175.0,2.314,10076
SMRT,2023-03-20,2.4,2.42,2.32,2.35,2009404.0,2.3562,7385
SMRT,2023-03-21,2.35,2.415,2.32,2.32,685425,2.3558,4274
SMRT,2023-03-22,2.35,2.405,2.31,2.34,2059370.0,2.344,6413
SMRT,2023-03-23,2.31,2.56,2.31,2.48,1082770.0,2.4796,6557
SMRT,2023-03-26,2.5,2.52,2.37,2.39,689769,2.4191,4449
SMRT,2023-03-27,2.36,2.42,2.26,2.27,389865,2.3057,2695
SMRT,2023-03-28,2.3,2.32,2.23,2.29,601489,2.2753,2819
SMRT,2023-03-29,2.32,2.3975,2.31,2.32,409958,2.3383,2724
SMRT,2023-03-30,2.34,2.55,2.34,2.55,1235079.0,2.5032,4991
SMRT,2023-04-02,2.55,2.61,2.505,2.59,815630,2.5605,5746
SMRT,2023-04-03,2.6,2.6289,2.5,2.55,879611,2.5361,3843
SMRT,2023-04-04,2.51,2.53,2.44,2.5,522778,2.4934,3293
SMRT,2023-04-05,2.5,2.54,2.45,2.53,443733,2.4989,2467
SMRT,2023-04-09,2.52,2.53,2.47,2.53,550265,2.5186,2987
SMRT,2023-04-10,2.53,2.659,2.53,2.6,651301,2.607,3764
SMRT,2023-04-11,2.62,2.68,2.51,2.53,290226,2.5492,2331
SMRT,2023-04-12,2.51,2.55,2.455,2.48,463405,2.4981,2451
SMRT,2023-04-13,2.46,2.51,2.41,2.46,481255,2.453,3271
SMRT,2023-04-16,2.47,2.52,2.44,2.5,773547,2.4875,3424
SMRT,2023-04-17,2.49,2.54,2.45,2.52,606284,2.4964,4450
SMRT,2023-04-18,2.48,2.625,2.47,2.55,796173,2.5463,4851
SMRT,2023-04-19,2.52,2.55,2.42,2.44,391276,2.4635,2606
SMRT,2023-04-20,2.44,2.465,2.3073,2.39,407839,2.3871,2913
SMRT,2023-04-23,2.4,2.42,2.33,2.35,290209,2.3589,2026
SMRT,2023-04-24,2.31,2.33,2.155,2.23,1195833.0,2.2228,7613
SMRT,2023-04-25,2.21,2.29,2.2,2.24,1138840.0,2.2371,8694
SMRT,2023-04-26,2.26,2.45,2.25,2.43,854819,2.389,6116
SMRT,2023-04-27,2.42,2.6691,2.38,2.58,1083759.0,2.5922,5756
SMRT,2023-04-30,2.58,2.69,2.53,2.58,659209,2.5859,3801
SMRT,2023-05-01,2.58,2.735,2.58,2.68,1080017.0,2.6819,5928
SMRT,2023-05-02,2.69,2.74,2.635,2.66,557872,2.6734,4007
SMRT,2023-05-03,2.64,2.67,2.565,2.61,368262,2.6157,2817
