Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
WRAP,2023-03-07,2,2,1.87,1.95,54833,1.9234,351
WRAP,2023-03-08,1.95,1.99,1.85,1.85,43612,1.9074,360
WRAP,2023-03-09,1.85,1.97,1.85,1.85,50793,1.8998,353
WRAP,2023-03-12,1.85,1.94,1.75,1.75,95946,1.8061,506
WRAP,2023-03-13,1.76,1.8,1.5,1.53,257047,1.5907,1628
WRAP,2023-03-14,1.58,1.67,1.55,1.64,146019,1.6067,730
WRAP,2023-03-15,1.67,1.75,1.6183,1.71,39883,1.7029,294
WRAP,2023-03-16,1.71,1.75,1.66,1.75,62455,1.7248,273
WRAP,2023-03-19,1.73,1.85,1.7052,1.835,84578,1.7859,510
WRAP,2023-03-20,1.83,1.85,1.74,1.81,42241,1.8114,303
WRAP,2023-03-21,1.8,1.854,1.64,1.67,80421,1.6937,606
WRAP,2023-03-22,1.7,1.76,1.66,1.68,33282,1.7053,304
WRAP,2023-03-23,1.7,1.73,1.61,1.66,33660,1.6524,299
WRAP,2023-03-26,1.65,1.75,1.6202,1.73,57783,1.6813,264
WRAP,2023-03-27,1.74,1.76,1.66,1.67,28667,1.7016,301
WRAP,2023-03-28,1.7,1.75,1.66,1.7,16773,1.6927,195
WRAP,2023-03-29,1.7,1.75,1.64,1.7,35508,1.6941,235
WRAP,2023-03-30,1.69,1.797,1.65,1.72,140807,1.7283,508
WRAP,2023-04-02,1.7,1.8,1.6701,1.73,97686,1.7337,490
WRAP,2023-04-03,1.7,1.76,1.68,1.7,36566,1.7165,252
WRAP,2023-04-04,1.71,1.71,1.64,1.66,27511,1.6762,196
WRAP,2023-04-05,1.65,1.695,1.62,1.62,30808,1.6406,226
WRAP,2023-04-09,1.59,1.62,1.57,1.58,38365,1.588,332
WRAP,2023-04-10,1.58,1.6499,1.575,1.6,26392,1.6011,223
WRAP,2023-04-11,1.64,1.64,1.5,1.52,61736,1.5506,312
