Ticker,Date,Open,High,Low,Close,Volume,VolumeWeight,NumberOfTransactions
ALTO,2023-02-28,2.99,3.02,2.92,3,465144,2.9882,5288
ALTO,2023-03-01,2.97,2.97,2.89,2.94,603707,2.9283,5338
ALTO,2023-03-02,2.97,3.12,2.92,3.12,702701,3.0436,4946
ALTO,2023-03-05,3.09,3.14,2.99,3.01,804176,3.0336,4629
ALTO,2023-03-06,3,3.05,2.9,2.99,583518,2.9668,4451
ALTO,2023-03-07,2.99,2.99,2.87,2.91,511366,2.9106,4877
ALTO,2023-03-08,2.89,2.95,2.8001,2.83,691207,2.8319,5114
ALTO,2023-03-09,2.53,2.68,1.81,1.91,4732462.0,2.0179,16355
ALTO,2023-03-12,1.84,2.02,1.765,1.865,1691874.0,1.9089,10821
ALTO,2023-03-13,1.94,2,1.895,1.92,1403679.0,1.9478,9309
ALTO,2023-03-14,1.88,1.95,1.825,1.85,1517182.0,1.8764,8416
ALTO,2023-03-15,1.83,1.865,1.74,1.82,1023522.0,1.8201,5619
ALTO,2023-03-16,1.82,1.83,1.69,1.73,1874642.0,1.7321,6488
ALTO,2023-03-19,1.75,1.75,1.55,1.61,1072413.0,1.6297,6325
ALTO,2023-03-20,1.64,1.66,1.56,1.575,711321,1.5948,4756
ALTO,2023-03-21,1.57,1.635,1.4445,1.45,1981606.0,1.5053,11413
ALTO,2023-03-22,1.45,1.64,1.45,1.54,2292223.0,1.5569,10699
ALTO,2023-03-23,1.53,1.54,1.45,1.5,1424488.0,1.4875,7295
ALTO,2023-03-26,1.55,1.67,1.49,1.65,1760446.0,1.5954,7382
ALTO,2023-03-27,1.65,1.65,1.54,1.55,997603,1.5733,5665
ALTO,2023-03-28,1.58,1.58,1.5125,1.52,1067521.0,1.5347,4554
ALTO,2023-03-29,1.5,1.5589,1.47,1.48,609550,1.5002,3074
ALTO,2023-03-30,1.48,1.52,1.475,1.5,663066,1.4947,3350
ALTO,2023-04-02,1.52,1.615,1.495,1.56,1168360.0,1.5501,6311
ALTO,2023-04-03,1.57,1.61,1.49,1.5,953866,1.5323,4051
ALTO,2023-04-04,1.51,1.52,1.4,1.42,955567,1.4438,5170
ALTO,2023-04-05,1.42,1.43,1.34,1.37,1441708.0,1.3715,5726
ALTO,2023-04-09,1.36,1.43,1.32,1.39,1349231.0,1.371,6330
ALTO,2023-04-10,1.4,1.44,1.315,1.33,1251673.0,1.3515,7148
ALTO,2023-04-11,1.36,1.38,1.3,1.3,1032552.0,1.3188,5758
ALTO,2023-04-12,1.31,1.33,1.28,1.29,762701,1.2945,3011
ALTO,2023-04-13,1.28,1.31,1.25,1.27,1030632.0,1.2748,4596
ALTO,2023-04-16,1.29,1.36,1.26,1.34,1086967.0,1.3192,4178
ALTO,2023-04-17,1.35,1.46,1.33,1.41,880558,1.4001,3292
ALTO,2023-04-18,1.4,1.405,1.36,1.37,343697,1.3787,2493
ALTO,2023-04-19,1.37,1.37,1.26,1.3,535656,1.3055,2893
ALTO,2023-04-20,1.3,1.33,1.275,1.28,407697,1.2993,2167
ALTO,2023-04-23,1.28,1.32,1.26,1.31,388404,1.2877,2297
ALTO,2023-04-24,1.31,1.32,1.26,1.27,536854,1.2875,3125
ALTO,2023-04-25,1.27,1.2955,1.21,1.22,548254,1.2508,2117
ALTO,2023-04-26,1.23,1.28,1.21,1.26,786263,1.2445,3229
ALTO,2023-04-27,1.26,1.31,1.24,1.31,728279,1.2914,3144
ALTO,2023-04-30,1.31,1.31,1.26,1.28,401770,1.2833,2634
ALTO,2023-05-01,1.3,1.3001,1.2001,1.27,689584,1.2553,2917
ALTO,2023-05-02,1.27,1.39,1.27,1.36,1205141.0,1.3433,4727
ALTO,2023-05-03,1.41,1.41,1.31,1.37,650750,1.3614,3150
ALTO,2023-05-04,1.4,1.46,1.4,1.4,978047,1.4271,4197
ALTO,2023-05-07,1.41,1.45,1.36,1.36,1506224.0,1.4085,6238
ALTO,2023-05-08,1.56,1.67,1.53,1.57,4856632.0,1.5993,15445
ALTO,2023-05-09,1.88,1.95,1.81,1.92,4911463.0,1.8935,22646
ALTO,2023-05-10,1.948,2.21,1.81,2.16,3523697.0,2.0466,13798
ALTO,2023-05-11,2.16,2.17,1.92,2.04,2282648.0,2.0332,10776
ALTO,2023-05-14,2.01,2.13,1.9899,2.08,809953,2.0666,4847
ALTO,2023-05-15,2.07,2.07,1.89,1.9,1497201.0,1.9467,7423
ALTO,2023-05-16,1.93,2.08,1.9,2.055,1694178.0,2.0136,7406
ALTO,2023-05-17,2.06,2.22,2.025,2.2,1485159.0,2.1458,7520
ALTO,2023-05-18,2.22,2.24,2.13,2.2,1038914.0,2.1931,6021
ALTO,2023-05-21,2.24,2.305,2.12,2.27,1782600.0,2.2329,9405
ALTO,2023-05-22,2.27,2.27,2.1,2.1,768822,2.1715,6186
ALTO,2023-05-23,2.07,2.12,2.005,2.03,832103,2.0352,4372
ALTO,2023-05-24,2.03,2.04,1.96,2.03,645166,2.0041,4347
ALTO,2023-05-25,2.04,2.11,2.01,2.07,656155,2.0647,4296
ALTO,2023-05-29,2.08,2.1171,2.01,2.03,645888,2.0487,4292
ALTO,2023-05-30,2,2.06,1.96,2.01,758992,2.005,5276
ALTO,2023-05-31,2,2.075,1.965,2.02,1036827.0,2.027,6435
ALTO,2023-06-01,2.03,2.12,2,2.11,1017777.0,2.0736,5667
ALTO,2023-06-04,2.15,2.26,2.09,2.25,1161336.0,2.2142,7322
ALTO,2023-06-05,2.23,2.48,2.19,2.47,1540386.0,2.4076,11040
ALTO,2023-06-06,2.49,2.59,2.37,2.37,1932281.0,2.4688,9217
ALTO,2023-06-07,2.37,2.47,2.32,2.45,1278117.0,2.4015,7522
ALTO,2023-06-08,2.45,2.45,2.305,2.4,1129891.0,2.3719,7014
ALTO,2023-06-11,2.4,2.53,2.37,2.49,858065,2.4817,6875
ALTO,2023-06-12,2.52,2.6,2.505,2.56,812240,2.5644,6590
ALTO,2023-06-13,2.56,2.635,2.42,2.45,996867,2.5033,7799
ALTO,2023-06-14,2.5,2.62,2.445,2.52,1232144.0,2.5428,7640
ALTO,2023-06-15,2.58,2.58,2.4,2.47,1952035.0,2.4652,8486
ALTO,2023-06-19,2.55,2.73,2.5,2.6,2852682.0,2.5996,14097
ALTO,2023-06-20,2.58,2.605,2.47,2.5,1174537.0,2.5204,7528
ALTO,2023-06-21,2.47,2.52,2.38,2.52,1158010.0,2.4697,10415
ALTO,2023-06-22,2.45,2.63,2.4,2.41,14125676.0,2.427,13571
ALTO,2023-06-25,2.43,2.5817,2.375,2.38,1775554.0,2.4413,11735
ALTO,2023-06-26,2.38,2.43,2.37,2.37,1560746.0,2.384,6024
ALTO,2023-06-27,2.44,2.81,2.43,2.81,3846881.0,2.682,15645
ALTO,2023-06-28,2.81,2.94,2.755,2.88,3238903.0,2.8391,13123
ALTO,2023-06-29,2.9,2.925,2.79,2.89,1506003.0,2.8615,9011
ALTO,2023-07-02,2.92,3.15,2.9,3.1,1435191.0,3.0766,9174
ALTO,2023-07-04,3.14,3.2,3.04,3.15,1715154.0,3.1174,9549
ALTO,2023-07-05,3.09,3.14,2.91,3.03,1663258.0,3.0134,10018
ALTO,2023-07-06,3.04,3.3299,3.02,3.31,1751612.0,3.2189,9720
ALTO,2023-07-09,3.29,3.55,3.235,3.5,2052917.0,3.4429,11437
ALTO,2023-07-10,3.55,3.68,3.425,3.6,3467741.0,3.5865,15260
ALTO,2023-07-11,3.69,3.8192,3.62,3.73,1801660.0,3.73,11439
ALTO,2023-07-12,3.73,3.77,3.535,3.58,1518099.0,3.6372,8177
