ticker,date,open,high,low,close,volume,volume_weight,number_of_transactions,pct_change
ACLX,2022-12-12,29.23,32.37,28.98,31.48,2175249.0,30.8747,24553,10.378681626928476
ACMR,2022-12-12,11.08,11.16,9.92,10.01,2828948.0,10.4248,18942,14.793577981651374
AGIO,2022-12-12,29.98,31.795,29.195,31.35,1147558.0,30.9332,19185,7.216142270861847
AKA,2022-12-15,18.36,20.76,17.4012,20.4,6856.75,19.23,888,9.677419354838701
AKRO,2022-12-15,44.07,48.38,43.27,46.95,4538380.0,46.6888,20770,6.535057862491489
ALPN,2022-12-13,6.27,6.99,6.21,6.74,235780.0,6.5726,1876,8.534621578099832
AMSC,2022-12-13,3.32,3.72,3.32,3.6,326893.0,3.5921,3516,9.422492401215798
AORT,2022-12-12,13.49,13.935,13.37,13.62,205801.0,13.6887,2932,5.336426914153125
ARCT,2022-12-12,18.23,19.65,18.07,18.98,900630.0,19.0027,14259,7.292255511588452
ATLX,2022-12-12,8.175,8.775,7.5,8.55,13801.6733,8.115,189,7.547169811320753
AXR,2022-12-14,10.75,11.35,10.75,11.28,5895.0,10.9594,56,5.223880597014907
BLBD,2022-12-14,9.1,10.5,8.91,10.47,309970.0,10.1256,4369,15.308370044052877
CBAY,2022-12-15,4.28,4.68,4.26,4.62,1454839.0,4.5168,9725,7.692307692307687
COCO,2022-12-13,12.37,13.31,12.215,13.25,295524.0,13.0277,4690,6.596942880128731
COHR,2022-12-12,38.16,40.15,37.57,38.4,2806655.0,38.476,33364,8.443942389155623
CSV,2022-12-12,25.11,26.79,25.044,26.35,275359.0,26.1751,4970,8.839322593969445
CSV,2022-12-15,25.78,27.84,25.76,27.61,340750.0,27.0234,5249,6.93261037955073
CVNA,2022-12-13,4.74,5.59,4.74,5.26,22428991.0,5.2404,83181,8.902691511387161
CVRX,2022-12-12,13.81,14.94,13.35,14.61,72332.0,14.4023,943,7.822878228782271
CYTK,2022-12-13,38.56,42.7,38.5,41.41,2716668.0,41.0565,35184,8.03548134620402
DBD,2022-12-12,1.83,1.95,1.815,1.84,1964190.0,1.8631,8625,5.142857142857138
DBD,2022-12-15,1.59,1.81,1.55,1.73,15526972.0,1.7266,13988,8.124999999999982
DFH,2022-12-12,9.87,9.93,9.6468,9.9,262898.0,9.8253,2319,5.995717344753748
DOCU,2022-12-12,57.5,58.88,55.91,58.03,15410917.0,57.7474,165890,7.323839467357129
DOGZ,2022-12-14,21.4,22.6,21.4,22.3,12893.05,22.126,606,6.190476190476191
DOGZ,2022-12-15,21.6,24.8,21.4,24.2,36726.95,23.868,1330,8.520179372197312
DYN,2022-12-13,12.5,14.55,11.71,13.8,921056.0,13.8358,9246,13.11475409836067
EVER,2022-12-12,11.89,12.48,11.7293,12.1,247219.0,12.1096,4178,7.079646017699104
FUTU,2022-12-12,68.63,70.6,68.12,68.85,2379745.0,69.1911,28705,5.291328949380625
GIII,2022-12-12,13.92,14.365,13.91,14.26,2167206.0,14.1179,23411,6.816479400749076
HROW,2022-12-13,11.84,13.3072,11.21,12.77,816663.0,12.778,6201,15.045045045045047
IPX,2022-12-13,4.9,5.25,4.9,5.1,2063.0,5.0408,26,6.25
JSPR,2022-12-14,6.2,6.546,6.0,6.436,1304.3,6.32,103,6.152069932376714
KROS,2022-12-12,50.14,52.67,48.4644,51.77,493575.0,50.5632,12630,9.404057480980565
KRYS,2022-12-13,73.79,78.0,72.52,77.65,272807.0,76.097,5503,5.102869518137543
KYMR,2022-12-13,34.01,34.24,29.01,29.62,7479079.0,31.4117,91053,14.584139264990338
LBPH,2022-12-15,4.11,4.32,4.0,4.32,6137.0,4.1296,62,7.462686567164201
LPG,2022-12-12,19.68,20.4,19.45,20.34,752891.0,20.2085,9247,6.380753138075312
MDGL,2022-12-14,58.79,63.33,57.22,62.9,460272.0,61.9353,9618,7.723925329679737
ML,2022-12-12,15.45,18.69,15.45,17.922,95552.7,17.415,7122,19.480000000000008
MNDY,2022-12-12,121.52,123.88,117.44,122.46,941480.0,120.7161,18368,7.092260603410572
NTRA,2022-12-15,37.74,43.82,36.19,43.32,6552899.0,41.4978,68194,13.581541688515998
NWLI,2022-12-12,248.02,309.25,247.0,280.0,93422.0,278.0376,1816,16.11993530460747
PATK,2022-12-13,60.44,63.32,59.67,62.42,327807.0,61.9056,7791,7.250859106529206
PINS,2022-12-12,25.29,26.79,25.04,26.42,37870133.0,26.2023,234236,11.90173655230835
PKOH,2022-12-12,11.98,12.51,11.4,12.16,62503.0,11.8973,1064,5.099394987035444
PMTS,2022-12-15,28.35,30.705,27.6776,30.7,40927.0,29.2517,788,8.518911276069275
PNTG,2022-12-13,10.68,11.96,10.32,11.66,688798.0,11.4674,6282,13.31389698736638
PRAX,2022-12-13,34.2,38.7,32.775,37.35,99511.3333,36.2265,5373,13.181818181818183
PTGX,2022-12-12,8.04,8.93,7.79,8.86,1614681.0,8.3387,17546,13.299232736572876
PTGX,2022-12-13,8.88,9.9,8.8,9.84,1327017.0,9.5767,15263,11.060948081264122
REVG,2022-12-13,14.75,16.3835,14.49,14.56,1006077.0,15.1977,11225,9.63855421686748
RNA,2022-12-13,15.12,21.23,13.88,17.05,43846684.0,17.9133,272640,55.2823315118397
RNA,2022-12-14,16.52,20.48,16.24,18.15,14692928.0,18.3701,84579,6.451612903225801
SCVL,2022-12-15,22.2,23.33,21.99,22.93,1848993.0,22.9025,18179,5.183486238532109
SDGR,2022-12-12,20.23,21.3,19.375,20.54,2945909.0,20.4669,34229,20.61068702290074
SITM,2022-12-12,112.53,117.23,110.11,114.13,494877.0,113.6124,12524,7.0637898686679135
SMLR,2022-12-12,32.06,34.78,32.01,34.78,58802.0,33.3567,1024,10.482846251588306
SMLR,2022-12-15,32.68,34.85,32.01,34.85,20524.0,33.9391,648,5.255209906372693
SQ,2022-12-12,70.37,72.37,68.8,71.03,15385200.0,70.5328,143058,7.296072507552864
TGLS,2022-12-15,29.0,32.1441,29.0,31.33,624191.0,31.1675,6928,6.600884654644434
TGTX,2022-12-12,8.94,9.12,8.475,9.06,3290439.0,8.8485,27562,5.841121495327095
TIL,2022-12-14,11.0,12.596,10.826,11.598,196824.6,11.544,10862,5.628415300546452
TNK,2022-12-14,32.08,33.799,31.85,33.65,359792.0,33.0683,5537,5.7843445457403275
TTD,2022-12-12,53.22,54.47,50.6201,51.94,5516191.0,52.2648,68410,5.526208858187731
UPC,2022-12-15,141.3,155.7,138.969,153.9,269.9778,147.618,153,6.211180124223592
VEON,2022-12-15,11.5,12.25,11.2775,11.75,17491.28,11.6975,390,11.638954869358663
VERA,2022-12-12,18.19,19.8,17.75,19.5,218144.0,19.234,3333,9.121432568550647
VERA,2022-12-15,18.89,20.61,18.82,20.51,169985.0,20.0517,3123,6.990088680229523
VRNS,2022-12-12,23.76,24.35,23.48,24.07,1947663.0,23.9775,27484,7.792207792207795
W,2022-12-12,41.925,42.64,37.55,39.63,4900165.0,39.7476,49865,6.2751407884151345
WLDN,2022-12-12,15.52,16.6424,15.52,16.28,123852.0,16.095,862,6.405228758169934
WLDN,2022-12-15,16.87,18.99,16.87,18.4,154335.0,18.124,1497,6.051873198847235
X,2022-12-15,23.75,25.09,23.7,25.0,20070765.0,24.767,102600,5.752961082910324
Z,2022-12-12,37.54,38.93,37.07,37.97,4631531.0,37.8677,50603,7.138826185101577
ZG,2022-12-12,36.64,37.68,36.02,37.07,1327502.0,36.9187,21846,7.605224963715518
